,start_date,end_date,state,pollster,fte_grade,sample_size,population,Clinton,Trump,dem_lead
3154,2015-11-27,2015-12-01,U.S.,CNN/Opinion Research Corp.,A-,930.0,rv,47.75193,43.95466,3.7972700000000046
6594,2015-11-27,2015-12-01,U.S.,CNN/Opinion Research Corp.,A-,930.0,rv,47.48304,44.08582,3.3972200000000043
9978,2015-11-27,2015-12-01,U.S.,CNN/Opinion Research Corp.,A-,930.0,rv,47.772290000000005,43.83161,3.9406800000000075
3040,2015-11-15,2015-12-02,U.S.,Marist College,A,2360.0,rv,50.03764,41.48533,8.552310000000006
6510,2015-11-15,2015-12-02,U.S.,Marist College,A,2360.0,rv,49.873470000000005,41.59429,8.279180000000004
9864,2015-11-15,2015-12-02,U.S.,Marist College,A,2360.0,rv,50.00593,41.46918,8.536749999999998
3302,2015-11-30,2015-12-02,New Hampshire,Public Policy Polling,B+,990.0,v,44.672090000000004,39.00136,5.670730000000006
6793,2015-11-30,2015-12-02,New Hampshire,Public Policy Polling,B+,990.0,v,44.49586,39.17873,5.317129999999999
10139,2015-11-30,2015-12-02,New Hampshire,Public Policy Polling,B+,990.0,v,44.6786,38.97565,5.702950000000001
3166,2015-11-29,2015-12-03,U.S.,Saint Leo University,C+,746.0,lv,47.751529999999995,37.827459999999995,9.92407
3189,2015-11-29,2015-12-03,Florida,Saint Leo University,C+,404.0,lv,46.41326,42.488890000000005,3.924369999999996
6604,2015-11-29,2015-12-03,U.S.,Saint Leo University,C+,746.0,lv,47.71266,38.23227,9.48039
6622,2015-11-29,2015-12-03,Florida,Saint Leo University,C+,404.0,lv,46.38995,42.90545,3.484499999999997
9990,2015-11-29,2015-12-03,U.S.,Saint Leo University,C+,746.0,lv,48.02565,37.870490000000004,10.155159999999995
10013,2015-11-29,2015-12-03,Florida,Saint Leo University,C+,404.0,lv,46.68507,42.52878,4.156290000000006
3131,2015-12-02,2015-12-06,U.S.,Suffolk University,B+,1000.0,lv,45.6643,42.477779999999996,3.1865200000000016
6569,2015-12-02,2015-12-06,U.S.,Suffolk University,B+,1000.0,lv,45.63632,42.75108,2.885239999999996
9955,2015-12-02,2015-12-06,U.S.,Suffolk University,B+,1000.0,lv,45.77198,42.65867,3.1133099999999985
3288,2015-12-03,2015-12-07,U.S.,Morning Consult,,2047.0,rv,40.906279999999995,46.93643,-6.030150000000006
6701,2015-12-03,2015-12-07,U.S.,Morning Consult,,2047.0,rv,40.78875,47.130390000000006,-6.341640000000005
10112,2015-12-03,2015-12-07,U.S.,Morning Consult,,2047.0,rv,40.917429999999996,46.896679999999996,-5.97925
3353,2015-12-05,2015-12-07,North Carolina,Public Policy Polling,B+,1214.0,v,41.27717,45.739329999999995,-4.462159999999997
6820,2015-12-05,2015-12-07,North Carolina,Public Policy Polling,B+,1214.0,v,41.186240000000005,45.88617,-4.699929999999995
10200,2015-12-05,2015-12-07,North Carolina,Public Policy Polling,B+,1214.0,v,41.30383,45.7119,-4.408070000000002
3236,2015-12-07,2015-12-08,U.S.,Gravis Marketing,B-,1995.0,rv,49.2815,46.68803,2.5934700000000035
6657,2015-12-07,2015-12-08,U.S.,Gravis Marketing,B-,1995.0,rv,49.18483,46.961659999999995,2.223170000000003
10060,2015-12-07,2015-12-08,U.S.,Gravis Marketing,B-,1995.0,rv,49.31542,46.74064,2.574780000000004
3021,2015-12-04,2015-12-09,Arizona,Strategies 360,B,504.0,lv,40.1995,42.75058,-2.551079999999999
6499,2015-12-04,2015-12-09,Arizona,Strategies 360,B,504.0,lv,40.1197,43.0384,-2.918700000000001
9845,2015-12-04,2015-12-09,Arizona,Strategies 360,B,504.0,lv,40.20255,42.811840000000004,-2.6092900000000014
3146,2015-12-06,2015-12-09,U.S.,NBC News/Wall Street Journal,A-,849.0,rv,48.79864,41.3512,7.44744
6579,2015-12-06,2015-12-09,U.S.,NBC News/Wall Street Journal,A-,849.0,rv,48.94616,41.665659999999995,7.2805000000000035
9970,2015-12-06,2015-12-09,U.S.,NBC News/Wall Street Journal,A-,849.0,rv,48.80267,41.38738,7.415289999999999
3103,2015-12-10,2015-12-13,U.S.,ABC News/Washington Post,A+,851.0,rv,47.886829999999996,43.38151,4.5053199999999975
3378,2015-12-10,2015-12-13,Iowa,Public Policy Polling,B+,1426.0,v,43.098729999999996,41.77858,1.3201499999999982
6540,2015-12-10,2015-12-13,U.S.,ABC News/Washington Post,A+,851.0,rv,47.65574,43.557320000000004,4.098419999999997
6818,2015-12-10,2015-12-13,Iowa,Public Policy Polling,B+,1426.0,v,42.964209999999994,41.92839,1.035819999999994
9927,2015-12-10,2015-12-13,U.S.,ABC News/Washington Post,A+,851.0,rv,47.74236,43.41086,4.331499999999998
10201,2015-12-10,2015-12-13,Iowa,Public Policy Polling,B+,1426.0,v,43.111000000000004,41.751709999999996,1.3592900000000085
3310,2015-12-08,2015-12-14,Utah,Dan Jones & Associates,C+,622.0,a,26.311629999999997,33.58078,-7.26915
6811,2015-12-08,2015-12-14,Utah,Dan Jones & Associates,C+,622.0,a,25.7667,32.57632,-6.8096200000000024
10162,2015-12-08,2015-12-14,Utah,Dan Jones & Associates,C+,622.0,a,26.05471,32.47009,-6.415379999999999
3283,2015-12-11,2015-12-15,U.S.,Morning Consult,,4038.0,rv,46.8661,43.13749,3.7286100000000033
6695,2015-12-11,2015-12-15,U.S.,Morning Consult,,4038.0,rv,46.75781,43.33048,3.4273299999999978
10107,2015-12-11,2015-12-15,U.S.,Morning Consult,,4038.0,rv,46.87495,43.098490000000005,3.776459999999993
3290,2015-12-13,2015-12-17,U.S.,Ipsos,A-,289.0,lv,41.02835,31.429040000000004,9.59931
6702,2015-12-13,2015-12-17,U.S.,Ipsos,A-,289.0,lv,40.90421,31.73325,9.170959999999997
10114,2015-12-13,2015-12-17,U.S.,Ipsos,A-,289.0,lv,41.02875,31.635340000000003,9.39341
3133,2015-12-16,2015-12-17,U.S.,Public Policy Polling,B+,1267.0,v,41.22911,40.037859999999995,1.1912500000000037
3135,2015-12-16,2015-12-17,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1013.0,rv,49.470420000000004,38.78543,10.684990000000006
6565,2015-12-16,2015-12-17,U.S.,Public Policy Polling,B+,1267.0,v,41.13,40.195879999999995,0.9341200000000072
6568,2015-12-16,2015-12-17,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1013.0,rv,49.39468,38.86992,10.52476
9957,2015-12-16,2015-12-17,U.S.,Public Policy Polling,B+,1267.0,v,41.264590000000005,40.03045,1.2341400000000036
9959,2015-12-16,2015-12-17,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1013.0,rv,49.52503,38.6494,10.875630000000001
3287,2015-12-14,2015-12-18,U.S.,Ipsos,A-,620.0,lv,41.52267,29.05415,12.468519999999998
6699,2015-12-14,2015-12-18,U.S.,Ipsos,A-,620.0,lv,41.3993,29.35864,12.040659999999995
10111,2015-12-14,2015-12-18,U.S.,Ipsos,A-,620.0,lv,41.52278,29.26057,12.262209999999996
3286,2015-12-15,2015-12-19,U.S.,Ipsos,A-,876.0,lv,40.61699,30.57925,10.037740000000003
6698,2015-12-15,2015-12-19,U.S.,Ipsos,A-,876.0,lv,40.49438,30.88402,9.61036
10110,2015-12-15,2015-12-19,U.S.,Ipsos,A-,876.0,lv,40.616820000000004,30.785790000000002,9.831030000000002
3134,2015-12-16,2015-12-20,U.S.,Quinnipiac University,A-,1140.0,rv,46.929840000000006,39.83982,7.090020000000003
3284,2015-12-16,2015-12-20,U.S.,Ipsos,A-,1130.0,lv,41.51041,29.2053,12.305109999999999
6566,2015-12-16,2015-12-20,U.S.,Quinnipiac University,A-,1140.0,rv,46.797340000000005,39.90031,6.897030000000008
6696,2015-12-16,2015-12-20,U.S.,Ipsos,A-,1130.0,lv,41.38908,29.509659999999997,11.879420000000003
9958,2015-12-16,2015-12-20,U.S.,Quinnipiac University,A-,1140.0,rv,46.927859999999995,39.73288,7.194979999999994
10108,2015-12-16,2015-12-20,U.S.,Ipsos,A-,1130.0,lv,41.50998,29.41191,12.09807
3050,2015-12-17,2015-12-20,U.S.,Emerson College,B,754.0,rv,47.18688,45.03668,2.150200000000005
6507,2015-12-17,2015-12-20,U.S.,Emerson College,B,754.0,rv,47.10816,45.05755,2.050609999999999
9874,2015-12-17,2015-12-20,U.S.,Emerson College,B,754.0,rv,47.28239,44.84285,2.439540000000001
3126,2015-12-17,2015-12-21,U.S.,CNN/Opinion Research Corp.,A-,927.0,rv,47.64948,45.46278,2.1866999999999948
3282,2015-12-17,2015-12-21,U.S.,Ipsos,A-,1425.0,lv,41.70433,29.93092,11.773409999999998
6559,2015-12-17,2015-12-21,U.S.,CNN/Opinion Research Corp.,A-,927.0,rv,47.40419,45.59471,1.8094800000000006
6694,2015-12-17,2015-12-21,U.S.,Ipsos,A-,1425.0,lv,41.583859999999994,30.235490000000002,11.348369999999992
9950,2015-12-17,2015-12-21,U.S.,CNN/Opinion Research Corp.,A-,927.0,rv,47.66384,45.34189,2.321950000000001
10106,2015-12-17,2015-12-21,U.S.,Ipsos,A-,1425.0,lv,41.70366,30.13761,11.56605
3279,2015-12-18,2015-12-22,U.S.,Ipsos,A-,1423.0,lv,41.19836,30.55645,10.64191
6693,2015-12-18,2015-12-22,U.S.,Ipsos,A-,1423.0,lv,41.07922,30.8605,10.218720000000001
10103,2015-12-18,2015-12-22,U.S.,Ipsos,A-,1423.0,lv,41.19751,30.76316,10.434350000000002
3280,2015-12-19,2015-12-23,U.S.,Ipsos,A-,1358.0,lv,39.693000000000005,32.38086,7.3121400000000065
6692,2015-12-19,2015-12-23,U.S.,Ipsos,A-,1358.0,lv,39.57443,32.6854,6.889029999999998
10104,2015-12-19,2015-12-23,U.S.,Ipsos,A-,1358.0,lv,39.69192,32.58764,7.104280000000003
3259,2015-12-22,2015-12-23,U.S.,Rasmussen Reports/Pulse Opinion Research,C+,1000.0,lv,35.742670000000004,34.99751,0.7451600000000056
6672,2015-12-22,2015-12-23,U.S.,Rasmussen Reports/Pulse Opinion Research,C+,1000.0,lv,35.7024,35.15525,0.5471499999999949
10083,2015-12-22,2015-12-23,U.S.,Rasmussen Reports/Pulse Opinion Research,C+,1000.0,lv,35.773340000000005,35.0343,0.7390400000000028
3278,2015-12-20,2015-12-24,U.S.,Ipsos,A-,1330.0,lv,40.48726,32.8061,7.681159999999998
6691,2015-12-20,2015-12-24,U.S.,Ipsos,A-,1330.0,lv,40.36902,33.11165,7.257370000000002
10102,2015-12-20,2015-12-24,U.S.,Ipsos,A-,1330.0,lv,40.48591,33.013000000000005,7.472909999999992
3277,2015-12-21,2015-12-25,U.S.,Ipsos,A-,1334.0,lv,40.081509999999994,34.53201,5.549499999999995
6689,2015-12-21,2015-12-25,U.S.,Ipsos,A-,1334.0,lv,39.963609999999996,34.83863,5.124979999999994
10101,2015-12-21,2015-12-25,U.S.,Ipsos,A-,1334.0,lv,40.0799,34.73903,5.3408700000000024
3276,2015-12-22,2015-12-26,U.S.,Ipsos,A-,1367.0,lv,40.07574,34.857620000000004,5.218119999999999
6688,2015-12-22,2015-12-26,U.S.,Ipsos,A-,1367.0,lv,39.95816,35.16547,4.79269
10100,2015-12-22,2015-12-26,U.S.,Ipsos,A-,1367.0,lv,40.073859999999996,35.06476,5.0090999999999966
3275,2015-12-23,2015-12-27,U.S.,Ipsos,A-,1413.0,lv,40.36909,34.28461,6.084479999999999
6687,2015-12-23,2015-12-27,U.S.,Ipsos,A-,1413.0,lv,40.2521,34.5935,5.6586
10099,2015-12-23,2015-12-27,U.S.,Ipsos,A-,1413.0,lv,40.36695,34.49187,5.875080000000004
3273,2015-12-24,2015-12-28,U.S.,Ipsos,A-,1603.0,lv,41.16384,32.7097,8.454140000000002
6685,2015-12-24,2015-12-28,U.S.,Ipsos,A-,1603.0,lv,41.047709999999995,33.01928,8.028429999999993
10097,2015-12-24,2015-12-28,U.S.,Ipsos,A-,1603.0,lv,41.16148,32.91703,8.24445
3271,2015-12-25,2015-12-29,U.S.,Ipsos,A-,1692.0,lv,40.75864,33.534859999999995,7.223780000000005
6683,2015-12-25,2015-12-29,U.S.,Ipsos,A-,1692.0,lv,40.643240000000006,33.84531,6.797930000000008
10095,2015-12-25,2015-12-29,U.S.,Ipsos,A-,1692.0,lv,40.75608,33.74225,7.013829999999999
3269,2015-12-26,2015-12-30,U.S.,Ipsos,A-,1708.0,lv,40.55295,33.661640000000006,6.891309999999997
6681,2015-12-26,2015-12-30,U.S.,Ipsos,A-,1708.0,lv,40.43817,33.97352,6.464649999999999
10093,2015-12-26,2015-12-30,U.S.,Ipsos,A-,1708.0,lv,40.55016,33.86913,6.68103
3270,2015-12-27,2015-12-31,U.S.,Ipsos,A-,1586.0,lv,41.1478,33.68788,7.459919999999997
6682,2015-12-27,2015-12-31,U.S.,Ipsos,A-,1586.0,lv,41.03368,34.00135,7.032329999999995
10094,2015-12-27,2015-12-31,U.S.,Ipsos,A-,1586.0,lv,41.14478,33.89547,7.249309999999994
3289,2015-12-28,2016-01-01,U.S.,Ipsos,A-,250.0,lv,35.94316,39.81307,-3.8699100000000044
6700,2015-12-28,2016-01-01,U.S.,Ipsos,A-,250.0,lv,35.830220000000004,40.12728,-4.297059999999995
10113,2015-12-28,2016-01-01,U.S.,Ipsos,A-,250.0,lv,35.93998,40.02069,-4.080710000000003
3285,2015-12-29,2016-01-02,U.S.,Ipsos,A-,514.0,lv,41.438520000000004,34.538270000000004,6.90025
6697,2015-12-29,2016-01-02,U.S.,Ipsos,A-,514.0,lv,41.32676,34.8532,6.473559999999999
10109,2015-12-29,2016-01-02,U.S.,Ipsos,A-,514.0,lv,41.43517,34.745909999999995,6.689260000000004
3281,2015-12-30,2016-01-03,U.S.,Ipsos,A-,831.0,lv,40.53389,34.06347,6.470419999999997
6690,2015-12-30,2016-01-03,U.S.,Ipsos,A-,831.0,lv,40.4233,34.37912,6.044179999999997
10105,2015-12-30,2016-01-03,U.S.,Ipsos,A-,831.0,lv,40.530359999999995,34.27114,6.259219999999992
3272,2015-12-31,2016-01-04,U.S.,Ipsos,A-,1203.0,lv,40.72925,34.488659999999996,6.2405900000000045
6684,2015-12-31,2016-01-04,U.S.,Ipsos,A-,1203.0,lv,40.61984,34.80503,5.814810000000001
10096,2015-12-31,2016-01-04,U.S.,Ipsos,A-,1203.0,lv,40.725559999999994,34.69637,6.029189999999993
3268,2016-01-01,2016-01-05,U.S.,Ipsos,A-,1465.0,lv,39.72462,35.31387,4.41075
6680,2016-01-01,2016-01-05,U.S.,Ipsos,A-,1465.0,lv,39.61638,35.630959999999995,3.985420000000005
10092,2016-01-01,2016-01-05,U.S.,Ipsos,A-,1465.0,lv,39.72076,35.5216,4.199159999999999
3266,2016-01-02,2016-01-06,U.S.,Ipsos,A-,1477.0,lv,39.82043,35.53823,4.282200000000003
6679,2016-01-02,2016-01-06,U.S.,Ipsos,A-,1477.0,lv,39.71352,35.85555,3.8579700000000017
10090,2016-01-02,2016-01-06,U.S.,Ipsos,A-,1477.0,lv,39.81644,35.74595,4.0704899999999995
3296,2016-01-04,2016-01-06,New Hampshire,Public Policy Polling,B+,1036.0,v,47.45498,35.055609999999994,12.399370000000005
6705,2016-01-04,2016-01-06,New Hampshire,Public Policy Polling,B+,1036.0,v,47.32098,35.24792,12.073059999999998
10211,2016-01-04,2016-01-06,New Hampshire,Public Policy Polling,B+,1036.0,v,47.451229999999995,35.03328,12.417949999999998
3299,2016-01-02,2016-01-07,Iowa,Marist College,A,1470.0,rv,45.66093,41.46298,4.197949999999999
3394,2016-01-02,2016-01-07,New Hampshire,Marist College,A,957.0,rv,42.15319,45.09533,-2.942139999999995
6725,2016-01-02,2016-01-07,Iowa,Marist College,A,1470.0,rv,45.511309999999995,41.58585,3.925459999999994
6780,2016-01-02,2016-01-07,New Hampshire,Marist College,A,957.0,rv,41.98135,45.246359999999996,-3.2650099999999966
10150,2016-01-02,2016-01-07,Iowa,Marist College,A,1470.0,rv,45.59283,41.432190000000006,4.160639999999994
10228,2016-01-02,2016-01-07,New Hampshire,Marist College,A,957.0,rv,42.074729999999995,45.06726,-2.992530000000002
3262,2016-01-03,2016-01-07,U.S.,Ipsos,A-,1531.0,lv,38.01546,37.06377,0.9516899999999993
6675,2016-01-03,2016-01-07,U.S.,Ipsos,A-,1531.0,lv,37.91021,37.38108,0.5291300000000021
10086,2016-01-03,2016-01-07,U.S.,Ipsos,A-,1531.0,lv,38.01137,37.27148,0.7398900000000026
3108,2016-01-04,2016-01-07,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1006.0,rv,44.36352,48.29554,-3.9320200000000014
6539,2016-01-04,2016-01-07,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1006.0,rv,44.30703,48.39232,-4.0852900000000005
9932,2016-01-04,2016-01-07,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1006.0,rv,44.414120000000004,48.16067,-3.746549999999999
3264,2016-01-04,2016-01-08,U.S.,Ipsos,A-,1411.0,lv,39.11009,37.08936,2.0207300000000004
6677,2016-01-04,2016-01-08,U.S.,Ipsos,A-,1411.0,lv,39.00673,37.406420000000004,1.6003099999999932
10088,2016-01-04,2016-01-08,U.S.,Ipsos,A-,1411.0,lv,39.105909999999994,37.29705,1.8088599999999957
3267,2016-01-05,2016-01-09,U.S.,Ipsos,A-,1282.0,lv,39.5053,35.9134,3.5918999999999954
6678,2016-01-05,2016-01-09,U.S.,Ipsos,A-,1282.0,lv,39.40348,36.23021,3.1732700000000023
10091,2016-01-05,2016-01-09,U.S.,Ipsos,A-,1282.0,lv,39.50103,36.12108,3.379950000000001
2919,2016-01-09,2016-01-09,Illinois,Ogden & Fry,,502.0,lv,38.53131,28.82602,9.705289999999998
6416,2016-01-09,2016-01-09,Illinois,Ogden & Fry,,502.0,lv,38.403059999999996,29.074370000000002,9.328689999999995
9743,2016-01-09,2016-01-09,Illinois,Ogden & Fry,,502.0,lv,38.54425,28.90035,9.643899999999999
3265,2016-01-06,2016-01-10,U.S.,Ipsos,A-,1293.0,lv,40.50104,34.636829999999996,5.864210000000007
6676,2016-01-06,2016-01-10,U.S.,Ipsos,A-,1293.0,lv,40.4005,34.953520000000005,5.446979999999996
10089,2016-01-06,2016-01-10,U.S.,Ipsos,A-,1293.0,lv,40.49672,34.84445,5.6522700000000015
2982,2016-01-08,2016-01-10,Iowa,Public Policy Polling,B+,1901.0,v,39.94231,41.52548,-1.5831700000000026
3274,2016-01-08,2016-01-10,U.S.,Morning Consult,,2173.0,rv,42.72258,46.81895,-4.09637
6449,2016-01-08,2016-01-10,Iowa,Public Policy Polling,B+,1901.0,v,39.83644,41.68888,-1.8524399999999943
6686,2016-01-08,2016-01-10,U.S.,Morning Consult,,2173.0,rv,42.6403,47.02486,-4.384559999999993
9806,2016-01-08,2016-01-10,Iowa,Public Policy Polling,B+,1901.0,v,39.94858,41.50032,-1.5517400000000023
10098,2016-01-08,2016-01-10,U.S.,Morning Consult,,2173.0,rv,42.726040000000005,46.781490000000005,-4.05545
3188,2016-01-10,2016-01-10,U.S.,Gravis Marketing,B-,2416.0,rv,47.10538,49.51869,-2.4133100000000027
6611,2016-01-10,2016-01-10,U.S.,Gravis Marketing,B-,2416.0,rv,47.04126,49.80382,-2.7625600000000006
10012,2016-01-10,2016-01-10,U.S.,Gravis Marketing,B-,2416.0,rv,47.13241,49.57329,-2.44088
3263,2016-01-07,2016-01-11,U.S.,Ipsos,A-,1274.0,lv,40.996190000000006,33.96025,7.035940000000004
6674,2016-01-07,2016-01-11,U.S.,Ipsos,A-,1274.0,lv,40.89653,34.27684,6.6196899999999985
10087,2016-01-07,2016-01-11,U.S.,Ipsos,A-,1274.0,lv,40.99178,34.16785,6.823929999999997
3024,2016-01-05,2016-01-12,Alaska,Ivan Moore Research,C,651.0,rv,41.65445,48.04663,-6.392180000000003
6475,2016-01-05,2016-01-12,Alaska,Ivan Moore Research,C,651.0,rv,41.04438,47.888690000000004,-6.844310000000007
9848,2016-01-05,2016-01-12,Alaska,Ivan Moore Research,C,651.0,rv,41.16232,47.51344,-6.351120000000002
3261,2016-01-08,2016-01-12,U.S.,Ipsos,A-,1260.0,lv,42.790620000000004,33.98332,8.807300000000005
6673,2016-01-08,2016-01-12,U.S.,Ipsos,A-,1260.0,lv,42.69143,34.29967,8.391759999999998
10085,2016-01-08,2016-01-12,U.S.,Ipsos,A-,1260.0,lv,42.78614,34.190909999999995,8.595230000000008
3032,2016-01-12,2016-01-12,Alabama,Strategy Research,,2700.0,rv,30.8459,67.32191,-36.47601
6481,2016-01-12,2016-01-12,Alabama,Strategy Research,,2700.0,rv,30.815959999999997,67.44778000000001,-36.63182000000001
9856,2016-01-12,2016-01-12,Alabama,Strategy Research,,2700.0,rv,30.801340000000003,67.43598,-36.63464
3101,2016-01-09,2016-01-13,U.S.,NBC News/Wall Street Journal,A-,800.0,rv,49.61742,43.20536,6.412060000000004
3260,2016-01-09,2016-01-13,U.S.,Ipsos,A-,1324.0,lv,41.78552,34.70682,7.078699999999998
6530,2016-01-09,2016-01-13,U.S.,NBC News/Wall Street Journal,A-,800.0,rv,49.7984,43.53086,6.267540000000004
6671,2016-01-09,2016-01-13,U.S.,Ipsos,A-,1324.0,lv,41.68724,35.02271,6.664530000000006
9925,2016-01-09,2016-01-13,U.S.,NBC News/Wall Street Journal,A-,800.0,rv,49.61446,43.24353,6.370930000000001
10084,2016-01-09,2016-01-13,U.S.,Ipsos,A-,1324.0,lv,41.78094,34.9144,6.8665400000000005
3258,2016-01-10,2016-01-14,U.S.,Ipsos,A-,1339.0,lv,41.37935,35.530409999999996,5.848940000000006
6670,2016-01-10,2016-01-14,U.S.,Ipsos,A-,1339.0,lv,41.28195,35.8457,5.436250000000001
10082,2016-01-10,2016-01-14,U.S.,Ipsos,A-,1339.0,lv,41.37472,35.73794,5.636780000000002
3256,2016-01-11,2016-01-15,U.S.,Ipsos,A-,1373.0,lv,41.57312,36.254220000000004,5.318899999999999
6669,2016-01-11,2016-01-15,U.S.,Ipsos,A-,1373.0,lv,41.47639,36.5692,4.90719
