district,candidate,party,total_votes,won
New Mexico’s 3rd district,Teresa Leger Fernandez,DEM,186282,True
New Mexico’s 3rd district,Alexis Johnson,REP,131166,False
New York’s 1st district,Lee Zeldin,REP,205715,True
New York’s 1st district,Nancy Goroff,DEM,169294,False
New York’s 1st district, Write-ins,WRI,99,False
New York’s 2nd district,Andrew Garbarino,REP,177379,True
New York’s 2nd district,Jackie Gordon,DEM,154246,False
New York’s 2nd district,Harry Burger,GRN,3448,False
New York’s 2nd district, Write-ins,WRI,90,False
New York’s 3rd district,Thomas Suozzi,DEM,208555,True
New York’s 3rd district,George Santos,REP,161931,False
New York’s 3rd district,Howard Rabin,LIB,2156,False
New York’s 3rd district, Write-ins,WRI,139,False
New York’s 4th district,Kathleen Rice,DEM,199762,True
New York’s 4th district,Douglas Tuman,REP,153007,False
New York’s 4th district,Joseph Naham,GRN,3024,False
New York’s 4th district, Write-ins,WRI,119,False
New York’s 5th district,Gregory Meeks,DEM,229125,True
New York’s 5th district, Write-ins,WRI,1554,False
New York’s 6th district,Grace Meng,DEM,158862,True
New York’s 6th district,Thomas Zmich,REP,74829,False
New York’s 6th district, Write-ins,WRI,223,False
New York’s 7th district,Nydia Velazquez,DEM,191073,True
New York’s 7th district,Brian Kelly,REP,32520,False
New York’s 7th district,Gilbert Midonnet,LIB,1522,False
New York’s 7th district, Write-ins,WRI,338,False
New York’s 8th district,Hakeem Jeffries,DEM,234933,True
New York’s 8th district,Garfield Wallace,REP,42007,False
New York’s 8th district, Write-ins,WRI,229,False
New York’s 9th district,Yvette Clarke,DEM,230221,True
New York’s 9th district,Constantin Jean-Pierre,REP,43950,False
New York’s 9th district,Gary Popkin,LIB,1644,False
New York’s 9th district,Joel Anabilah-Azumah,SAM,1052,False
New York’s 9th district, Write-ins,WRI,381,False
New York’s 10th district,Jerrold Nadler,DEM,206310,True
New York’s 10th district,Cathy Bernstein,REP,66889,False
New York’s 10th district,Michael Madrid,LIB,3370,False
New York’s 10th district, Write-ins,WRI,407,False
New York’s 11th district,Nicole Malliotakis,REP,155608,True
New York’s 11th district,Max Rose,DEM,137198,False
New York’s 11th district, Write-ins,WRI,508,False
New York’s 12th district,Carolyn Maloney,DEM,265172,True
New York’s 12th district,Carlos Santiago-Cano,REP,53061,False
New York’s 12th district,Steven Kolln,LIB,4015,False
New York’s 12th district, Write-ins,WRI,773,False
New York’s 13th district,Adriano Espaillat,DEM,231841,True
New York’s 13th district,Lovelynn Gwinn,REP,19829,False
New York’s 13th district,Christopher Morris-Perry,CON,3295,False
New York’s 13th district, Write-ins,WRI,405,False
New York’s 14th district,Alexandria Ocasio-Cortez,DEM,152661,True
New York’s 14th district,John Cummings,REP,58440,False
New York’s 14th district,Michelle Caruso-Cabrera,SAM,2000,False
New York’s 14th district, Write-ins,WRI,222,False
New York’s 15th district,Ritchie Torres,DEM,169533,True
New York’s 15th district,Patrick Delices,REP,21221,False
New York’s 15th district, Write-ins,WRI,283,False
New York’s 16th district,Jamaal Bowman,DEM,218471,True
New York’s 16th district,Patrick Mcmanus,CON,41085,False
New York’s 16th district, Write-ins,WRI,414,False
New York’s 17th district,Mondaire Jones,DEM,197353,True
New York’s 17th district,Maureen McArdle Schulman,REP,117307,False
New York’s 17th district,Yehudis Gottesfeld,CON,8887,False
New York’s 17th district,Josh Eisen,ECL,6363,False
New York’s 17th district,Michael Parietti,SAM,2745,False
New York’s 17th district, Write-ins,WRI,197,False
New York’s 18th district,Sean Maloney,DEM,187169,True
New York’s 18th district,Chele Farley,REP,145098,False
New York’s 18th district,Scott Smith,LIB,3162,False
New York’s 18th district, Write-ins,WRI,116,False
New York’s 19th district,Antonio Delgado,DEM,192100,True
New York’s 19th district,Kyle Van De Water,REP,151475,False
New York’s 19th district,Victoria Alexander,LIB,4224,False
New York’s 19th district,Steven Greenfield,GRN,2799,False
New York’s 19th district, Write-ins,WRI,2173,False
New York’s 20th district,Paul Tonko,DEM,219705,True
New York’s 20th district,Elizabeth Joy,REP,139446,False
New York’s 20th district, Write-ins,WRI,191,False
New York’s 21st district,Elise Stefanik,REP,188649,True
New York’s 21st district,Tedra Cobb,DEM,131992,False
New York’s 21st district, Write-ins,WRI,138,False
New York’s 22nd district,Claudia Tenney,REP,151268,True
New York’s 22nd district,Anthony Brindisi,DEM,143426,False
New York’s 22nd district,Keith Price,LIB,6421,False
New York’s 22nd district, Write-ins,WRI,131,False
New York’s 23rd district,Tom Reed,REP,181060,True
New York’s 23rd district,Tracy Mitrano,DEM,129014,False
New York’s 23rd district,Andrew Kolstee,LIB,3650,False
New York’s 23rd district, Write-ins,WRI,118,False
New York’s 24th district,John Katko,REP,182567,True
New York’s 24th district,Dana Balter,DEM,147638,False
New York’s 24th district,Steven Williams,WFL,13232,False
New York’s 24th district, Write-ins,WRI,187,False
New York’s 25th district,Joseph Morelle,DEM,206396,True
New York’s 25th district,George Mitris,REP,136198,False
New York’s 25th district,Kevin Wilson,LIB,5325,False
New York’s 25th district, Write-ins,WRI,179,False
New York’s 26th district,Brian Higgins,DEM,223276,True
New York’s 26th district,Ricky Donovan,REP,91687,False
New York’s 26th district,Mike Raleigh,GRN,4628,False
New York’s 26th district, Write-ins,WRI,244,False
New York’s 27th district,Chris Jacobs,REP,229044,True
New York’s 27th district,Nate McMurray,DEM,149559,False
New York’s 27th district,Duane Whitmer,LIB,4884,False
New York’s 27th district, Write-ins,WRI,121,False
North Carolina’s 1st district,G.K. Butterfield,DEM,188870,True
North Carolina’s 1st district,Sandy Smith,REP,159748,False
North Carolina’s 2nd district,Deborah Ross,DEM,311887,True
North Carolina’s 2nd district,Alan Swain,REP,172544,False
North Carolina’s 2nd district,Jeff Matemu,LIB,10914,False
North Carolina’s 3rd district,Greg Murphy,REP,229800,True
North Carolina’s 3rd district,Darryl Farrow,DEM,132752,False
North Carolina’s 4th district,David Price,DEM,332421,True
North Carolina’s 4th district,Robert Thomas,REP,161298,False
North Carolina’s 5th district,Virginia Foxx,REP,257843,True
North Carolina’s 5th district,David Brown,DEM,119846,False
North Carolina’s 5th district,Jeff Gregory,CST,7555,False
North Carolina’s 6th district,Kathy Manning,DEM,253531,True
North Carolina’s 6th district,Lee Haywood,REP,153598,False
North Carolina’s 7th district,David Rouzer,REP,272443,True
North Carolina’s 7th district,Christopher Ward,DEM,179045,False
North Carolina’s 8th district,Richard Hudson,REP,202774,True
North Carolina’s 8th district,Patricia Timmons-Goodson,DEM,177781,False
North Carolina’s 9th district,Dan Bishop,REP,224661,True
North Carolina’s 9th district,Cynthia Wallace,DEM,179463,False
North Carolina’s 10th district,Patrick McHenry,REP,284095,True
North Carolina’s 10th district,David Parker,DEM,128189,False
North Carolina’s 11th district,Madison Cawthorn,REP,245351,True
North Carolina’s 11th district,Moe Davis,DEM,190609,False
North Carolina’s 11th district,Tracey Debruhl,LIB,8682,False
North Carolina’s 11th district,Tamara Zwinak,GRN,5503,False
North Carolina’s 12th district,Alma Adams,DEM,341457,True
North Carolina’s 13th district,Ted Budd,REP,267181,True
North Carolina’s 13th district,Scott Huffman,DEM,124684,False
North Dakota at large,Kelly Armstrong,REP,245229,True
North Dakota at large,Zach Raknerud,DEM,97970,False
North Dakota at large,Steven Peterson,LIB,12024,False
Ohio’s 1st district,Steve Chabot,REP,199560,True
Ohio’s 1st district,Kate Schroder,DEM,172022,False
Ohio’s 1st district,Kevin Kahn,LIB,13692,False
Ohio’s 1st district, Write-ins,WRI,11,False
Ohio’s 2nd district,Brad Wenstrup,REP,230430,True
Ohio’s 2nd district,Jaime Castle,DEM,146781,False
Ohio’s 2nd district, Write-ins,WRI,37,False
Ohio’s 3rd district,Joyce Beatty,DEM,227420,True
Ohio’s 3rd district,Mark Richardson,REP,93569,False
Ohio’s 3rd district, Write-ins,WRI,103,False
Ohio’s 4th district,Jim Jordan,REP,235875,True
Ohio’s 4th district,Shannon Freshour,DEM,101897,False
Ohio’s 4th district,Steve Perkins,LIB,9854,False
Ohio’s 5th district,Bob Latta,REP,257019,True
Ohio’s 5th district,Nick Rubando,DEM,120962,False
Ohio’s 6th district,Bill Johnson,REP,249130,True
Ohio’s 6th district,Shawna Roberts,DEM,85661,False
Ohio’s 7th district,Bob Gibbs,REP,236607,True
Ohio’s 7th district,Quentin Potter,DEM,102271,False
Ohio’s 7th district,Brandon Lape,LIB,11671,False
Ohio’s 8th district,Warren Davidson,REP,246277,True
Ohio’s 8th district,Vanessa Enoch,DEM,110766,False
Ohio’s 8th district, Write-ins,WRI,114,False
Ohio’s 9th district,Marcy Kaptur,DEM,190328,True
Ohio’s 9th district,Rob Weber,REP,111385,False
Ohio’s 9th district, Write-ins,WRI,39,False
Ohio’s 10th district,Mike Turner,REP,212972,True
Ohio’s 10th district,Desiree Tims,DEM,151976,False
Ohio’s 11th district,Marcia Fudge,DEM,242098,True
Ohio’s 11th district,Laverne Gore,REP,60323,False
Ohio’s 12th district,Troy Balderson,REP,241790,True
Ohio’s 12th district,Alaina Shearer,DEM,182847,False
Ohio’s 12th district,John Stewart,LIB,13035,False
Ohio’s 13th district,Tim Ryan,DEM,173631,True
Ohio’s 13th district,Christina Hagan,REP,148648,False
Ohio’s 13th district,Michael Fricke,LIB,8522,False
Ohio’s 14th district,David Joyce,REP,238864,True
Ohio’s 14th district,Hillary O'Connor Mueri,DEM,158586,False
Ohio’s 15th district,Steve Stivers,REP,243103,True
Ohio’s 15th district,Joel Newby,DEM,140183,False
Ohio’s 15th district, Write-ins,WRI,75,False
Ohio’s 16th district,Anthony Gonzalez,REP,247335,True
Ohio’s 16th district,Aaron Godfrey,DEM,144071,False
Oklahoma’s 1st district,Kevin Hern,REP,213700,True
Oklahoma’s 1st district,Kojo Asamoa-Caesar,DEM,109641,False
Oklahoma’s 1st district,Evelyn Rogers,IND,12130,False
Oklahoma’s 2nd district,Markwayne Mullin,REP,216511,True
Oklahoma’s 2nd district,Danyell Lanier,DEM,63472,False
Oklahoma’s 2nd district,Richard Castaldo,LIB,8544,False
Oklahoma’s 3rd district,Frank Lucas,REP,242677,True
Oklahoma’s 3rd district,Zoe Midyett,DEM,66501,False
Oklahoma’s 4th district,Tom Cole,REP,213096,True
Oklahoma’s 4th district,Mary Brannon,DEM,90459,False
Oklahoma’s 4th district,Bob White,LIB,10803,False
Oklahoma’s 5th district,Stephanie Bice,REP,158191,True
Oklahoma’s 5th district,Kendra Horn,DEM,145658,False
Oregon’s 1st district,Suzanne Bonamici,DEM,297071,True
Oregon’s 1st district,Christopher Christensen,REP,161928,False
Oregon’s 2nd district,Cliff Bentz,REP,273835,True
Oregon’s 2nd district,Alex Spenser,DEM,168881,False
Oregon’s 2nd district,Robert Werch,LIB,14094,False
Oregon’s 3rd district,Earl Blumenauer,DEM,343574,True
Oregon’s 3rd district,Joanna Harbour,REP,110570,False
Oregon’s 3rd district,Alex DiBlasi,GRN,8872,False
Oregon’s 3rd district,Josh Solomon,LIB,6869,False
Oregon’s 4th district,Peter DeFazio,DEM,240950,True
Oregon’s 4th district,Alek Skarlatos,REP,216081,False
Oregon’s 4th district,Daniel Hoffay,PAG,10118,False
Oregon’s 5th district,Kurt Schrader,DEM,234863,True
Oregon’s 5th district,Amy Ryan Courser,REP,204372,False
Oregon’s 5th district,Matthew Rix,LIB,12640,False
Pennsylvania’s 1st district,Brian Fitzpatrick,REP,249804,True
Pennsylvania’s 1st district,Christina Finello,DEM,191875,False
Pennsylvania’s 2nd district,Brendan Boyle,DEM,198140,True
Pennsylvania’s 2nd district,David Torres,REP,75022,False
Pennsylvania’s 3rd district,Dwight Evans,DEM,341708,True
Pennsylvania’s 3rd district,Michael Harvey,REP,33671,False
Pennsylvania’s 4th district,Madeleine Dean,DEM,264637,True
Pennsylvania’s 4th district,Kathy Barnette,REP,179926,False
Pennsylvania’s 5th district,Mary Gay Scanlon,DEM,255743,True
Pennsylvania’s 5th district,Dasha Pruett,REP,139552,False
Pennsylvania’s 6th district,Chrissy Houlahan,DEM,226440,True
Pennsylvania’s 6th district,John Emmons,REP,177526,False
Pennsylvania’s 7th district,Susan Wild,DEM,195713,True
Pennsylvania’s 7th district,Lisa Scheller,REP,181569,False
Pennsylvania’s 8th district,Matt Cartwright,DEM,178407,True
Pennsylvania’s 8th district,Jim Bognet,REP,166203,False
Pennsylvania’s 9th district,Daniel Meuser,REP,232988,True
Pennsylvania’s 9th district,Gary Wegman,DEM,118266,False
Pennsylvania’s 10th district,Scott Perry,REP,208896,True
Pennsylvania’s 10th district,Eugene DePasquale,DEM,182938,False
Pennsylvania’s 11th district,Lloyd Smucker,REP,241915,True
Pennsylvania’s 11th district,Sarah Hammond,DEM,141325,False
Pennsylvania’s 12th district,Fred Keller,REP,241035,True
Pennsylvania’s 12th district,Lee Griffin,DEM,99199,False
Pennsylvania’s 13th district,John Joyce,REP,267789,True
Pennsylvania’s 13th district,Todd Rowley,DEM,96612,False
Pennsylvania’s 14th district,Guy Reschenthaler,REP,241680,True
Pennsylvania’s 14th district,William Marx,DEM,131882,False
Pennsylvania’s 15th district,Glenn Thompson,REP,255055,True
Pennsylvania’s 15th district,Robert Williams,DEM,92151,False
Pennsylvania’s 16th district,Mike Kelly,REP,210088,True
Pennsylvania’s 16th district,Kristy Gnibus,DEM,143962,False
Pennsylvania’s 17th district,Conor Lamb,DEM,222253,True
Pennsylvania’s 17th district,Sean Parnell,REP,212284,False
Pennsylvania’s 18th district,Mike Doyle,DEM,266084,True
Pennsylvania’s 18th district,Luke Negron,REP,118163,False
Rhode Island’s 1st district,David Cicilline,DEM,158550,True
Rhode Island’s 1st district,Frederick Wysocki,IND,35457,False
Rhode Island’s 1st district,Jeffrey Lemire,IND,28300,False
Rhode Island’s 2nd district,Jim Langevin,DEM,154086,True
Rhode Island’s 2nd district,Robert Lancia,REP,109894,False
South Carolina’s 1st district,Nancy Mace,REP,216042,True
South Carolina’s 1st district,Joe Cunningham,DEM,210627,False
South Carolina’s 2nd district,Joe Wilson,REP,202715,True
South Carolina’s 2nd district,Adair Boroughs,DEM,155118,False
South Carolina’s 2nd district,Kathleen Wright,CST,6163,False
South Carolina’s 3rd district,Jeff Duncan,REP,237544,True
South Carolina’s 3rd district,Hosea Cleveland,DEM,95712,False
South Carolina’s 4th district,William Timmons,REP,222126,True
South Carolina’s 4th district,Kim Nelson,DEM,133023,False
South Carolina’s 4th district,Michael Chandler,CST,5090,False
South Carolina’s 5th district,Ralph Norman,REP,220005,True
South Carolina’s 5th district,Moe Brown,DEM,145958,False
South Carolina’s 6th district,Jim Clyburn,DEM,197477,True
South Carolina’s 6th district,John McCollum,REP,89258,False
South Carolina’s 6th district,Mark Hackett,CST,2646,False
South Carolina’s 7th district,Tom Rice,REP,224993,True
South Carolina’s 7th district,Melissa Watson,DEM,138863,False
South Dakota at large,Dusty Johnson,REP,321984,True
South Dakota at large,Randy Luallin,LIB,75748,False
Tennessee’s 1st district,Diana Harshbarger,REP,227838,True
Tennessee’s 1st district,Blair Walsingham,DEM,68211,False
Tennessee’s 1st district,Steve Holder,IND,8602,False
Tennessee’s 2nd district,Tim Burchett,REP,238447,True
Tennessee’s 2nd district,Renee Hoyos,DEM,109298,False
Tennessee’s 2nd district,Matthew Campbell,IND,4574,False
Tennessee’s 3rd district,Chuck Fleischmann,REP,215318,True
Tennessee’s 3rd district,Meg Gorman,DEM,97510,False
Tennessee’s 3rd district,Amber Hysell,IND,5034,False
Tennessee’s 3rd district,Keith Sweitzer,IND,1988,False
Tennessee’s 4th district,Scott DesJarlais,REP,223200,True
Tennessee’s 4th district,Christopher Hale,DEM,111238,False
Tennessee’s 5th district,Jim Cooper,DEM,250001,True
Tennessee’s 6th district,John Rose,REP,257219,True
Tennessee’s 6th district,Christopher Finley,DEM,83694,False
Tennessee’s 6th district,Christopher Monday,IND,8139,False
Tennessee’s 7th district,Mark Green,REP,244623,True
Tennessee’s 7th district,Kiran Sreepada,DEM,95743,False
Tennessee’s 7th district,Ronald Brown,IND,7588,False
Tennessee’s 7th district,Scott Vieira,IND,1998,False
Tennessee’s 8th district,David Kustoff,REP,226949,True
Tennessee’s 8th district,Erika Pearson,DEM,97561,False
Tennessee’s 8th district,James Hart,IND,3758,False
Tennessee’s 8th district,Jon Dillard,IND,2983,False
Tennessee’s 9th district,Steve Cohen,DEM,187258,True
Tennessee’s 9th district,Charlotte Bergmann,REP,48688,False
Tennessee’s 9th district,Dennis Clark,IND,3947,False
Tennessee’s 9th district,Bobby Lyons,IND,2189,False
Texas’s 1st district,Louie Gohmert,REP,219726,True
Texas’s 1st district,Hank Gilbert,DEM,83016,False
Texas’s 2nd district,Dan Crenshaw,REP,192828,True
Texas’s 2nd district,Sima Ladjevardian,DEM,148374,False
Texas’s 2nd district,Elliott Scheirman,LIB,5524,False
Texas’s 2nd district,Tommy Wakely,GRN,0,False
Texas’s 3rd district,Van Taylor,REP,230512,True
Texas’s 3rd district,Lulu Seikaly,DEM,179458,False
Texas’s 3rd district,Christopher Claytor,LIB,8621,False
Texas’s 4th district,Pat Fallon,REP,253837,True
Texas’s 4th district,Russell Foster,DEM,76326,False
Texas’s 4th district,Lou Antonelli,LIB,6334,False
Texas’s 4th district, Write-ins,WRI,1306,False
Texas’s 5th district,Lance Gooden,REP,173836,True
Texas’s 5th district,Carolyn Salter,DEM,100743,False
Texas’s 5th district,Kevin Hale,LIB,5834,False
Texas’s 6th district,Ron Wright,REP,179507,True
Texas’s 6th district,Stephen Daniel,DEM,149530,False
Texas’s 6th district,Melanie Black,LIB,10955,False
Texas’s 7th district,Lizzie Fletcher,DEM,159529,True
Texas’s 7th district,Wesley Hunt,REP,149054,False
Texas’s 7th district,Shawn Kelly,LIB,5542,False
Texas’s 8th district,Kevin Brady,REP,277327,True
Texas’s 8th district,Elizabeth Hernandez,DEM,97409,False
Texas’s 8th district,Chris Duncan,LIB,7735,False
Texas’s 9th district,Al Green,DEM,172938,True
Texas’s 9th district,Johnny Teague,REP,49575,False
Texas’s 9th district,Jose Sosa,LIB,6594,False
Texas’s 10th district,Michael McCaul,REP,217216,True
Texas’s 10th district,Mike Siegel,DEM,187686,False
Texas’s 10th district,Roy Eriksen,LIB,8992,False
Texas’s 11th district,August Pfluger,REP,232568,True
Texas’s 11th district,Jon Mark Hogg,DEM,53394,False
Texas’s 11th district,Wacey Cody,LIB,5811,False
Texas’s 12th district,Kay Granger,REP,233853,True
Texas’s 12th district,Lisa Welch,DEM,121250,False
Texas’s 12th district,Trey Holcomb,LIB,11918,False
Texas’s 13th district,Ronny Jackson,REP,217124,True
Texas’s 13th district,Gus Trujillo,DEM,50477,False
Texas’s 13th district,Jack Westbrook,LIB,5907,False
Texas’s 14th district,Randy Weber,REP,190541,True
Texas’s 14th district,Adrienne Bell,DEM,118574,False
Texas’s 15th district,Vicente Gonzalez,DEM,115605,True
Texas’s 15th district,Monica De La Cruz-Hernandez,REP,109017,False
Texas’s 15th district,Ross Leone,LIB,4295,False
Texas’s 16th district,Veronica Escobar,DEM,154108,True
Texas’s 16th district,Irene Armendariz-Jackson,REP,84006,False
Texas’s 17th district,Pete Sessions,REP,171390,True
Texas’s 17th district,Rick Kennedy,DEM,125565,False
Texas’s 17th district,Ted Brown,LIB,9918,False
Texas’s 18th district,Sheila Jackson Lee,DEM,180952,True
Texas’s 18th district,Wendell Champion,REP,58033,False
Texas’s 18th district,Luke Spencer,LIB,4514,False
Texas’s 18th district,Vince Duncan,IND,3396,False
Texas’s 19th district,Jodey Arrington,REP,198198,True
Texas’s 19th district,Tom Watson,DEM,60583,False
Texas’s 19th district,Joe Burnes,LIB,6271,False
Texas’s 20th district,Joaquin Castro,DEM,175078,True
Texas’s 20th district,Mauro Garza,REP,89628,False
Texas’s 20th district,Jeffrey Blunt,LIB,6017,False
Texas’s 21st district,Chip Roy,REP,235740,True
Texas’s 21st district,Wendy Davis,DEM,205780,False
Texas’s 21st district,Arthur DiBianca,LIB,8666,False
Texas’s 22nd district,Troy Nehls,REP,210259,True
Texas’s 22nd district,Sri Kulkarni,DEM,181998,False
Texas’s 22nd district,Joseph LeBlanc,LIB,15791,False
Texas’s 23rd district,Tony Gonzales,REP,149395,True
Texas’s 23rd district,Gina Ortiz Jones,DEM,137693,False
Texas’s 23rd district,Beto Villela,LIB,8369,False
Texas’s 24th district,Beth Van Duyne,REP,167910,True
Texas’s 24th district,Candace Valenzuela,DEM,163326,False
Texas’s 24th district,Darren Hamilton,LIB,5647,False
Texas’s 24th district,Stephen Kuzmich,IND,4229,False
Texas’s 24th district,Mark Bauer,IND,2909,False
Texas’s 25th district,Roger Williams,REP,220088,True
Texas’s 25th district,Julie Oliver,DEM,165697,False
Texas’s 25th district,Bill Kelsey,LIB,7738,False
Texas’s 26th district,Michael Burgess,REP,261963,True
Texas’s 26th district,Carol Iannuzzi,DEM,161009,False
Texas’s 26th district,Mark Boler,LIB,9243,False
Texas’s 27th district,Michael Cloud,REP,172305,True
Texas’s 27th district,Ricardo De La Fuente,DEM,95466,False
Texas’s 27th district,Phil Gray,LIB,5482,False
Texas’s 28th district,Henry Cuellar,DEM,137494,True
Texas’s 28th district,Sandra Whitten,REP,91925,False
Texas’s 28th district,Bekah Congdon,LIB,6425,False
Texas’s 29th district,Sylvia Garcia,DEM,111305,True
Texas’s 29th district,Jaimy Blanco,REP,42840,False
Texas’s 29th district,Phil Kurtz,LIB,2328,False
Texas’s 30th district,Eddie Bernice Johnson,DEM,204928,True
Texas’s 30th district,Tre Pennie,REP,48685,False
Texas’s 30th district,Eric Williams,IND,10851,False
Texas’s 31st district,John Carter,REP,212695,True
Texas’s 31st district,Donna Imam,DEM,176293,False
Texas’s 31st district,Clark Patterson,LIB,8922,False
Texas’s 31st district, Write-ins,WRI,177,False
Texas’s 32nd district,Colin Allred,DEM,178542,True
Texas’s 32nd district,Genevieve Collins,REP,157867,False
Texas’s 32nd district,Christy Mowrey Peterson,LIB,4946,False
Texas’s 32nd district,Jason Sigmon,IND,2332,False
Texas’s 33rd district,Marc Veasey,DEM,105317,True
Texas’s 33rd district,Fabian Vasquez,REP,39638,False
Texas’s 33rd district,Carlos Quintanilla,IND,8071,False
Texas’s 33rd district,Jason Reeves,LIB,2586,False
Texas’s 33rd district,Rene Welton,IND,1994,False
Texas’s 34th district,Filemon Vela,DEM,111439,True
Texas’s 34th district,Rey Gonzalez,REP,84119,False
Texas’s 34th district,Anthony Cristo,LIB,3222,False
Texas’s 34th district,Chris Royal,IND,2247,False
Texas’s 35th district,Lloyd Doggett,DEM,176373,True
Texas’s 35th district,Jenny Sharon,REP,80795,False
Texas’s 35th district,Mark Loewe,LIB,7393,False
Texas’s 35th district,Jason Mata,IND,5236,False
Texas’s 36th district,Brian Babin,REP,222712,True
Texas’s 36th district,Rashad Lewis,DEM,73418,False
Texas’s 36th district,Chad Abbey,LIB,4848,False
Texas’s 36th district,Hal Ridley,GRN,1571,False
Utah’s 1st district,Blake Moore,REP,237988,True
Utah’s 1st district,Darren Parry,DEM,104194,False
Utah’s 1st district, Write-ins,WRI,169,False
Utah’s 2nd district,Chris Stewart,REP,208997,True
Utah’s 2nd district,Kael Weston,DEM,129762,False
Utah’s 2nd district,Robert Latham,LIB,15465,False
Utah’s 3rd district,John Curtis,REP,246674,True
Utah’s 3rd district,Devin Thorpe,DEM,96067,False
Utah’s 3rd district,Daniel Cummings,CST,8889,False
Utah’s 3rd district,Thomas McNeill,UU,7040,False
Utah’s 3rd district, Write-ins,WRI,257,False
Utah’s 4th district,Burgess Owens,REP,179688,True
Utah’s 4th district,Ben McAdams,DEM,175923,False
Utah’s 4th district,John Molnar,LIB,13053,False
Utah’s 4th district,Jonia Broderick,UU,8037,False
Utah’s 4th district, Write-ins,WRI,29,False
Vermont at large,Peter Welch,DEM,238827,True
Vermont at large,Miram Berry,REP,95830,False
Vermont at large,Peter Becker,IND,8065,False
Vermont at large,Marcia Horne,IND,4334,False
Vermont at large,Christopher Helali,COM,3432,False
Vermont at large,Shawn Orr,IND,1926,False
Vermont at large,Jerry Trudell,IND,1881,False
Vermont at large, Write-ins,WRI,544,False
Virginia’s 1st district,Rob Wittman,REP,260614,True
Virginia’s 1st district,Qasim Rashid,DEM,186923,False
Virginia’s 2nd district,Elaine Luria,DEM,185505,True
Virginia’s 2nd district,Scott Taylor,REP,164925,False
Virginia’s 2nd district,David Foster,IND,9163,False
Virginia’s 3rd district,Bobby Scott,DEM,233326,True
Virginia’s 3rd district,John Collick,REP,107299,False
Virginia’s 4th district,Donald McEachin,DEM,241142,True
Virginia’s 4th district,Leon Benjamin,REP,149625,False
Virginia’s 5th district,Bob Good,REP,210988,True
Virginia’s 5th district,Cameron Webb,DEM,190315,False
Virginia’s 6th district,Ben Cline,REP,246606,True
Virginia’s 6th district,Nicholas Betts,DEM,134729,False
Virginia’s 7th district,Abigail Spanberger,DEM,230893,True
Virginia’s 7th district,Nick Freitas,REP,222623,False
Virginia’s 8th district,Donald Beyer,DEM,301454,True
Virginia’s 8th district,Jeff Jordan,REP,95365,False
Virginia’s 9th district,Morgan Griffith,REP,271851,True
Virginia’s 10th district,Jennifer Wexton,DEM,268734,True
Virginia’s 10th district,Aliscia Andrews,REP,206253,False
Virginia’s 11th district,Gerry Connolly,DEM,280725,True
Virginia’s 11th district,Manga Anantatmula,REP,111380,False
Washington’s 1st district,Suzan DelBene,DEM,249944,True
Washington’s 1st district,Jeffrey Beeler,REP,176407,False
Washington’s 1st district, Write-ins,WRI,511,False
Washington’s 2nd district,Rick Larsen,DEM,255252,True
Washington’s 2nd district,Timothy Hazelo,REP,148384,False
Washington’s 2nd district, Write-ins,WRI,962,False
Washington’s 3rd district,Jaime Herrera Beutler,REP,235579,True
Washington’s 3rd district,Carolyn Long,DEM,181347,False
Washington’s 3rd district, Write-ins,WRI,977,False
Washington’s 4th district,Dan Newhouse,REP,202108,True
Washington’s 4th district,Douglas McKinley,DEM,102667,False
Washington’s 4th district, Write-ins,WRI,488,False
Washington’s 5th district,Cathy McMorris Rodgers,REP,247815,True
Washington’s 5th district,Dave Wilson,DEM,155737,False
Washington’s 5th district, Write-ins,WRI,808,False
Washington’s 6th district,Derek Kilmer,DEM,247429,True
Washington’s 6th district,Elizabeth Kreiselmaier,REP,168783,False
Washington’s 6th district, Write-ins,WRI,1004,False
Washington’s 7th district,Pramila Jayapal,DEM,387109,True
Washington’s 7th district,Craig Keller,REP,78240,False
Washington’s 7th district, Write-ins,WRI,1113,False
Washington’s 8th district,Kim Schrier,DEM,213123,True
Washington’s 8th district,Jesse Jensen,REP,198423,False
Washington’s 8th district, Write-ins,WRI,566,False
Washington’s 9th district,Adam Smith,DEM,258771,True
Washington’s 9th district,Doug Basler,REP,89697,False
Washington’s 9th district, Write-ins,WRI,582,False
Washington’s 10th district,Marilyn Strickland,DEM,167937,True
Washington’s 10th district,Beth Doglio,DEM,121040,False
Washington’s 10th district, Write-ins,WRI,51430,False
West Virginia’s 1st district,David McKinley,REP,180488,True
West Virginia’s 1st district,Natalie Cline,DEM,81177,False
West Virginia’s 1st district, Write-ins,WRI,0,False
West Virginia’s 2nd district,Alex Mooney,REP,172195,True
West Virginia’s 2nd district,Cathy Kunkel,DEM,100799,False
West Virginia’s 3rd district,Carol Miller,REP,161585,True
West Virginia’s 3rd district,Hilary Turner,DEM,64927,False
West Virginia’s 3rd district, Write-ins,WRI,13,False
Wisconsin’s 1st district,Bryan Steil,REP,238271,True
Wisconsin’s 1st district,Roger Polack,DEM,163170,False
Wisconsin’s 2nd district,Mark Pocan,DEM,318523,True
Wisconsin’s 2nd district,Peter Theron,REP,138306,False
Wisconsin’s 3rd district,Ron Kind,DEM,199870,True
Wisconsin’s 3rd district,Derrick Van Orden,REP,189524,False
Wisconsin’s 4th district,Gwen Moore,DEM,232668,True
