state,county,candidate,party,total_votes,won
Florida,Gulf County,Don Blankenship,CST,6,False
Florida,Gulf County,Rocky De La Fuente,ALI,6,False
Florida,Gulf County,Howie Hawkins,GRN,5,False
Florida,Gulf County,Gloria La Riva,PSL,0,False
Florida,Gulf County, Write-ins,WRI,0,False
Florida,Hamilton County,Donald Trump,REP,3815,True
Florida,Hamilton County,Joe Biden,DEM,1963,False
Florida,Hamilton County,Jo Jorgensen,LIB,33,False
Florida,Hamilton County,Howie Hawkins,GRN,8,False
Florida,Hamilton County,Rocky De La Fuente,ALI,6,False
Florida,Hamilton County,Don Blankenship,CST,2,False
Florida,Hamilton County,Gloria La Riva,PSL,2,False
Florida,Hamilton County, Write-ins,WRI,1,False
Florida,Hardee County,Donald Trump,REP,6122,True
Florida,Hardee County,Joe Biden,DEM,2298,False
Florida,Hardee County,Jo Jorgensen,LIB,40,False
Florida,Hardee County,Rocky De La Fuente,ALI,10,False
Florida,Hardee County,Howie Hawkins,GRN,8,False
Florida,Hardee County,Gloria La Riva,PSL,6,False
Florida,Hardee County,Don Blankenship,CST,1,False
Florida,Hendry County,Donald Trump,REP,7906,True
Florida,Hendry County,Joe Biden,DEM,4929,False
Florida,Hendry County,Jo Jorgensen,LIB,65,False
Florida,Hendry County,Howie Hawkins,GRN,13,False
Florida,Hendry County,Rocky De La Fuente,ALI,11,False
Florida,Hendry County,Gloria La Riva,PSL,8,False
Florida,Hendry County,Don Blankenship,CST,7,False
Florida,Hendry County, Write-ins,WRI,1,False
Florida,Hernando County,Donald Trump,REP,70412,True
Florida,Hernando County,Joe Biden,DEM,37519,False
Florida,Hernando County,Jo Jorgensen,LIB,686,False
Florida,Hernando County,Howie Hawkins,GRN,151,False
Florida,Hernando County,Rocky De La Fuente,ALI,62,False
Florida,Hernando County,Gloria La Riva,PSL,44,False
Florida,Hernando County,Don Blankenship,CST,40,False
Florida,Hernando County, Write-ins,WRI,8,False
Florida,Highlands County,Donald Trump,REP,34873,True
Florida,Highlands County,Joe Biden,DEM,16938,False
Florida,Highlands County,Jo Jorgensen,LIB,223,False
Florida,Highlands County,Howie Hawkins,GRN,53,False
Florida,Highlands County,Don Blankenship,CST,28,False
Florida,Highlands County,Rocky De La Fuente,ALI,28,False
Florida,Highlands County,Gloria La Riva,PSL,24,False
Florida,Highlands County, Write-ins,WRI,3,False
Florida,Hillsborough County,Joe Biden,DEM,376367,True
Florida,Hillsborough County,Donald Trump,REP,327398,False
Florida,Hillsborough County,Jo Jorgensen,LIB,5665,False
Florida,Hillsborough County,Howie Hawkins,GRN,1187,False
Florida,Hillsborough County,Rocky De La Fuente,ALI,574,False
Florida,Hillsborough County,Gloria La Riva,PSL,529,False
Florida,Hillsborough County,Don Blankenship,CST,270,False
Florida,Hillsborough County, Write-ins,WRI,73,False
Florida,Holmes County,Donald Trump,REP,8080,True
Florida,Holmes County,Joe Biden,DEM,924,False
Florida,Holmes County,Jo Jorgensen,LIB,48,False
Florida,Holmes County,Howie Hawkins,GRN,9,False
Florida,Holmes County,Don Blankenship,CST,4,False
Florida,Holmes County,Rocky De La Fuente,ALI,2,False
Florida,Holmes County,Gloria La Riva,PSL,1,False
Florida,Indian River County,Donald Trump,REP,58872,True
Florida,Indian River County,Joe Biden,DEM,37844,False
Florida,Indian River County,Jo Jorgensen,LIB,534,False
Florida,Indian River County,Howie Hawkins,GRN,117,False
Florida,Indian River County,Rocky De La Fuente,ALI,43,False
Florida,Indian River County,Don Blankenship,CST,38,False
Florida,Indian River County,Gloria La Riva,PSL,33,False
Florida,Indian River County, Write-ins,WRI,3,False
Florida,Jackson County,Donald Trump,REP,15488,True
Florida,Jackson County,Joe Biden,DEM,6766,False
Florida,Jackson County,Jo Jorgensen,LIB,116,False
Florida,Jackson County,Rocky De La Fuente,ALI,13,False
Florida,Jackson County,Howie Hawkins,GRN,13,False
Florida,Jackson County,Gloria La Riva,PSL,13,False
Florida,Jackson County,Don Blankenship,CST,5,False
Florida,Jackson County, Write-ins,WRI,5,False
Florida,Jefferson County,Donald Trump,REP,4479,True
Florida,Jefferson County,Joe Biden,DEM,3897,False
Florida,Jefferson County,Jo Jorgensen,LIB,46,False
Florida,Jefferson County,Howie Hawkins,GRN,13,False
Florida,Jefferson County,Don Blankenship,CST,5,False
Florida,Jefferson County,Rocky De La Fuente,ALI,4,False
Florida,Jefferson County,Gloria La Riva,PSL,4,False
Florida,Jefferson County, Write-ins,WRI,3,False
Florida,Lafayette County,Donald Trump,REP,3128,True
Florida,Lafayette County,Joe Biden,DEM,510,False
Florida,Lafayette County,Jo Jorgensen,LIB,14,False
Florida,Lafayette County,Don Blankenship,CST,2,False
Florida,Lafayette County,Howie Hawkins,GRN,2,False
Florida,Lafayette County,Rocky De La Fuente,ALI,1,False
Florida,Lafayette County,Gloria La Riva,PSL,1,False
Florida,Lake County,Donald Trump,REP,125859,True
Florida,Lake County,Joe Biden,DEM,83505,False
Florida,Lake County,Jo Jorgensen,LIB,1385,False
Florida,Lake County,Howie Hawkins,GRN,254,False
Florida,Lake County,Rocky De La Fuente,ALI,120,False
Florida,Lake County,Gloria La Riva,PSL,96,False
Florida,Lake County,Don Blankenship,CST,79,False
Florida,Lake County, Write-ins,WRI,16,False
Florida,Lee County,Donald Trump,REP,233247,True
Florida,Lee County,Joe Biden,DEM,157695,False
Florida,Lee County,Jo Jorgensen,LIB,2016,False
Florida,Lee County,Howie Hawkins,GRN,440,False
Florida,Lee County,Rocky De La Fuente,ALI,187,False
Florida,Lee County,Gloria La Riva,PSL,176,False
Florida,Lee County,Don Blankenship,CST,121,False
Florida,Lee County, Write-ins,WRI,17,False
Florida,Leon County,Joe Biden,DEM,103517,True
Florida,Leon County,Donald Trump,REP,57453,False
Florida,Leon County,Jo Jorgensen,LIB,1344,False
Florida,Leon County,Howie Hawkins,GRN,271,False
Florida,Leon County,Gloria La Riva,PSL,122,False
Florida,Leon County,Rocky De La Fuente,ALI,98,False
Florida,Leon County,Don Blankenship,CST,71,False
Florida,Leon County, Write-ins,WRI,53,False
Florida,Levy County,Donald Trump,REP,16749,True
Florida,Levy County,Joe Biden,DEM,6205,False
Florida,Levy County,Jo Jorgensen,LIB,131,False
Florida,Levy County,Howie Hawkins,GRN,25,False
Florida,Levy County,Rocky De La Fuente,ALI,14,False
Florida,Levy County,Don Blankenship,CST,13,False
Florida,Levy County,Gloria La Riva,PSL,7,False
Florida,Levy County, Write-ins,WRI,1,False
Florida,Liberty County,Donald Trump,REP,2846,True
Florida,Liberty County,Joe Biden,DEM,694,False
Florida,Liberty County,Jo Jorgensen,LIB,14,False
Florida,Liberty County,Rocky De La Fuente,ALI,2,False
Florida,Liberty County,Howie Hawkins,GRN,2,False
Florida,Liberty County,Gloria La Riva,PSL,2,False
Florida,Liberty County,Don Blankenship,CST,1,False
Florida,Madison County,Donald Trump,REP,5576,True
Florida,Madison County,Joe Biden,DEM,3747,False
Florida,Madison County,Jo Jorgensen,LIB,32,False
Florida,Madison County,Howie Hawkins,GRN,13,False
Florida,Madison County,Don Blankenship,CST,5,False
Florida,Madison County,Gloria La Riva,PSL,4,False
Florida,Madison County,Rocky De La Fuente,ALI,3,False
Florida,Madison County, Write-ins,WRI,0,False
Florida,Manatee County,Donald Trump,REP,124987,True
Florida,Manatee County,Joe Biden,DEM,90166,False
Florida,Manatee County,Jo Jorgensen,LIB,1287,False
Florida,Manatee County,Howie Hawkins,GRN,258,False
Florida,Manatee County,Rocky De La Fuente,ALI,96,False
Florida,Manatee County,Gloria La Riva,PSL,78,False
Florida,Manatee County,Don Blankenship,CST,69,False
Florida,Manatee County, Write-ins,WRI,17,False
Florida,Marion County,Donald Trump,REP,127826,True
Florida,Marion County,Joe Biden,DEM,74858,False
Florida,Marion County,Jo Jorgensen,LIB,1180,False
Florida,Marion County,Howie Hawkins,GRN,228,False
Florida,Marion County,Gloria La Riva,PSL,98,False
Florida,Marion County,Rocky De La Fuente,ALI,91,False
Florida,Marion County,Don Blankenship,CST,80,False
Florida,Marion County, Write-ins,WRI,15,False
Florida,Martin County,Donald Trump,REP,61168,True
Florida,Martin County,Joe Biden,DEM,36893,False
Florida,Martin County,Jo Jorgensen,LIB,448,False
Florida,Martin County,Howie Hawkins,GRN,105,False
Florida,Martin County,Rocky De La Fuente,ALI,38,False
Florida,Martin County,Don Blankenship,CST,37,False
Florida,Martin County,Gloria La Riva,PSL,35,False
Florida,Martin County, Write-ins,WRI,2,False
Florida,Miami-Dade County,Joe Biden,DEM,617864,True
Florida,Miami-Dade County,Donald Trump,REP,532833,False
Florida,Miami-Dade County,Jo Jorgensen,LIB,3329,False
Florida,Miami-Dade County,Howie Hawkins,GRN,1289,False
Florida,Miami-Dade County,Rocky De La Fuente,ALI,602,False
Florida,Miami-Dade County,Gloria La Riva,PSL,579,False
Florida,Miami-Dade County,Don Blankenship,CST,293,False
Florida,Miami-Dade County, Write-ins,WRI,27,False
Florida,Monroe County,Donald Trump,REP,25693,True
Florida,Monroe County,Joe Biden,DEM,21881,False
Florida,Monroe County,Jo Jorgensen,LIB,348,False
Florida,Monroe County,Howie Hawkins,GRN,51,False
Florida,Monroe County,Rocky De La Fuente,ALI,26,False
Florida,Monroe County,Gloria La Riva,PSL,14,False
Florida,Monroe County,Don Blankenship,CST,12,False
Florida,Monroe County, Write-ins,WRI,4,False
Florida,Nassau County,Donald Trump,REP,42566,True
Florida,Nassau County,Joe Biden,DEM,15564,False
Florida,Nassau County,Jo Jorgensen,LIB,569,False
Florida,Nassau County,Howie Hawkins,GRN,43,False
Florida,Nassau County,Rocky De La Fuente,ALI,28,False
Florida,Nassau County,Don Blankenship,CST,24,False
Florida,Nassau County,Gloria La Riva,PSL,12,False
Florida,Nassau County, Write-ins,WRI,5,False
Florida,Okaloosa County,Donald Trump,REP,79798,True
Florida,Okaloosa County,Joe Biden,DEM,34248,False
Florida,Okaloosa County,Jo Jorgensen,LIB,1881,False
Florida,Okaloosa County,Howie Hawkins,GRN,183,False
Florida,Okaloosa County,Don Blankenship,CST,79,False
Florida,Okaloosa County,Rocky De La Fuente,ALI,76,False
Florida,Okaloosa County,Gloria La Riva,PSL,73,False
Florida,Okaloosa County, Write-ins,WRI,35,False
Florida,Okeechobee County,Donald Trump,REP,11470,True
Florida,Okeechobee County,Joe Biden,DEM,4390,False
Florida,Okeechobee County,Jo Jorgensen,LIB,66,False
Florida,Okeechobee County,Don Blankenship,CST,8,False
Florida,Okeechobee County,Rocky De La Fuente,ALI,8,False
Florida,Okeechobee County,Howie Hawkins,GRN,7,False
Florida,Okeechobee County,Gloria La Riva,PSL,4,False
Florida,Okeechobee County, Write-ins,WRI,1,False
Florida,Orange County,Joe Biden,DEM,395014,True
Florida,Orange County,Donald Trump,REP,245398,False
Florida,Orange County,Jo Jorgensen,LIB,4685,False
Florida,Orange County,Howie Hawkins,GRN,1146,False
Florida,Orange County,Gloria La Riva,PSL,444,False
Florida,Orange County,Rocky De La Fuente,ALI,386,False
Florida,Orange County,Don Blankenship,CST,223,False
Florida,Orange County, Write-ins,WRI,107,False
Florida,Osceola County,Joe Biden,DEM,97297,True
Florida,Osceola County,Donald Trump,REP,73480,False
Florida,Osceola County,Jo Jorgensen,LIB,964,False
Florida,Osceola County,Howie Hawkins,GRN,290,False
Florida,Osceola County,Rocky De La Fuente,ALI,166,False
Florida,Osceola County,Gloria La Riva,PSL,140,False
Florida,Osceola County,Don Blankenship,CST,70,False
Florida,Osceola County, Write-ins,WRI,29,False
Florida,Palm Beach County,Joe Biden,DEM,433572,True
Florida,Palm Beach County,Donald Trump,REP,334711,False
Florida,Palm Beach County,Jo Jorgensen,LIB,3040,False
Florida,Palm Beach County,Howie Hawkins,GRN,891,False
Florida,Palm Beach County,Rocky De La Fuente,ALI,356,False
Florida,Palm Beach County,Gloria La Riva,PSL,335,False
Florida,Palm Beach County,Don Blankenship,CST,188,False
Florida,Palm Beach County, Write-ins,WRI,65,False
Florida,Pasco County,Donald Trump,REP,179621,True
Florida,Pasco County,Joe Biden,DEM,119073,False
Florida,Pasco County,Jo Jorgensen,LIB,2265,False
Florida,Pasco County,Howie Hawkins,GRN,467,False
Florida,Pasco County,Rocky De La Fuente,ALI,200,False
Florida,Pasco County,Gloria La Riva,PSL,169,False
Florida,Pasco County,Don Blankenship,CST,142,False
Florida,Pasco County, Write-ins,WRI,33,False
Florida,Pinellas County,Joe Biden,DEM,277450,True
Florida,Pinellas County,Donald Trump,REP,276209,False
Florida,Pinellas County,Jo Jorgensen,LIB,4268,False
Florida,Pinellas County,Howie Hawkins,GRN,912,False
Florida,Pinellas County,Gloria La Riva,PSL,311,False
Florida,Pinellas County,Rocky De La Fuente,ALI,305,False
Florida,Pinellas County,Don Blankenship,CST,199,False
Florida,Pinellas County, Write-ins,WRI,61,False
Florida,Polk County,Donald Trump,REP,194586,True
Florida,Polk County,Joe Biden,DEM,145049,False
Florida,Polk County,Jo Jorgensen,LIB,2595,False
Florida,Polk County,Howie Hawkins,GRN,425,False
Florida,Polk County,Gloria La Riva,PSL,217,False
Florida,Polk County,Rocky De La Fuente,ALI,204,False
Florida,Polk County,Don Blankenship,CST,140,False
Florida,Polk County, Write-ins,WRI,40,False
Florida,Putnam County,Donald Trump,REP,25514,True
Florida,Putnam County,Joe Biden,DEM,10527,False
Florida,Putnam County,Jo Jorgensen,LIB,226,False
Florida,Putnam County,Howie Hawkins,GRN,50,False
Florida,Putnam County,Gloria La Riva,PSL,21,False
Florida,Putnam County,Don Blankenship,CST,20,False
Florida,Putnam County,Rocky De La Fuente,ALI,14,False
Florida,Putnam County, Write-ins,WRI,1,False
Florida,St. Johns County,Donald Trump,REP,110946,True
Florida,St. Johns County,Joe Biden,DEM,63850,False
Florida,St. Johns County,Jo Jorgensen,LIB,1413,False
Florida,St. Johns County,Howie Hawkins,GRN,210,False
Florida,St. Johns County,Rocky De La Fuente,ALI,101,False
Florida,St. Johns County,Gloria La Riva,PSL,54,False
Florida,St. Johns County,Don Blankenship,CST,44,False
Florida,St. Johns County, Write-ins,WRI,4,False
Florida,St. Lucie County,Donald Trump,REP,86831,True
Florida,St. Lucie County,Joe Biden,DEM,84137,False
Florida,St. Lucie County,Jo Jorgensen,LIB,768,False
Florida,St. Lucie County,Howie Hawkins,GRN,209,False
Florida,St. Lucie County,Gloria La Riva,PSL,82,False
Florida,St. Lucie County,Rocky De La Fuente,ALI,71,False
Florida,St. Lucie County,Don Blankenship,CST,61,False
Florida,St. Lucie County, Write-ins,WRI,10,False
Florida,Santa Rosa County,Donald Trump,REP,77385,True
Florida,Santa Rosa County,Joe Biden,DEM,27612,False
Florida,Santa Rosa County,Jo Jorgensen,LIB,1645,False
Florida,Santa Rosa County,Howie Hawkins,GRN,122,False
Florida,Santa Rosa County,Rocky De La Fuente,ALI,60,False
Florida,Santa Rosa County,Don Blankenship,CST,55,False
Florida,Santa Rosa County,Gloria La Riva,PSL,46,False
Florida,Santa Rosa County, Write-ins,WRI,3,False
Florida,Sarasota County,Donald Trump,REP,148370,True
Florida,Sarasota County,Joe Biden,DEM,120110,False
