state,state_code,date,cases,deaths
Alabama,AL,2020-06-22,30771,841
Alabama,AL,2020-06-23,31889,864
Alabama,AL,2020-06-24,32878,891
Alabama,AL,2020-06-25,33880,896
Alabama,AL,2020-06-26,34903,907
Alabama,AL,2020-06-27,35083,919
Alabama,AL,2020-06-28,36503,919
Alabama,AL,2020-06-29,37589,929
Alabama,AL,2020-06-30,38477,950
Alabama,AL,2020-07-01,39647,972
Alabama,AL,2020-07-02,41340,985
Alabama,AL,2020-07-03,42255,1006
Alabama,AL,2020-07-04,43216,1007
Alabama,AL,2020-07-05,44022,1007
Alabama,AL,2020-07-06,44932,1007
Alabama,AL,2020-07-07,46348,1033
Alabama,AL,2020-07-08,48149,1058
Alabama,AL,2020-07-09,49695,1068
Alabama,AL,2020-07-10,51329,1104
Alabama,AL,2020-07-11,52802,1114
Alabama,AL,2020-07-12,54781,1121
Alabama,AL,2020-07-13,56168,1124
Alabama,AL,2020-07-14,58284,1164
Alabama,AL,2020-07-15,60194,1211
Alabama,AL,2020-07-16,62128,1230
Alabama,AL,2020-07-17,64152,1265
Alabama,AL,2020-07-18,66181,1286
Alabama,AL,2020-07-19,67733,1287
Alabama,AL,2020-07-20,69236,1291
Alabama,AL,2020-07-21,70600,1303
Alabama,AL,2020-07-22,72594,1364
Alabama,AL,2020-07-23,74685,1397
Alabama,AL,2020-07-24,76795,1438
Alabama,AL,2020-07-25,78188,1456
Alabama,AL,2020-07-26,79948,1473
Alabama,AL,2020-07-27,81256,1491
Alabama,AL,2020-07-28,82698,1491
Alabama,AL,2020-07-29,84652,1538
Alabama,AL,2020-07-30,86664,1565
Alabama,AL,2020-07-31,88266,1580
Alabama,AL,2020-08-01,90299,1603
Alabama,AL,2020-08-02,91458,1627
Alabama,AL,2020-08-03,92502,1633
Alabama,AL,2020-08-04,93457,1666
Alabama,AL,2020-08-05,95323,1695
Alabama,AL,2020-08-06,97044,1714
Alabama,AL,2020-08-07,98895,1735
Alabama,AL,2020-08-08,99854,1755
Alabama,AL,2020-08-09,101466,1768
Alabama,AL,2020-08-10,102391,1797
Alabama,AL,2020-08-11,103485,1847
Alabama,AL,2020-08-12,104219,1882
Alabama,AL,2020-08-13,104976,1890
Alabama,AL,2020-08-14,106096,1893
Alabama,AL,2020-08-15,106926,1896
Alabama,AL,2020-08-16,107667,1898
Alabama,AL,2020-08-17,109092,1925
Alabama,AL,2020-08-18,110415,1936
Alabama,AL,2020-08-19,111696,1944
Alabama,AL,2020-08-20,112737,1974
Alabama,AL,2020-08-21,114212,1996
Alabama,AL,2020-08-22,114809,2011
Alabama,AL,2020-08-23,115485,2013
Alabama,AL,2020-08-24,116045,2024
Alabama,AL,2020-08-25,118190,2037
Alabama,AL,2020-08-26,119904,2045
Alabama,AL,2020-08-27,121041,2076
Alabama,AL,2020-08-28,122879,2107
Alabama,AL,2020-08-29,124155,2152
Alabama,AL,2020-08-30,124944,2162
Alabama,AL,2020-08-31,126500,2182
Alabama,AL,2020-09-01,127234,2200
Alabama,AL,2020-09-02,128240,2217
Alabama,AL,2020-09-03,129225,2233
Alabama,AL,2020-09-04,130373,2266
Alabama,AL,2020-09-05,130914,2275
Alabama,AL,2020-09-06,131690,2276
Alabama,AL,2020-09-07,132221,2276
Alabama,AL,2020-09-08,133005,2277
Alabama,AL,2020-09-09,134061,2285
Alabama,AL,2020-09-10,135138,2301
Alabama,AL,2020-09-11,136107,2333
Alabama,AL,2020-09-12,137166,2350
Alabama,AL,2020-09-13,137861,2351
Alabama,AL,2020-09-14,138619,2355
Alabama,AL,2020-09-15,139660,2387
Alabama,AL,2020-09-16,140423,2392
Alabama,AL,2020-09-17,141454,2401
Alabama,AL,2020-09-18,142768,2428
Alabama,AL,2020-09-19,143578,2437
Alabama,AL,2020-09-20,144325,2437
Alabama,AL,2020-09-21,145202,2439
Alabama,AL,2020-09-22,145859,2457
Alabama,AL,2020-09-23,146897,2488
Alabama,AL,2020-09-24,149263,2506
Alabama,AL,2020-09-25,150239,2491
Alabama,AL,2020-09-26,150965,2501
Alabama,AL,2020-09-27,151604,2501
Alabama,AL,2020-09-28,152350,2501
Alabama,AL,2020-09-29,153584,2517
Alabama,AL,2020-09-30,154772,2540
Alabama,AL,2020-10-01,155727,2548
Alabama,AL,2020-10-02,157402,2550
Alabama,AL,2020-10-03,158181,2558
Alabama,AL,2020-10-04,158717,2558
Alabama,AL,2020-10-05,159476,2559
Alabama,AL,2020-10-06,160485,2580
Alabama,AL,2020-10-07,161085,2601
Alabama,AL,2020-10-08,162683,2637
Alabama,AL,2020-10-09,163897,2653
Alabama,AL,2020-10-10,164698,2664
Alabama,AL,2020-10-11,165414,2664
Alabama,AL,2020-10-12,166514,2665
Alabama,AL,2020-10-13,167396,2665
Alabama,AL,2020-10-14,168620,2706
Alabama,AL,2020-10-15,169845,2756
Alabama,AL,2020-10-16,171157,2786
Alabama,AL,2020-10-17,172137,2788
Alabama,AL,2020-10-18,173002,2788
Alabama,AL,2020-10-19,174078,2789
Alabama,AL,2020-10-20,175210,2805
Alabama,AL,2020-10-21,176605,2828
Alabama,AL,2020-10-22,180437,2843
Alabama,AL,2020-10-23,182567,2859
Alabama,AL,2020-10-24,183831,2866
Alabama,AL,2020-10-25,184723,2866
Alabama,AL,2020-10-26,185938,2866
Alabama,AL,2020-10-27,187267,2892
Alabama,AL,2020-10-28,188775,2911
Alabama,AL,2020-10-29,190113,2914
Alabama,AL,2020-10-30,191932,2932
Alabama,AL,2020-10-31,193613,2967
Alabama,AL,2020-11-01,194458,2973
Alabama,AL,2020-11-02,195692,2973
Alabama,AL,2020-11-03,197504,2987
Alabama,AL,2020-11-04,198927,3006
Alabama,AL,2020-11-05,200528,3026
Alabama,AL,2020-11-06,202131,3049
Alabama,AL,2020-11-07,203518,3082
Alabama,AL,2020-11-08,204665,3084
Alabama,AL,2020-11-09,206523,3084
Alabama,AL,2020-11-10,206562,3120
Alabama,AL,2020-11-11,208637,3201
Alabama,AL,2020-11-12,210637,3213
Alabama,AL,2020-11-13,213617,3231
Alabama,AL,2020-11-14,215843,3246
Alabama,AL,2020-11-15,217822,3248
Alabama,AL,2020-11-16,219232,3249
Alabama,AL,2020-11-17,220848,3301
Alabama,AL,2020-11-18,223486,3347
Alabama,AL,2020-11-19,225910,3419
Alabama,AL,2020-11-20,228373,3451
Alabama,AL,2020-11-21,230708,3457
Alabama,AL,2020-11-22,232506,3457
Alabama,AL,2020-11-23,234080,3459
Alabama,AL,2020-11-24,236865,3472
Alabama,AL,2020-11-25,239318,3532
Alabama,AL,2020-11-26,241957,3572
Alabama,AL,2020-11-27,242874,3572
Alabama,AL,2020-11-28,244993,3572
Alabama,AL,2020-11-29,247229,3577
Alabama,AL,2020-11-30,249524,3578
Alabama,AL,2020-12-01,252900,3638
Alabama,AL,2020-12-02,256828,3711
Alabama,AL,2020-12-03,260359,3776
Alabama,AL,2020-12-04,264199,3831
Alabama,AL,2020-12-05,267589,3877
Alabama,AL,2020-12-06,269877,3889
Alabama,AL,2020-12-07,272229,3892
Alabama,AL,2020-12-08,276665,3942
Alabama,AL,2020-12-09,280187,3985
Alaska,AK,2020-01-22,0,0
Alaska,AK,2020-01-23,0,0
Alaska,AK,2020-01-24,0,0
Alaska,AK,2020-01-25,0,0
Alaska,AK,2020-01-26,0,0
Alaska,AK,2020-01-27,0,0
Alaska,AK,2020-01-28,0,0
Alaska,AK,2020-01-29,0,0
Alaska,AK,2020-01-30,0,0
Alaska,AK,2020-01-31,0,0
Alaska,AK,2020-02-01,0,0
Alaska,AK,2020-02-02,0,0
Alaska,AK,2020-02-03,0,0
Alaska,AK,2020-02-04,0,0
Alaska,AK,2020-02-05,0,0
Alaska,AK,2020-02-06,0,0
Alaska,AK,2020-02-07,0,0
Alaska,AK,2020-02-08,0,0
Alaska,AK,2020-02-09,0,0
Alaska,AK,2020-02-10,0,0
Alaska,AK,2020-02-11,0,0
Alaska,AK,2020-02-12,0,0
Alaska,AK,2020-02-13,0,0
Alaska,AK,2020-02-14,0,0
Alaska,AK,2020-02-15,0,0
Alaska,AK,2020-02-16,0,0
Alaska,AK,2020-02-17,0,0
Alaska,AK,2020-02-18,0,0
Alaska,AK,2020-02-19,0,0
Alaska,AK,2020-02-20,0,0
Alaska,AK,2020-02-21,0,0
Alaska,AK,2020-02-22,0,0
Alaska,AK,2020-02-23,0,0
Alaska,AK,2020-02-24,0,0
Alaska,AK,2020-02-25,0,0
Alaska,AK,2020-02-26,0,0
Alaska,AK,2020-02-27,0,0
Alaska,AK,2020-02-28,0,0
Alaska,AK,2020-02-29,0,0
Alaska,AK,2020-03-01,0,0
Alaska,AK,2020-03-02,0,0
Alaska,AK,2020-03-03,0,0
Alaska,AK,2020-03-04,0,0
Alaska,AK,2020-03-05,0,0
Alaska,AK,2020-03-06,0,0
Alaska,AK,2020-03-07,0,0
Alaska,AK,2020-03-08,0,0
Alaska,AK,2020-03-09,0,0
Alaska,AK,2020-03-10,0,0
Alaska,AK,2020-03-11,0,0
Alaska,AK,2020-03-12,0,0
Alaska,AK,2020-03-13,1,0
Alaska,AK,2020-03-14,1,0
Alaska,AK,2020-03-15,1,0
Alaska,AK,2020-03-16,1,0
Alaska,AK,2020-03-17,4,0
Alaska,AK,2020-03-18,9,0
Alaska,AK,2020-03-19,12,0
Alaska,AK,2020-03-20,15,0
Alaska,AK,2020-03-21,16,0
Alaska,AK,2020-03-22,26,0
Alaska,AK,2020-03-23,39,0
Alaska,AK,2020-03-24,43,0
Alaska,AK,2020-03-25,50,1
Alaska,AK,2020-03-26,64,1
Alaska,AK,2020-03-27,75,1
Alaska,AK,2020-03-28,92,2
Alaska,AK,2020-03-29,111,2
Alaska,AK,2020-03-30,119,3
Alaska,AK,2020-03-31,129,3
Alaska,AK,2020-04-01,142,3
Alaska,AK,2020-04-02,150,3
Alaska,AK,2020-04-03,161,3
Alaska,AK,2020-04-04,172,5
Alaska,AK,2020-04-05,187,6
Alaska,AK,2020-04-06,193,6
Alaska,AK,2020-04-07,215,6
Alaska,AK,2020-04-08,228,7
Alaska,AK,2020-04-09,238,7
Alaska,AK,2020-04-10,249,7
Alaska,AK,2020-04-11,261,8
Alaska,AK,2020-04-12,276,8
Alaska,AK,2020-04-13,281,8
Alaska,AK,2020-04-14,289,9
Alaska,AK,2020-04-15,297,9
Alaska,AK,2020-04-16,305,9
Alaska,AK,2020-04-17,314,9
Alaska,AK,2020-04-18,319,9
Alaska,AK,2020-04-19,324,9
Alaska,AK,2020-04-20,326,9
Alaska,AK,2020-04-21,334,9
Alaska,AK,2020-04-22,340,9
Alaska,AK,2020-04-23,342,9
Alaska,AK,2020-04-24,344,9
Alaska,AK,2020-04-25,344,9
Alaska,AK,2020-04-26,346,9
Alaska,AK,2020-04-27,350,9
Alaska,AK,2020-04-28,356,9
Alaska,AK,2020-04-29,360,9
Alaska,AK,2020-04-30,360,9
Alaska,AK,2020-05-01,369,9
Alaska,AK,2020-05-02,370,9
Alaska,AK,2020-05-03,373,9
Alaska,AK,2020-05-04,375,9
Alaska,AK,2020-05-05,376,9
Alaska,AK,2020-05-06,377,10
Alaska,AK,2020-05-07,380,10
Alaska,AK,2020-05-08,383,10
Alaska,AK,2020-05-09,385,10
Alaska,AK,2020-05-10,386,10
Alaska,AK,2020-05-11,388,10
Alaska,AK,2020-05-12,390,10
Alaska,AK,2020-05-13,391,10
Alaska,AK,2020-05-14,396,10
Alaska,AK,2020-05-15,398,10
Alaska,AK,2020-05-16,403,10
Alaska,AK,2020-05-17,408,10
Alaska,AK,2020-05-18,411,10
Alaska,AK,2020-05-19,411,10
Alaska,AK,2020-05-20,416,10
Alaska,AK,2020-05-21,416,10
Alaska,AK,2020-05-22,418,10
Alaska,AK,2020-05-23,423,10
Alaska,AK,2020-05-24,423,10
Alaska,AK,2020-05-25,426,10
Alaska,AK,2020-05-26,430,10
Alaska,AK,2020-05-27,431,10
Alaska,AK,2020-05-28,444,10
Alaska,AK,2020-05-29,450,10
Alaska,AK,2020-05-30,455,10
Alaska,AK,2020-05-31,484,10
Alaska,AK,2020-06-01,491,10
Alaska,AK,2020-06-02,512,10
Alaska,AK,2020-06-03,531,10
Alaska,AK,2020-06-04,559,10
Alaska,AK,2020-06-05,572,10
Alaska,AK,2020-06-06,586,10
Alaska,AK,2020-06-07,595,10
Alaska,AK,2020-06-08,614,10
Alaska,AK,2020-06-09,627,11
Alaska,AK,2020-06-10,649,11
Alaska,AK,2020-06-11,676,11
Alaska,AK,2020-06-12,697,12
Alaska,AK,2020-06-13,731,12
Alaska,AK,2020-06-14,743,12
Alaska,AK,2020-06-15,747,12
Alaska,AK,2020-06-16,761,12
Alaska,AK,2020-06-17,786,12
Alaska,AK,2020-06-18,805,12
Alaska,AK,2020-06-19,833,12
Alaska,AK,2020-06-20,856,12
Alaska,AK,2020-06-21,870,12
Alaska,AK,2020-06-22,881,12
Alaska,AK,2020-06-23,915,12
Alaska,AK,2020-06-24,938,12
Alaska,AK,2020-06-25,982,12
Alaska,AK,2020-06-26,1011,14
Alaska,AK,2020-06-27,1038,14
Alaska,AK,2020-06-28,1070,14
Alaska,AK,2020-06-29,1095,14
Alaska,AK,2020-06-30,1142,14
Alaska,AK,2020-07-01,1184,14
Alaska,AK,2020-07-02,1234,14
Alaska,AK,2020-07-03,1294,15
Alaska,AK,2020-07-04,1349,16
Alaska,AK,2020-07-05,1382,16
Alaska,AK,2020-07-06,1410,16
Alaska,AK,2020-07-07,1434,17
Alaska,AK,2020-07-08,1485,17
Alaska,AK,2020-07-09,1537,17
Alaska,AK,2020-07-10,1591,17
Alaska,AK,2020-07-11,1668,17
Alaska,AK,2020-07-12,1784,17
Alaska,AK,2020-07-13,1855,17
Alaska,AK,2020-07-14,1915,17
Alaska,AK,2020-07-15,1972,17
Alaska,AK,2020-07-16,2050,17
Alaska,AK,2020-07-17,2102,17
Alaska,AK,2020-07-18,2179,18
Alaska,AK,2020-07-19,2295,18
Alaska,AK,2020-07-20,2435,18
Alaska,AK,2020-07-21,2541,18
Alaska,AK,2020-07-22,2648,19
Alaska,AK,2020-07-23,2727,19
Alaska,AK,2020-07-24,2793,19
Alaska,AK,2020-07-25,2911,20
Alaska,AK,2020-07-26,3144,20
Alaska,AK,2020-07-27,3255,21
Alaska,AK,2020-07-28,3390,22
Alaska,AK,2020-07-29,3483,22
Alaska,AK,2020-07-30,3605,23
Alaska,AK,2020-07-31,3716,23
Alaska,AK,2020-08-01,3866,24
Alaska,AK,2020-08-02,4014,24
Alaska,AK,2020-08-03,4092,25
Alaska,AK,2020-08-04,4161,25
Alaska,AK,2020-08-05,4220,25
Alaska,AK,2020-08-06,4266,25
Alaska,AK,2020-08-07,4334,25
Alaska,AK,2020-08-08,4421,26
Alaska,AK,2020-08-09,4521,26
Alaska,AK,2020-08-10,4590,26
Alaska,AK,2020-08-11,4645,26
Alaska,AK,2020-08-12,4712,27
Alaska,AK,2020-08-13,4813,27
Alaska,AK,2020-08-14,4918,27
Alaska,AK,2020-08-15,5003,28
Alaska,AK,2020-08-16,5107,28
Alaska,AK,2020-08-17,5157,28
Alaska,AK,2020-08-18,5228,29
Alaska,AK,2020-08-19,5305,29
Alaska,AK,2020-08-20,5390,29
Alaska,AK,2020-08-21,5462,30
Alaska,AK,2020-08-22,5552,31
Alaska,AK,2020-08-23,5619,32
Alaska,AK,2020-08-24,5691,32
Alaska,AK,2020-08-25,5727,36
Alaska,AK,2020-08-26,5781,37
Alaska,AK,2020-08-27,5870,37
Alaska,AK,2020-08-28,5989,37
Alaska,AK,2020-08-29,6086,37
Alaska,AK,2020-08-30,6135,37
Alaska,AK,2020-08-31,6173,37
Alaska,AK,2020-09-01,6209,39
Alaska,AK,2020-09-02,6276,39
Alaska,AK,2020-09-03,6366,40
Alaska,AK,2020-09-04,6492,40
Alaska,AK,2020-09-05,6582,42
Alaska,AK,2020-09-06,6679,42
Alaska,AK,2020-09-07,6714,42
Alaska,AK,2020-09-08,6748,42
Alaska,AK,2020-09-09,6813,42
Alaska,AK,2020-09-10,6928,42
Alaska,AK,2020-09-11,7025,43
Alaska,AK,2020-09-12,7129,44
Alaska,AK,2020-09-13,7191,44
Alaska,AK,2020-09-14,7268,44
Alaska,AK,2020-09-15,7312,44
Alaska,AK,2020-09-16,7364,44
Alaska,AK,2020-09-17,7476,44
Alaska,AK,2020-09-18,7587,45
Alaska,AK,2020-09-19,7683,45
Alaska,AK,2020-09-20,7791,45
Alaska,AK,2020-09-21,7862,45
Alaska,AK,2020-09-22,7922,45
Alaska,AK,2020-09-23,7999,45
Alaska,AK,2020-09-24,8142,46
Alaska,AK,2020-09-25,8269,52
Alaska,AK,2020-09-26,8388,52
Alaska,AK,2020-09-27,8500,56
Alaska,AK,2020-09-28,8617,56
Alaska,AK,2020-09-29,8739,56
Alaska,AK,2020-09-30,8845,56
Alaska,AK,2020-10-01,8985,57
Alaska,AK,2020-10-02,9129,57
Alaska,AK,2020-10-03,9270,58
Alaska,AK,2020-10-04,9413,58
Alaska,AK,2020-10-05,9612,58
Alaska,AK,2020-10-06,9763,58
Alaska,AK,2020-10-07,9885,59
Alaska,AK,2020-10-08,10025,60
Alaska,AK,2020-10-09,10214,60
Alaska,AK,2020-10-10,10447,60
Alaska,AK,2020-10-11,10697,60
Alaska,AK,2020-10-12,10893,60
Alaska,AK,2020-10-13,11052,60
Alaska,AK,2020-10-14,11220,64
Alaska,AK,2020-10-15,11390,65
Alaska,AK,2020-10-16,11614,66
Alaska,AK,2020-10-17,11824,67
Alaska,AK,2020-10-18,12038,67
Alaska,AK,2020-10-19,12242,67
Alaska,AK,2020-10-20,12475,67
Alaska,AK,2020-10-21,12699,68
Alaska,AK,2020-10-22,12936,68
Alaska,AK,2020-10-23,13188,68
Alaska,AK,2020-10-24,13545,68
Alaska,AK,2020-10-25,14070,68
Alaska,AK,2020-10-26,14417,68
Alaska,AK,2020-10-27,14798,70
Alaska,AK,2020-10-28,15155,71
Alaska,AK,2020-10-29,15522,77
Alaska,AK,2020-10-30,15908,81
Alaska,AK,2020-10-31,16355,82
Alaska,AK,2020-11-01,16705,83
Alaska,AK,2020-11-02,17057,84
Alaska,AK,2020-11-03,17448,84
Alaska,AK,2020-11-04,17860,84
Alaska,AK,2020-11-05,18174,84
Alaska,AK,2020-11-06,18699,84
Alaska,AK,2020-11-07,19306,84
Alaska,AK,2020-11-08,19826,84
Alaska,AK,2020-11-09,20300,84
Alaska,AK,2020-11-10,20832,92
Alaska,AK,2020-11-11,21331,96
Alaska,AK,2020-11-12,21812,96
Alaska,AK,2020-11-13,22405,97
Alaska,AK,2020-11-14,23153,98
Alaska,AK,2020-11-15,23814,98
Alaska,AK,2020-11-16,24399,98
Alaska,AK,2020-11-17,25041,100
Alaska,AK,2020-11-18,25588,100
Alaska,AK,2020-11-19,26081,101
Alaska,AK,2020-11-20,26544,101
Alaska,AK,2020-11-21,27224,102
Alaska,AK,2020-11-22,27773,103
Alaska,AK,2020-11-23,28273,103
Alaska,AK,2020-11-24,28863,116
Alaska,AK,2020-11-25,29543,116
Alaska,AK,2020-11-26,30102,119
Alaska,AK,2020-11-27,30776,119
Alaska,AK,2020-11-28,31444,121
Alaska,AK,2020-11-29,32065,121
Alaska,AK,2020-11-30,32576,121
Alaska,AK,2020-12-01,33115,122
Alaska,AK,2020-12-02,33802,122
Alaska,AK,2020-12-03,34563,130
Alaska,AK,2020-12-04,35325,142
Alaska,AK,2020-12-05,36271,143
Alaska,AK,2020-12-06,37036,143
Alaska,AK,2020-12-07,37539,146
Alaska,AK,2020-12-08,38116,146
Alaska,AK,2020-12-09,38707,150
Arizona,AZ,2020-01-22,0,0
Arizona,AZ,2020-01-23,0,0
Arizona,AZ,2020-01-24,0,0
Arizona,AZ,2020-01-25,0,0
Arizona,AZ,2020-01-26,1,0
Arizona,AZ,2020-01-27,1,0
Arizona,AZ,2020-01-28,1,0
Arizona,AZ,2020-01-29,1,0
Arizona,AZ,2020-01-30,1,0
Arizona,AZ,2020-01-31,1,0
Arizona,AZ,2020-02-01,1,0
Arizona,AZ,2020-02-02,1,0
Arizona,AZ,2020-02-03,1,0
Arizona,AZ,2020-02-04,1,0
Arizona,AZ,2020-02-05,1,0
Arizona,AZ,2020-02-06,1,0
Arizona,AZ,2020-02-07,1,0
Arizona,AZ,2020-02-08,1,0
Arizona,AZ,2020-02-09,1,0
Arizona,AZ,2020-02-10,1,0
Arizona,AZ,2020-02-11,1,0
Arizona,AZ,2020-02-12,1,0
Arizona,AZ,2020-02-13,1,0
Arizona,AZ,2020-02-14,1,0
Arizona,AZ,2020-02-15,1,0
Arizona,AZ,2020-02-16,1,0
Arizona,AZ,2020-02-17,1,0
Arizona,AZ,2020-02-18,1,0
Arizona,AZ,2020-02-19,1,0
Arizona,AZ,2020-02-20,1,0
Arizona,AZ,2020-02-21,1,0
Arizona,AZ,2020-02-22,1,0
Arizona,AZ,2020-02-23,1,0
Arizona,AZ,2020-02-24,1,0
Arizona,AZ,2020-02-25,1,0
Arizona,AZ,2020-02-26,1,0
Arizona,AZ,2020-02-27,1,0
Arizona,AZ,2020-02-28,1,0
Arizona,AZ,2020-02-29,1,0
Arizona,AZ,2020-03-01,1,0
Arizona,AZ,2020-03-02,1,0
Arizona,AZ,2020-03-03,1,0
Arizona,AZ,2020-03-04,1,0
Arizona,AZ,2020-03-05,1,0
Arizona,AZ,2020-03-06,2,0
Arizona,AZ,2020-03-07,4,0
Arizona,AZ,2020-03-08,4,0
Arizona,AZ,2020-03-09,4,0
Arizona,AZ,2020-03-10,6,0
Arizona,AZ,2020-03-11,9,0
Arizona,AZ,2020-03-12,9,0
Arizona,AZ,2020-03-13,9,0
Arizona,AZ,2020-03-14,12,0
Arizona,AZ,2020-03-15,12,0
Arizona,AZ,2020-03-16,18,0
