Census Tract#,Zipcode,Neighborhood,US Geonames Sub-neigborhood,Total Population, Black,Black Proportion,White,White Proportion,American Indian & Alaska Native,American Indian & Alaska Native Proportion,Asian,Asian Proportion,Male ,Male Proportion,Female ,Female Proportion ,Lat,Long,Primary Sub-Neighborhood,Secondary Sub-Neighborhood,Teritriary Sub-Neighborhood(s),T-Stop/Commuter Rail
101.03,02215,Fenway,,"3,677",232,6.31%,"2,432",66.14%,61,1.66%,1048,28.50%,"1,544",41.99%,"2,133",58.01%,42.3497818,-71.1034479,Back Bay,Packard's Corner,,Blanchard Street/BU Central
101.04,"02115, 02215",Fenway,,"4,957",167,3.37%,"3,781",76.28%,106,2.14%,1015,20.48%,"2,174",43.86%,"2,783",56.14%,42.3494322,-71.0937501,Back Bay,Fenway-Kenmore,,Kenmore
102.03,02215,Fenway,,"5,377",161,2.99%,"3,798",70.63%,6,0.11%,"1,523",28.32%,"2,904",54.01%,"2,473",45.99%,42.3453168,-71.096804,West Fens,Fenway-Kenmore,,Lansdowne / Hynes Convention Center
102.04,02215,Fenway,,"3,592",131,3.65%,"2,463",68.57%,81,2.26%,953,26.53%,"1,572",43.76%,"2,020",56.24%,42.3462887,-71.1033879,Fenway-Kenmore,Cottage Farm Historic District,Longwood,Fenway
103,"02115, 02215",Longwood Medical Area,,"5,500",360,6.55%,"4,289",77.98%,16,0.29%,751,13.65%,"1,940",35.27%,"3,560",64.73%,42.3394252,-71.1017927,Fenway-Kenmore,Medical Center Area,Longwood,Longwood Medical Area / Fenway
104.03,"02115, 02215",Fenway,,"2,855",280,9.81%,"1,932",67.67%,89,3.12%,424,14.85%,"1,440",50.44%,"1,415",49.56%,42.345075,-71.088061,Back Bay,Columbus,,Hynes Convention Center Station
104.04,02115,Fenway,,"5,223",319,6.11%,"3,396",65.02%,37,0.71%,"1,430",27.38%,"2,575",49.30%,"2,648",50.70%,42.3419667,-71.0886375,Frederick Douglas Square Historic District,South End,Columbus,Northeastern University
104.05,"02115, 02215",Fenway,,"6,038",733,12.14%,"4,196",69.49%,19,0.31%,1091,18.07%,"2,758",45.68%,"3,280",54.32%,42.3398654,-71.0896052,Frederick Douglas Square Historic District,Kenmore,,
104.08,02215,Fenway,,"1,392",122,8.76%,947,68.03%,6,0.43%,306,21.98%,597,42.89%,795,57.11%,42.3431682,-71.0958461,West Fens,Fenway-Kenmore,,Queensbury St @ Jersey St
105,"02115, 02116",Back Bay,,"3,522",382,10.85%,"2,412",68.48%,0,0.00%,570,16.18%,"1,907",54.15%,"1,615",45.85%,42.3445637,-71.0845748,Back Bay,Columbus,Frederick Douglas Square Historic District,Massachusetts Ave
106,"02116, 02199",Back Bay,,"3,145",345,10.97%,"2,239",71.19%,15,0.48%,546,17.36%,"1,288",40.95%,"1,857",59.05%,42.3476385,-71.0793851,Back Bay,Columbus,Bay Village,Copley / Prudential
107.01,"02115, 02116",Back Bay,,"2,568",63,2.45%,"2,246",87.46%,6,0.23%,291,11.33%,"1,338",52.10%,"1,230",47.90%,42.3497223,-71.0838808,Back Bay West / Back Bay,,,Hynes Convention Center Station
107.02,02116,Back Bay,,"2,610",65,2.49%,"2,427",92.99%,4,0.15%,139,5.33%,"1,210",46.36%,"1,400",53.64%,42.3518354,-71.0755159,Back Bay,,,Copley/Arlington
108.01,02116,Back Bay,,"2,951",90,3.05%,"2,656",90.00%,0,0.00%,217,7.35%,"1,348",45.68%,"1,603",54.32%,42.3541193,-71.0770216,Back Bay,,,Copley/Arlington
108.02,"02115, 02116",Back Bay,Backbay,"3,106",17,0.55%,"2,807",90.37%,0,0.00%,256,8.24%,"1,573",50.64%,"1,533",49.36%,42.3515181,-71.0856803,Back Bay,,,
201.01,"02108, 02114",Beacon Hill,,"4,751",97,2.04%,"4,515",95.03%,0,0.00%,245,5.16%,"2,290",48.20%,"2,461",51.80%,42.3577086,-71.0694112,West End,East Cambridge,,Charles/MGH
202,02114,Beacon Hill,,"3,691",147,3.98%,"3,225",87.37%,0,0.00%,334,9.05%,"1,800",48.77%,"1,891",51.23%,42.3603354,-71.0686334,West End,Bay Village,,Charles/MGH
203.01,02114,West End,,"2,160",47,2.18%,"1,731",80.14%,0,0.00%,401,18.56%,937,43.38%,"1,223",56.62%,42.3631745,-71.0686463,West End,East Cambridge,,Charles/MGH
203.02,"02108, 02114",Beacon Hill,Beacon Hill,980,0,0.00%,896,91.43%,0,0.00%,100,10.20%,451,46.02%,529,53.98%,42.3593442,-71.0639956,West End,Waterfront,Bay Village,Bowdoin/Haymarket
203.03,02114,West End,,"4,311",446,10.35%,"2,985",69.24%,27,0.63%,577,13.38%,"2,468",57.25%,"1,843",42.75%,42.36596,-71.0634677,Bunker Hill,Medford Street/The Neck,Charlestown,Community College
301,"02109, 02113",North End,,"2,334",0,0.00%,"2,205",94.47%,16,0.69%,60,2.57%,"1,213",51.97%,"1,121",48.03%,42.3669462,-71.0561502,Charlestown,West End,,North Station
302,"02113, 02114",North End,,"1,814",33,1.82%,"1,750",96.47%,26,1.43%,35,1.93%,"1,006",55.46%,808,44.54%,42.3645208,-71.056975,Boston,West End,Waterfront,Haymarket
303,"02108, 02109, 02110, 02113, 02114, 02203",Downtown,Boston,"5,555",377,6.79%,"4,458",80.25%,5,0.09%,519,9.34%,"2,915",52.48%,"2,640",47.52%,42.3600562,-71.0532861,Boston,Waterfront,,Haymarket
304,"02109, 02113",North End,North End,"2,715",14,0.52%,"2,588",95.32%,0,0.00%,57,2.10%,"1,392",51.27%,"1,323",48.73%,42.3644367,-71.0541678,Boston,Bunker Hill,Jeffries Point,Haymarket
305,"02109, 02113",North End,,"2,488",62,2.49%,"2,303",92.56%,1,0.04%,141,5.67%,"1,095",44.01%,"1,393",55.99%,42.3675368,-71.0519594,East Boston,Waterfront,,
401,02129,Charlestown,,"2,463",0,0.00%,"2,419",98.21%,0,0.00%,48,1.95%,997,40.48%,"1,466",59.52%,42.372998,-71.0601499,Bunker Hill,Charlestown,,Community College
402,02129,Charlestown,,"2,042",504,24.68%,"1,344",65.82%,0,0.00%,111,5.44%,"1,035",50.69%,"1,007",49.31%,42.3768529,-71.0567931,Bunker Hill,Charlestown,Medford Street/ The Neck,Community College
403,02129,Charlestown,Charlestown,"4,513",324,7.18%,"3,936",87.21%,17,0.38%,352,7.80%,"2,061",45.67%,"2,452",54.33%,42.3787347,-71.0633841,Charlestown,Medford Street/The Neck,Bunker Hill,Community College
404.01,02129,Charlestown,,"5,691",137,2.41%,"4,404",77.39%,34,0.60%,1179,20.72%,"1,225",21.53%,"4,466",78.47%,42.3741334,-71.0663888,,,,
406,02129,Charlestown,,"3,063",184,6.01%,"2,797",91.32%,0,0.00%,152,4.96%,"1,543",50.38%,"1,520",49.62%,42.3830719,-71.069973,Medford Street/The Neck,Inner Belt,Assembly Square,Sullivan Square
408.01,02129,Charlestown,,"4,380",668,15.25%,"2,791",63.72%,16,0.37%,842,19.22%,"1,893",43.22%,"2,487",56.78%,42.379041,-71.0520372,Charlestown,Medford Street/The Neck,Eagle Hill,
501.01,02128,East Boston,,"5,564","1,488",26.74%,"4,664",83.82%,22,0.40%,424,7.62%,"2,851",51.24%,"2,713",48.76%,42.3816657,-71.0397908,Eagle Hill,Admirals Hill,Chelsea,
502,02128,East Boston,East Boston,"5,663","1,859",32.83%,"4,579",80.86%,96,1.70%,454,8.02%,"2,976",52.55%,"2,687",47.45%,42.3775778,-71.0357577,Eagle Hill,Central Square,East Boston,Airport
503,02128,East Boston,,"2,490",604,24.26%,"1,828",73.41%,17,0.68%,254,10.20%,"1,265",50.80%,"1,225",49.20%,42.3722392,-71.0434118,East Boston,Jeffries Point,Central Square,Maverick
504,02128,East Boston,,"2,472",248,10.03%,"2,226",90.05%,35,1.42%,40,1.62%,"1,421",57.48%,"1,051",42.52%,42.3682184,-71.0379018,East Boston,Jerffries Point,,Maverick
505,02128,East Boston,,"2,351",579,24.63%,"2,083",88.60%,8,0.34%,85,3.62%,"1,105",47.00%,"1,246",53.00%,42.3697766,-71.0339104,East Boston,Jerffries Point,,Maverick
506,02128,East Boston,,"2,481",801,32.29%,"2,232",89.96%,0,0.00%,42,1.69%,"1,443",58.16%,"1,038",41.84%,42.3718877,-71.0372695,Central Maverick Square/Paris Square,East Boston,,Meridan St @ Havre St
507,02128,East Boston,,"5,608","2,432",43.37%,"5,227",93.21%,39,0.70%,90,1.60%,"3,302",58.88%,"2,306",41.12%,42.3753575,-71.0332714,Central Maverick Square/Paris Square,Central Square,,Airport
509.01,02128,East Boston,,"4,612","1,617",35.06%,"4,280",92.80%,37,0.80%,147,3.19%,"2,522",54.68%,"2,090",45.32%,42.3819368,-71.0295001,Bunker Hill,Chelsea,,Wood Island
510,02128,East Boston,,"4,871",780,16.01%,"4,012",82.37%,23,0.47%,324,6.65%,"2,405",49.37%,"2,466",50.63%,42.3873027,-71.0161271,Orient Heights,Chelsea,,Orient Heights         
511.01,02128,East Boston,Orient Heights / Sufflok Downs Station,"7,524","1,690",22.46%,"6,442",85.62%,109,1.45%,562,7.47%,"3,863",51.34%,"3,661",48.66%,42.3854556,-71.0043188,Harbor View/Orient Heights,Winthrop,,Orient Heights /Suffolk Downs
512,02128,East Boston,Jeffries Point,"2,891",490,16.95%,"2,683",92.81%,11,0.38%,117,4.05%,"1,553",53.72%,"1,338",46.28%,42.3642605,-71.0365915,Jeffries Point,Central Maverick Square/Paris Street,,
601.01,02127,South Boston,City Point,"3,497",40,1.14%,"3,403",97.31%,5,0.14%,77,2.20%,"1,830",52.33%,"1,667",47.67%,42.3347618,-71.0279302,City Point,Telegraph Hill,,E Broad St @ P St
602,02127,South Boston,,"2,295",20,0.87%,"2,274",99.08%,0,0.00%,5,0.22%,"1,114",48.54%,"1,181",51.46%,42.3325583,-71.0326799,Telegraph Hill,City Point,South Boston,
603.01,02127,South Boston,,"3,655",16,0.44%,"3,542",96.91%,0,0.00%,39,1.07%,"1,528",41.81%,"2,127",58.19%,42.3334669,-71.0369483,Telegraph Hill,City Point,South Boston,
604,02127,South Boston,Dorchester Heights,"5,651",93,1.65%,"5,368",94.99%,0,0.00%,137,2.42%,"2,800",49.55%,"2,851",50.45%,42.3323988,-71.0428981,Telegraph Hill,City Point,Columbus Park/Andrew Square,8th St
605.01,02127,South Boston,,"4,071",69,1.69%,"3,864",94.92%,31,0.76%,219,5.38%,"2,173",53.38%,"1,898",46.62%,42.3368686,-71.0382133,Telegraph Hill,D Street/West Broadway,Seaport District,
606,"02127, 02210",South Boston Waterfront,,"3,621",160,4.42%,"3,116",86.05%,13,0.36%,387,10.69%,"2,030",56.06%,"1,591",43.94%,42.3495755,-71.0422812,Seaport District,Fort Point,,South Point
607,02127,South Boston,,"2,615","1,231",47.07%,935,35.76%,42,1.61%,161,6.16%,"1,086",41.53%,"1,529",58.47%,42.3385217,-71.0539041,D Street / West Broadway,South Boston,Columbus Park/Andrew Square,
608,02127,South Boston,Fort Independence / South Boston,"4,317",20,0.46%,"3,748",86.82%,61,1.41%,364,8.43%,"2,048",47.44%,"2,269",52.56%,42.3354034,-71.0514926,South Boston,Columbus Park / Andrew Square,Telegraph Hill,W 6th St @ E St
610,02127,South Boston,,"3,227",828,25.66%,"1,970",61.05%,0,0.00%,152,4.71%,"1,483",45.96%,"1,744",54.04%,42.3316206,-71.0499171,Columbus Park/Andrew Square,Telegraph Hill,,E 8th St @ Mercer St
611.01,02127,South Boston,,"2,300",752,32.70%,905,39.35%,0,0.00%,416,18.09%,914,39.74%,"1,386",60.26%,42.3262844,-71.0542968,Columbus Park/Andrew Square,Telegraph Hill,,Old Colony Ave @ Gavin Way
612,"02118, 02127, 02210",South Boston,,"4,356",99,2.27%,"4,080",93.66%,1,0.02%,298,6.84%,"2,548",58.49%,"1,808",41.51%,42.3398086,-71.0567242,D Street / West Broadway,South Boston,Shawmut,Broadway
701.01,"02108, 02109, 02110, 02111, 02116, 02210",Downtown,Dock Square / Downtown Crossing,"7,075",205,2.90%,"4,358",61.60%,25,0.35%,"2,585",36.54%,"3,534",49.95%,"3,541",50.05%,42.3524416,-71.0575175,Downtown Crossing,China Town,Bay Village,South Station
702,"02111, 02116",Downtown,Chinatown,"5,622",223,3.97%,"2,193",39.01%,41,0.73%,"3,261",58.00%,"2,388",42.48%,"3,234",57.52%,42.3496539,-71.0639144,China Town,Bay Village,Boston Theater District,Washington St @ Tufts Med Ctr/ China Town
703,02116,South End,Bay Village,"4,461",239,5.36%,"3,671",82.29%,0,0.00%,680,15.24%,"2,250",50.44%,"2,211",49.56%,42.3484105,-71.0703571,Back Bay,China Town,Columbus,Berkley St @ Columbus Ave
704.02,"02116, 02118",South End,,"2,398",314,13.09%,862,35.95%,19,0.79%,"1,154",48.12%,"1,157",48.25%,"1,241",51.75%,42.3451368,-71.0644405,Bay Village,Columbus,Back Bay/West End,Tufts Medical Center
705,02118,South End,,"5,781",461,7.97%,"3,650",63.14%,77,1.33%,"1,282",22.18%,"2,908",50.30%,"2,873",49.70%,42.3419361,-71.0718235,Shawmut,Columbus ,South End,Opp 43 W Dedham St
706,"02116, 02118",South End,,"2,559",138,5.39%,"2,209",86.32%,7,0.27%,247,9.65%,"1,188",46.42%,"1,371",53.58%,42.3432584,-71.0753771,Columbus,Shawmut,South End  ,Back Bay
707,02116,South End,,"2,738",729,26.63%,"1,784",65.16%,33,1.21%,285,10.41%,"1,317",48.10%,"1,421",51.90%,42.3458876,-71.0761484,Columbus,Shawmut,Bay Village,Back Bay
708,"02115, 02118",South End,,"3,577",736,20.58%,"2,572",71.90%,0,0.00%,282,7.88%,"1,850",51.72%,"1,727",48.28%,42.3411487,-71.080985,South End,Columbus ,Shawmut,Massachustts Ave
709,02118,South End,,"2,809",943,33.57%,"1,597",56.85%,9,0.32%,175,6.23%,"1,130",40.23%,"1,679",59.77%,42.3384283,-71.0781591,Frederick Douglas Square Historic District,Lower Roxbury,Fenway-Kenmore,Massachustts Ave
711.01,02118,South End,,"4,290",755,17.60%,"2,642",61.59%,12,0.28%,"1,103",25.71%,"2,095",48.83%,"2,195",51.17%,42.3359561,-71.0727569,South End,Frederick Douglas Square Historic District,Lower Roxbury ,91 E Concord St / 88 E Newton St 
712.01,02118,South End,,"3,734",917,24.56%,"2,038",54.58%,42,1.12%,630,16.87%,"1,998",53.51%,"1,736",46.49%,42.3398063,-71.0670729,Shawmut,South End,South End of Washington,Harrison Ave opp. Plympton Street // Broadway
801,"02118, 02119",Roxbury,,"2,690","1,364",50.71%,550,20.45%,63,2.34%,44,1.64%,"1,633",60.71%,"1,057",39.29%,42.3293317,-71.0705291,Lower Roxbury,Columbus Park / Andrew Square,Nubian Square,Massachustts Ave @ Peirson St
803,02119,Roxbury,,"2,089","1,546",74.01%,231,11.06%,78,3.73%,76,3.64%,956,45.76%,"1,133",54.24%,42.3274519,-71.0790504,Nubian Square,Lower Roxbury,Columbus Park/Andrew Square,Dudley St @ Adams St / Dearborn St.
804.01,"02118, 02119, 02120",Roxbury,,"3,265","1,724",52.80%,721,22.08%,36,1.10%,142,4.35%,"1,560",47.78%,"1,705",52.22%,42.3321186,-71.0808985,Lower Roxbury,Frederick Douglas Square Historic District,Nubian Square,Ruggles
805,"02118, 02120",Roxbury,,"3,212","1,538",47.88%,683,21.26%,0,0.00%,191,5.95%,"1,634",50.87%,"1,578",49.13%,42.3356824,-71.0825418,Frederick Douglas Square Historic District,South End,,Tremont St @ Burke St
806.01,"02118, 02119, 02120",Roxbury,,"4,126","1,183",28.67%,"1,933",46.85%,79,1.91%,776,18.81%,"1,866",45.23%,"2,260",54.77%,42.3333666,-71.0880449,Frederick Douglas Square Historic District,Lower Roxbury,Central Village,Ruggles
808.01,"02115, 02120",Mission Hill,,"4,517","1,071",23.71%,"2,182",48.31%,16,0.35%,518,11.47%,"2,274",50.34%,"2,243",49.66%,42.3346057,-71.0962095,Frederick Douglas Square Historic District,Lower Roxbury,Fenway-Kenmore,Longwood Medical Area/Ruggles
809,"02115, 02120",Mission Hill,,"3,690",131,3.55%,"2,678",72.57%,35,0.95%,778,21.08%,"2,196",59.51%,"1,494",40.49%,42.3323459,-71.1016908,Mission Hill,Central Village,Brookline,Brigham Circle/Fenwood Rd/Roxbury Crossing
810.01,"02115, 02120, 02215",Mission Hill,,"4,807","1,202",25.01%,"1,599",33.26%,0,0.00%,"1,175",24.44%,"2,215",46.08%,"2,592",53.92%,42.3345666,-71.1068303,Central Village,Mission Hill,Longwood,Fenwood Road/Mission Park/Longwood Medical Area
811,"02115, 02120, 02130",Mission Hill,,"4,088",855,20.91%,"2,282",55.82%,25,0.61%,648,15.85%,"2,041",49.93%,"2,047",50.07%,42.3283906,-71.1074808,Mission Hill,High Street Hill,,Heath Street / Back of the Hill
812,02130,Jamaica Plain,,"3,664","1,319",36.00%,"1,328",36.24%,0,0.00%,204,5.57%,"1,621",44.24%,"2,043",55.76%,42.3244316,-71.1038626,Fort Hill,Roxbury,,Jackson Square 
813,02119,Roxbury,,"5,326","2,726",51.18%,"1,181",22.17%,36,0.68%,202,3.79%,"2,668",50.09%,"2,658",49.91%,42.319327,-71.0976901,Washington Park ,Roxbury,Egleston Square,Colubmus Ave @ Dimock St / Jackson Square
814,"02119, 02120, 02130",Roxbury,Roxbury Crossing,"2,941","1,293",43.96%,"1,287",43.76%,20,0.68%,171,5.81%,"1,490",50.66%,"1,451",49.34%,42.3277602,-71.0937549,Fort Hill,Mission Hill,Lower Roxbury ,Centre St @ Cedar St
815,02119,Roxbury,Roxbury,"2,616","1,532",58.56%,425,16.25%,49,1.87%,50,1.91%,"1,083",41.40%,"1,533",58.60%,42.3207186,-71.0929141,Washington Park,Roxbury,Nubian Square,Washington St @ ML King Blvd / Jackson Square
817,02119,Roxbury,,"4,151","2,849",68.63%,409,9.85%,328,7.90%,219,5.28%,"1,909",45.99%,"2,242",54.01%,42.3226962,-71.086034,Nubian Square,Fort Hill,,Walnut Ave @ Rockland St
818,02119,Roxbury,,"3,489","2,439",69.91%,605,17.34%,104,2.98%,119,3.41%,"1,619",46.40%,"1,870",53.60%,42.3203184,-71.0800303,Nubian Square,Washington Park,,Warren St @ Woodbine / Blue Hill Ave and West Cottage St
819,"02119, 02121",Roxbury,,"3,494","2,496",71.44%,718,20.55%,1,0.03%,23,0.66%,"1,581",45.25%,"1,913",54.75%,42.3154742,-71.089652,Roxbury,Washington Park,Egleston Square,
820,02121,Roxbury,,"3,409","2,354",69.05%,544,15.96%,0,0.00%,84,2.46%,"1,514",44.41%,"1,895",55.59%,42.3137479,-71.0839483,Roxbury,Dudley/Brunswick King,,Warren St @ Gaston St
821,02121,Roxbury,,"5,750","3,974",69.11%,"1,033",17.97%,180,3.13%,20,0.35%,"2,540",44.17%,"3,210",55.83%,42.3094485,-71.0872292,Grove Hall,Roxbury,Egleston Square,
901,02121,Dorchester,,"5,148","3,845",74.69%,487,9.46%,7,0.14%,66,1.28%,"2,338",45.42%,"2,810",54.58%,42.3023757,-71.0820198,Franklin Field South,Bowdoin North / Mount Bowdoin,,Old Rd @ Ellington St
902,02121,Dorchester,,"2,587","1,755",67.84%,576,22.27%,17,0.66%,6,0.23%,"1,291",49.90%,"1,296",50.10%,42.3071378,-71.0790559,Bowdoin North/Mount Bodoin,Grove Hall,Meeting House Hall,Geneva Ave @ Jeremiah Burke High School / Four Corners/Geneva
903,"02121, 02125",Dorchester,,"3,469","2,488",71.72%,450,12.97%,27,0.78%,21,0.61%,"1,553",44.77%,"1,916",55.23%,42.3109366,-71.076505,Dudley/Brunswick King,Jones Hill,Upham's Corner,
904,"02119, 02121, 02125",Roxbury,,"4,318","3,289",76.17%,601,13.92%,0,0.00%,139,3.22%,"1,861",43.10%,"2,457",56.90%,42.3171635,-71.0747098,Dudley/Brunswick King,Upham's Corner,,Uphams Corner
906,"02119, 02125",Roxbury,,"2,599","1,784",68.64%,304,11.70%,9,0.35%,140,5.39%,"1,455",55.98%,"1,144",44.02%,42.3229604,-71.0722753,Nubian Square,Dudley/Brunswick King,Upham's Corner,Uphams Corner / Newmarket
907,"02125, 02127",Dorchester,,"3,884",353,9.09%,"2,985",76.85%,5,0.13%,326,8.39%,"2,157",55.54%,"1,727",44.46%,42.324131,-71.0600285,Columbus Park/Andrew Square,Nubian Square,Upham's Corner,Boston St and Dorset St /opp Harvest St
909.01,02125,Dorchester,,"3,789",452,11.93%,"1,315",34.71%,69,1.82%,"1,112",29.35%,"1,875",49.49%,"1,914",50.51%,42.3170979,-71.0445333,Upham's Corner,Jones Hill,,Mt Vernon St @ Paul A Dever School
910.01,"02122, 02125",Dorchester,Savin Hill,"2,967",436,14.69%,"1,762",59.39%,5,0.17%,746,25.14%,"1,398",47.12%,"1,569",52.88%,42.3082694,-71.0516795,Jones Hill,Meeting House Hill,,Savin Hill
911,02125,Dorchester,,"4,758",532,11.18%,"3,181",66.86%,81,1.70%,"1,110",23.33%,"2,410",50.65%,"2,348",49.35%,42.315641,-71.0555949,Upham's Corner,Jones Hill,Grove Hall,JFK/UMass
912,02125,Dorchester,Uphams Corner,"3,265","1,194",36.57%,"1,548",47.41%,37,1.13%,519,15.90%,"1,784",54.64%,"1,481",45.36%,42.3163259,-71.0622198,Upham's Corner,Jones Hill,Dudley/Brunswick King,Uphams Corner
913,02125,Dorchester,,"2,561","1,597",62.36%,532,20.77%,21,0.82%,101,3.94%,"1,274",49.75%,"1,287",50.25%,42.3199357,-71.0668701,Upham's Corner,Dudley/Brunswick King,Nubian Square,Uphams Corner
914,02125,Dorchester,,"3,165","1,740",54.98%,513,16.21%,83,2.62%,47,1.48%,"1,722",54.41%,"1,443",45.59%,42.3152689,-71.0698538,Dudley/Brunswick King,Upham's Corner,Jones Hill,
915,"02122, 02125",Dorchester,,"5,048","2,766",54.79%,"1,025",20.31%,0,0.00%,230,4.56%,"2,357",46.69%,"2,691",53.31%,42.3114941,-71.0643707,Jones Hill,Grove Hall,,Hancock Hill @ Trull and Rowell
916,02122,Dorchester,Meeting House Hill,"3,106","1,124",36.19%,684,22.02%,42,1.35%,"1,014",32.65%,"1,689",54.38%,"1,417",45.62%,42.3060364,-71.0611894,Meeting House Hill,,,
917,02122,Dorchester,Mount Ida,"3,214","1,985",61.76%,425,13.22%,47,1.46%,317,9.86%,"1,383",43.03%,"1,831",56.97%,42.3036111,-71.0659136,Meeting House Hill,Dorchester,Bowdoin North/Mount Bodoin,
918,"02121, 02122, 02125",Dorchester,,"3,528","2,776",78.68%,273,7.74%,24,0.68%,69,1.96%,"1,627",46.12%,"1,901",53.88%,42.3073664,-71.0705167,Bowdoin North/Mount Bodoin,Gorve Hall,Jones Hill,Four Corners/Geneva
919,"02121, 02124",Dorchester,Dorchester/ Mount Bowdoin,"4,194","3,325",79.28%,416,9.92%,0,0.00%,55,1.31%,"1,806",43.06%,"2,388",56.94%,42.3008408,-71.0755308,Dorchester,Franklin Field North,,Four Corners/Geneva
920,"02122, 02124",Dorchester,,"5,347","3,436",64.26%,"1,083",20.25%,112,2.09%,262,4.90%,"2,442",45.67%,"2,905",54.33%,42.2996758,-71.0675668,Dorchester,Fields Corner West,,Fields Corner
921.01,02122,Dorchester,Fields Corner,"7,178","1,830",25.49%,"2,151",29.97%,31,0.43%,"2,752",38.34%,"3,813",53.12%,"3,365",46.88%,42.2979499,-71.0541278,Clam Point,Fields Corner West,Dorchester,Gibson St @ Adams St
