company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_cert,has_bais_id,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,business_type,construction,year_established,number_employees,business_area_1,business_area_2,business_area_3,naics_1,naics_2,naics_3
A.J. Williams Event,Full event planning/management; public relations; graphic design and fundraising   ,MWBE,SLBE,,false,false,75 Newbury Street Boston MA 02116,Boston,MA,02116,Ms. AJ Williams,President,(617) 267-2244,(617) 267-2203,aj@ajwilliamsevents.com,Profit,false,2002,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MO - Multi Service Organizations,,541613 - Marketing Consulting Services ,541820 - Public Relations Agencies,541870 - Advertising Material Distribution Services
"Alcantara, Jasmine (dba JLA Group)",Project management; strategic planning and communications; acquisitions/procurement support; change/performance management   ,MWBE,SBE,,true,false,61 Starbuck Road Nantucket MA 02554,Nantucket,MA,02554,Ms. Jasmine Alcantara,Owner,(774) 236-0765,,jla@jlausa.com,Profit,false,2015,Under 10,BU - Business Management Consultants,COM - Consultants: Management,"RE - Real Estate (Development, Management, Sales and Appraisals)",541611 - Administrative Management and General Management Consulting Services ,561110 - Office Administrative Services,531210 - Offices of Real Estate Agents and Brokers
"Alliance Detective & Security Service, Inc",Armed and unarmed security guards; patrol services; alarm response; alarm and CCTV monitoring; investigations   ,WBE,SBE,,true,true,930 Broadway Everett MA 02149,Everett,MA,02149,Ms. Marianne Jenkins,President,(617) 387-1261,(617) 389-0022,khartung@alliancesecurityservice.com,Profit,false,1975,Over 100,"SE - Security (Guards, Dogs, Systems)",,,561611 - Investigation Services ,561612 - Security Guards and Patrol Services ,
Alliance Glass Corporation,Glass and glass products   ,,SLBE,,false,true,902 Dorchester Avenue Boston MA 02125,Boston,MA,02125,Mr. Stephen Libman,President,(617) 265-4500,(617) 265-4503,steve@allianceglass.com,Profit,false,,Under 10,GG - Glass/Glazing Contractors,,,238150 - Glass and Glazing Contractors ,811122 - Automotive Glass Replacement Shops ,
"Allston Towing Services and Repairs, Inc.",Towing services   ,MBE,SLBE,,false,false,100 Hano Street Allston MA 02135,Allston,MA,02135,Mr. Javier Rivas,President,(617) 771-8690,(617) 787-1181,javiertacoma@gmail.com,Profit,false,2004,,TK - Trucking (Waste Disposal Commodities Transport),,,488410 - Motor Vehicle Towing,,
"All Time Service, Inc.","Janitorial services, including post construction cleaning and interior and exterior window washing   ",MWBE,SLBE,,false,true,89 Forest Hills Street Jamaica Plain MA 02130,Jamaica Plain,MA,02130,Ms. Janet Peguero,President,(617) 524-0635,(617) 522-4014,jpeguero@alltimeservice.com,Profit,false,1996,41-100,"JA - Janitorial Services/Supplies (see also MA, RS)",,,561720 - Janitorial Services ,,
"Alpha Three Consulting, LLC","Management and technical services consulting firm, providing services on a project, staff augmentation, or consulting basis   ",WBE,,,false,false,3000 Atrium Way Mount Laurel NJ 08054,Mount Laurel,NJ,08054,Ms. Stephanie Sanders,Senior Partner,(267) 971-3905,,stephanie.sanders@alphathree.com,Profit,false,2007,Over 100,COM - Consultants: Management,CN - Construction Management: Small Commercial Projects,COD - Consultants: Design,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,541690 - Other Scientific and Technical Consulting Services
Always Book A Wallys Band,Theatrical booking agent   ,MBE,SLBE,,false,false,27 Rutland Square Boston MA 02118,Boston,MA,02118,"Mr. Frank Poindexter, Jr.",Owner,(617) 828-1754,,ffpjr1@gmail.com,Profit,false,,,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,"711410 - Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",,
Amador Bilingual Voiceovers/Sol & Canto,Latin music agency   ,MWBE,SBE,,false,true,199 Pemberton Street Cambridge MA 02140,Cambridge,MA,02140,Ms. Rosemarie Straijer-Amador,Director,(617) 492-1515,(617) 649-0299,rosi@musicamador.com,Profit,false,,Under 10,ET - Entertainment/Entertainer,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,"711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ",,
"American Contractors Design and Finish, Inc.","Construction company specializing in carpentry, painting, drywall",,SBE,,false,false,31 Colonial Drive Dedham MA 02026,Dedham,MA,02026,Mr. Miguel Oliveira,President,(781) 471-5298,,mdiaz@amci.us,Profit,true,2010,10-20,CA - Carpentry,"PL - Plastering, Drywall Contractors",CN - Construction Management: Small Commercial Projects,236210 - Industrial Building Construction ,236220 - Commercial and Institutional Building Construction ,
"American Diagnostic Lab, Inc. dba",Health care equipment and supplies   ,MBE,SBE,,true,true,A+ Home Medical Supply Company New Bedford MA 02740,New Bedford,MA,02740,Mr. Gope Gidwani,President,(508) 984-5200,(508) 819-6998,ahomemedical@gmail.com,Profit,false,1994,Under 10,SU - Suppliers,,,,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",
"American Green Building Construction Services, Inc.","General contracting, painting, flooring   ",MBE,SBE,,true,false,190 Milton Street Dedham MA 02026,Dedham,MA,02026,Mr. Ariel Peguero,President,(781) 461-2500,(781) 461-1234,apeguero@agbserv.com,Profit,true,2013,Under 10,GC - General Contractors,PA - Painting and Papering Contractors,"FL - Floor Contractors (Carpet, Tile, Linoleum)",236220 - Commercial and Institutional Building Construction ,238330 - Flooring Contractors,238320 - Painting and Wall Covering Contractors
"American Green Building Services, Inc.",Commercial janitorial and maintenance services   ,MBE,,,true,true,190 Milton Street Dedham MA 02026,Dedham,MA,02026,Mr. Ariel Peguero,Owner,(781) 461-2500,(781) 461-1234,,Profit,false,2010,41-100,"JA - Janitorial Services/Supplies (see also MA, RS)","SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",,561720 - Janitorial Services ,238910 - Site Preparation Contractors,
"American Translation Partners, Inc.","Language services:  An international network of language professionals; assist a myriad of industries and markets, including but not limited to government, legal, medical, insurance, technical, financial, internet, software; assist with more than 150 languages",MWBE,SBE,,true,true,"1 Trowbridge Road, Suite 340 Buzzards Bay MA 02536",Buzzards Bay,MA,02536,Ms. Polly Crystal,CEO,(508) 823-8892,(508) 823-8854,scott@atptranslations.com,Profit,false,2000,Under 10,COV - Consultants: Translation,,,541930 - Translation and Interpretation Services,,
"Amerphil, Inc.",Excavation; underground utilities; sitework; general building   ,MBE,,,true,true,P.O. Box 761089 Melrose MA 02176,Melrose,MA,02176,Mr. Roberto R Mercado,President,(781) 322-6100,(781) 321-6862,amerphil@aol.com,Profit,true,1993,Under 10,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",GC - General Contractors,,238910 - Site Preparation Contractors,"484110 - General Freight Trucking, Local ",
A & M Home Services LLC,Landscape; hardscape; excavation; bobcat services; junk removal; maintenance; distribution center; snow removal   ,MBE,SLBE,,false,true,34 Vale Street Roxbury MA 02119,Roxbury,MA,02119,Mr. Adam Nurse,Co-Owner,(617) 697-2353,,aandmhomeservices@yahoo.com,Profit,false,2014,Under 10,LA - Landscaping Contractors,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)","RE - Real Estate (Development, Management, Sales and Appraisals)",561730 - Landscaping Services,238990 - All Other Specialty Trade Contractors,
AMRO Environmental Lab. Corp.,Chemical testing; analytical testing   ,WBE,,,true,false,111 Herrick Street Merrimack NH 03054,Merrimack,NH,03054,Ms. Maria Borduz,President,(603) 424-2022,(603) 429-8496,info@amrolabs.com,Profit,false,1987,41-100,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",,,,,
"Angelini Plastering, Inc.",Light guage metal framing; insulation; gypsum board; all phases of plastering; acoustical plaster; EIFS; BASWAphon; drywall; GFRG   ,WBE,SBE,,false,false,304 Main Street North Reading MA 01864,North Reading,MA,01864,Ms. Jodi Angelini,President,(978) 664-3836,(978) 664-0771,jangelini@angeliniplastering.com,Profit,true,1981,21-40,"PL - Plastering, Drywall Contractors",,,238310 - Drywall and Insulation Contractors ,,
Angelo's Cleaning Company,Commercial and residential cleaning company,MWBE,SLBE,,false,false,110 Antwerp Street Brighton MA 02135,Brighton,MA,02135,Ms. Janee Jones,Owner,(857) 615-6388,,angeloscleaningcom@gmail.com,Profit,false,2019,Under 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,561720 - Janitorial Services ,,
Annette Dillard Inc.,"General contractor, residential and commercial Commercial  ",WBE,SBE,,false,false,21 Ellsworth Street Brockton MA 02301,Brockton,MA,02301,Ms. Annette Dillard,,(508) 897-0400,(508) 586-4986,,Profit,true,2002,Under 10,GC - General Contractors,CA - Carpentry,PA - Painting and Papering Contractors,,,
"Anvil Steel Engineering, Inc.","All facets of iron work including but not limited to:  structural bridges, precast, reinforcing and welding.  This is a Veteran Owned Small Business Enterprise (VOSBE).   ",MBE,SBE,VOSB,false,false,256 Prospect Hill Street Taunton MA 02780,Taunton,MA,02780,Mr. Lamont Davis,President,(617) 799-1614,(508) 880-0301,anvilsteelinc@gmail.com,Profit,true,2014,Under 10,"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",,,237990 - Other Heavy and Civil Engineering Construction ,,
Anytime Auto Glass LLC,Auto glass replair and replacement   ,,SLBE,,false,true,1560 River Street Hyde Park MA 02136,Hyde Park,MA,02136,Ms. Kellyann Coyne,Owner,(617) 898-8463,(617) 361-2859,anytimeautoglassboston@gmail.com,Profit,true,2013,Under 10,GG - Glass/Glazing Contractors,"AU - Automobile (Sales, Services, Leasing, Rental)",,811122 - Automotive Glass Replacement Shops ,,
A.O. Security Services,Watch guard and patrol agency   ,MBE,SLBE,,false,false,2 Drayton Avenue Dorchester MA 02125-2403,Dorchester,MA,02125-2403,Mr. Andres Otero,President,(617) 970-6772,(617) 265-1249,aossinc1@gmail.com,Profit,false,,10-20,"SE - Security (Guards, Dogs, Systems)",,,561612 - Security Guards and Patrol Services ,,
"A-Plus Welding and Engineering, Inc.",Structural steel erection; misc. metals; rebar and mesh and post tensioning; welding; ornamental steel; stairs and railings; marine construction   ,MBE,SLBE,,false,false,366 Walnut Avenue Roxbury MA 02119,Roxbury,MA,02119,Mr. Edward Jordan,Owner,(857) 389-6243,,weldboston54@gmail.com,Profit,true,2007,Under 10,"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",WE - Welding (see also FB),,238120 - Structural Steel and Precast Concrete Contractors ,238990 - All Other Specialty Trade Contractors,
"Appraisers Collaborative, Inc., The",All types of real estate appraisal   ,WBE,SBE,,true,true,150 Wood Road Braintree MA 02184,Braintree,MA,02184,Ms. Mary E Granville,President,(781) 356-2300,(781) 356-2345,mary@appraiserscollaborative.com,Profit,false,1980,10-20,RS - Residential Services,"RE - Real Estate (Development, Management, Sales and Appraisals)",COR - Consultants: Relocation,531320 - Offices of Real Estate Appraisers ,,
Appropriate Environmental Technologies,Environmental consulting and procurement of goods   site audit; underground tank removal,MBE,,,false,true,P.O. Box 230946 Boston MA 02123,Boston,MA,02123,Mr. Oliver C Udemba,President,(508) 215-6941,,approetec@aol.com,Profit,false,1997,Under 10,CON - Consultants: Environmental,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",HW - Hazardous Waste Management (see also EN and CON),,,
"A.R. Belli, Inc.","General contractors for road and utilities:  water, sewer and drain pipe installation; excavation, curbing; concrete; paving; and landscaping   concrete; paving; and landscaping",WBE,SBE,,true,true,271 Nevada Street Newtonville MA 02460,Newtonville,MA,02460,Ms. Cynthia Sementelli,President,(617) 332-8855,(617) 332-2158,,Profit,true,1996,21-40,"RO - Road, Railroad, Highway, Bridge Contractors (see also PV)",CM - Concrete & Masonry Contractors,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)","237310 - Highway, Street, and Bridge Construction ",237110 - Water and Sewer Line and Related Structures Construction ,
Archdale Construction Company,Excavation; water; sewer; drain; asphalt; landscaping  ,WBE,,,false,false,12 Worchester Drive Norwood MA 02062,Norwood,MA,02062,Ms. Ann M LaRosa,President,(781) 769-1014,(617) 469-2323,,Profit,true,1985,Under 10,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",PV - Paving Contractors,LA - Landscaping Contractors,,,
"Archipelago Strategies Group, Inc.",Marketing; advertisement production; public relations; social media management; branding; website design; event planning; management consulting   ,MWBE,SLBE,,true,true,51 Melcher Street Boston MA 02210,Boston,MA,02210,Ms. Josiane Martinez,CEO and Founder,(617) 419-6989,,josiane@discoverasg.com,Profit,false,2013,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COM - Consultants: Management,,541613 - Marketing Consulting Services ,541820 - Public Relations Agencies,
"Architects Forum, Inc., The",Architectural planning:  new construction and renovation and renovation  ,MBE,SBE,,true,false,72 Manchester Road Newton MA 02461,Newton,MA,02461,Mr. Chalermpol Intha,President,(617) 244-4669,(617) 964-6090,intha@rcn.com,Profit,false,1983,Under 10,AE - Architects/Engineers,,,541310 - Architectural Services,,
"Architectural Engineers, Inc.","Civil, structural, mechanical, electrical and fire protection   ",WBE,SLBE,,true,true,63 Franklin Street02110- Boston MA 02110,Boston,MA,02110,Ms. Robin S Greenleaf,CEO,(617) 542-0810,(617) 542-8451,jgoodmonson@arcengrs.com,Profit,false,1985,21-40,"COA - Consultants: Architecture, Engineering",,,541330 - Engineering Services,,
ARQ Architects,Architectural services   ,WBE,SBE,,false,false,1 Government Street Kittery ME 03904,Kittery,ME,03904,Ms. Lucinda Schlaffer,Partner,(207) 439-5289,(207) 439-9531,lucy@arqarchitects.com,Profit,false,1985,Under 10,AE - Architects/Engineers,,,541310 - Architectural Services,,
"Arrest A Pest, Inc.",Residential and commercial pest control including structural pests   ,WBE,SBE,,false,false,42 Harding Avenue Braintree MA 02184,Braintree,MA,02184,Ms. Corrine Cavanaugh,,(781) 849-2091,(781) 356-4870,pestcops@yahoo.com,Profit,false,2008,Under 10,PE - Pest Control,,,561710 - Exterminating and Pest Control Services,,
"Arrow Event Management, LLC",Event management services,WBE,SLBE,,false,true,486 Shawmut Avenue Boston MA 02118,Boston,MA,02118,Ms. Emily Olson,Owner,(773) 710-1042,,emily@arrow-events.com,Profit,false,2018,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COP - Consultants: Public Relations,,561920 - Convention and Trade Show Organizers,541618 - Other Management Consulting Services ,
"Artisan and Son Hardwood Flooring, Inc.","Hardwood floor installation, repair and refinishing   ",MBE,SBE,,false,false,12 Hazelwood Street Malden MA 02148,Malden,MA,02148,Ms. Lan Mai Nguyen,Co-Owner,(617) 293-5303,,lan_m_nguyen12@comcast.net,Profit,true,1991,Under 10,"FL - Floor Contractors (Carpet, Tile, Linoleum)",,,238330 - Flooring Contractors,,
Artistic Explosions,Photography; video production   ,MBE,SLBE,,true,false,90A Hemman Street Roslindale MA 02131,Roslindale,MA,02131,Mr. Donald Rockhead,Owner,(617) 461-5868,,photo@donrockphoto.com,Profit,false,2008,Under 10,PG - Photography,,,"541921 - Photography Studios, Portrait ",541922 - Commercial Photography ,
"ASA Environmental Products, Inc.","Industrial/Construction/Environmental/Marine/Utility products and systems:  Industrial--mil spec chemicals, adhesives, solvents, MRO and green janitorial equipment and supplies; Construction--building materials, equipment, fasteners, tools; Environmental-   ",MWBE,SBE,,true,false,22 Bayview Avenue Stonington CT 06378,Stonington,CT,06378,Ms. Ana M Schneider,President,(860) 535-3931,(860) 535-3970,amschneider@snet.net,Profit,false,1993,Under 10,SU - Suppliers,RT - Retail Sales of Art & Framing,,423710 - Hardware Merchant Wholesalers ,424690 - Other Chemical and Allied Products Merchant Wholesalers ,
Association of Haitian Women,Human/Social Services   ,MWBE,SLBE,,false,true,330 Fuller Street Dorchester MA 02124,Dorchester,MA,02124,Ms. Carline Desire,Director,(617) 287-0096,(617) 287-0170,cdesire@afab-kafanm.org,Not-for-Profit,false,1995,Under 10,"ED - Education (see also OS, TA)",HO - Housing Advocacy,EC - Economic Development,,,
"ATANE Engineers, PC dba ATANE Consulting",Engineering; architecture; land surveying; material testing   ,MBE,SLBE,,true,true,56 Roland Street Boston MA 02129,Boston,MA,02129,Mr. Quaiser Hashmi,President,(212) 747-1997,(212) 747-1947,qhashi@ataneconsulting.com,Profit,false,2010,Over 100,AE - Architects/Engineers,"AS - Architectural Support Services, Surveying",,541330 - Engineering Services,541310 - Architectural Services,541370 - Surveying and Mapping (except Geophysical) Services
"Atelier et Alia, LLC",Architectural and design services   ,WBE,SBE,,false,true,464 Common Street Belmont MA 02478,Belmont,MA,02478,Ms. Christina Marsh,Co-Owner,(617) 960-0788,,cmarsh@atelieretalia.com,Profit,false,2016,Under 10,AE - Architects/Engineers,,,541310 - Architectural Services,541410 - Interior Design Services,
"Atent for Rent, Inc.","Rentals and installations of tents, furniture, power systems, A/C, heat, stages, lights and flooring ",,SBE,,false,true,125 Commercial Circle Dedham MA 02026,Dedham,MA,02026,Mr. Steven Capone,,(781) 326-6360,,info@atent4rent.com,Profit,false,,,EP - Equiment Rental (Heavy Construction),,,532310 - General Rental Centers,,
"Atlantic Engineering Associates, Inc.","Land survey services; construction site layout; as built, GPS, ALTA topographic, hydrographic, utilities, vertical/buldings, and FEMA elavation certificates   ",WBE,SBE,,true,true,14 Ashwood Drive North Reading MA 01864,North Reading,MA,01864,Ms. Julia Brachanow,President,(978) 979-7544,(978) 664-1855,julia@atlantic-ma.com,Profit,true,1995,Under 10,"AS - Architectural Support Services, Surveying",,,541370 - Surveying and Mapping (except Geophysical) Services,,
Atlas Paper Company,"Distributor of disposable paper and plastic containers; including custom printed tote and shopping bags, boxes and tissue paper   and tissue paper",,SBE,,false,false,220 Garfield Avenue Woburn MA 01801,Woburn,MA,01801,Mr. David Cohen,,(781) 729-8750,(781) 721-0472,sales@atlaspaper.com,Profit,false,1921,10-20,SU - Suppliers,,,424130 - Industrial and Personal Service Paper Merchant Wholesalers ,,
Atlas Y Value Hardware,"Hardware, paint, electrical, lawn and garden, plumbing, cleaning supplies   ",MBE,SLBE,,false,false,1871 Centre Street West Roxbury MA 02132,West Roxbury,MA,02132,Mr. Albert Meranda,Owner,(617) 325-9494,(617) 325-7446,atlasyvalue@msn.com,Profit,true,1981,,SU - Suppliers,RT - Retail Sales of Art & Framing,,444130 - Hardware Stores ,,
Audio and Lighting Unlimited,Audio and lighting equipment rental   ,MBE,,,false,true,169 Norfolk Avenue Boston MA 02119,Boston,MA,02119,Mr. Gerard Exilhomme,,(857) 212-5660,,audioandlightingunlimited@gmail.com,Profit,false,2018,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,,
