"license_num","historicallicensenum","status","license_type","issued","expires","business_name","dba_name","comments","location_comments","opening","closing","patronsout","capacity","applicant","manager","day_phone","evening_phone","address","city","state","zip","gpsx","gpsy"
LB-374985,,Active,CV7 All Alc. Restrict.,2019-11-25,2020-12-31,"Bucktown Mission, LLC",Bucktown Chicken & Fish,,"Approximately 1,200 square feet in one (1) room on ground floor of three story building with emergency exit and kitchen in rear of premises. Approximately 1,084 square feet of storage in the basement. Main entrance/exit on Tremont Street.",,"11:00 PM","11:30 PM",0.00," Bucktown Mission, LLC", Derrick A. Walters,,,"1522    Tremont ST",Boston,MA,"02120",764360.993764734,2946346.91000063
LB-383185,,Active,CV7 Malt Wine Liq. Restrict.,2019-11-21,2020-12-31,"Nicholas Chen Sound, LLC",Tavern of Tales,,"In eight rooms on ground floor with kitchen and bar, and office and storage (2,798 sf). Seasonal outdoor patio (April-November) on private property with seating for 24 patrons.",,"1:00 AM","1:30 AM",69.00," Nicholas Chen Sound, LLC", Nicholas Chen,(857)600-6336,,"1478-1484  Tremont ST",Mission Hill,MA,"02120",764681.056801145,2946174.73376612
LB-375393,,Active,CV7 All Alc. Restrict.,2019-11-01,2020-12-31,"Totto South, LLC",Totto Ramen,,"On first floor of building located in the South Bay Development. One one floor (+/- 1,370 SF) consisting of dining room and bar seating with seating for 40 overall patrons, hostess stand, kitchen, storage/office, walk-in cooler and two public bathrooms, and outdoor seasonal (March-October) patio on",,Midnight,"12:30 AM",40.00," Totto South, LLC", Hieu T. Nguyen,(617)910-7114,,"20A   District Av",Dorchester,MA,"02125",774387.788430001,2943898.369101
LB-390565,,Active,CV7 All Alc. Airp.,2019-10-04,2020-12-31,"SSP America BOS, LLC",Temazcal,Board granted petition to serve alcohol with brunch on Sundays,"2,324 square foot area. 1,254 sf dining area with bar, 242 sf service area and 200 sf back of house. On one floor with two points of entry/exit.",,"2:00 AM","2:30 AM",90.00," SSP America BOS, LLC", Jacqueline Genao,(781)808-8354,,"300     Logan Airport Terminal B  ",East Boston,MA,"02128",0.0,0.0
LB-401642,,Active,Retail Malt Wine,2019-10-02,2020-12-31,"La Union Market and Butchery, Inc.",,NO SINGLES,"Ground floor store consisting of one (1) large room, approximately twelve hundred (1200) square feet, with an entrance in the front of the store. When you walk into the store, the check-out counter is on your right with a bathroom behind it. The store consists of three (3) aisles formed by shelving ",,"11:00 PM","11:30 PM",0.00," La Union Market and Butchery, Inc.", Hector O. Reyes,(617)794-0722,(617)448-5755,"105     Chelsea ST",East Boston,MA,"02128",781686.093635723,2961092.03396961
LB-402436,,Active,CV7 All Alc. Airp.,2019-09-26,2020-12-31,"Delaware North Boston Flight, LLC",Monica's Mercato,,"Terminal E, Space E3-A14/FC-04 . On one floor in one room. Seating 7 stools at bar w/ 1 ADA seat, table seating for 8 and 14 tools at a counter top/rail and 1 ADA seat. Total seating 32. Total Square Footage 1,382",,"2:00 AM","2:30 AM",47.00," Delaware North Boston Flight, LLC", Mark V. Clemency,(716)858-5162,,      Logan Airport  Terminal E  ,East Boston,MA,"02128",0.0,0.0
LB-400468,,Active,CV7 All Alc. Restrict.,2019-09-25,2020-12-31,"CMG 10 PO Square, LLC",Mariel,Board granted permission bottle service,"11,322 Total SF; On three levels (ground, mezzanine and basement) including 5,977 sf located on the 1st floor of the South Tower of the Building (the “Building”) containing lounge, bar, stage, main dining room, kitchen and restrooms; 3,621 sf located on the lower level of the Building containing bar",,"2:00 AM","2:30 AM",501.00," CMG 10 PO Square, LLC", Michael Adkins,,,"10   Post Office SQ",Boston,MA,"02109",776213.280059088,2955617.61679348
LB-400360,,Active,CV7 All Alc. Airp.,2019-09-20,2020-12-31,"TASTES ON THE FLY LOGAN, LLC",Davio's,,"Full service restaurant with a bar on one floor past security in Terminal C at Logan Airport. Total of 2,309 square feet, a seating capacity of 93, and an occupancy of 150. ",,"2:00 AM","2:30 AM",150.00," Tastes on the Fly Logan, LLC", David Kososki,,,      Logan Airport Terminal C  ,East Boston,MA,"02128",0.0,0.0
LB-396004,,Active,CV7 Malt Wine Restrict.,2019-08-26,2020-12-31,"320 Cafe, LLC",Joe's 320 Cafe,,"3,800 sf: In one room on ground floor including 48 seats: 42 in dining room and 6 at a bar counter. Kitchen and storage in rear.  60 persons; 48 indoor seating & 12 outdoor seating.  ",,"10:00 PM","10:30 PM",60.00," 320 Cafe, LLC", Joseph Adamo,(305)785-1745,,"320    Spring ST",West Roxbury,MA,"02132",744910.118913472,2924209.01166327
LB-392637,,Active,CV7ALN - Neighborhood Restricted,2019-08-21,2020-12-31,"Butter and Salt, LLC",Stillwater,,In two rooms with kitchen and storage on ground floor with seasonal (April-November) ourdoor patio on private property.,,"2:00 AM","2:30 AM",140.00," Butter and Salt, LLC", Sarah Wade,(405)830-1751,,"120   Kingston St",Boston,MA,"02111",775345.302913532,2953704.48031569
LB-396556,,Active,Retail All Alc.,2019-08-16,2020-12-31,Boston Beer Alley Corporation,Boston Beer Alley,No nips no singles,"On ground floor, in one room/stall, approximately 404 square feet of retail sales space within the Boston Public Market.",,"8:00 PM",,0.00, Boston Beer Alley Corporation, Tony Rodriguez,(617)686-8055,,"100   Hanover ST",Boston,MA,"02108",775760.784734204,2957310.54375809
LB-387106,,Active,Retail Malt Wine,2019-07-22,2020-12-31,"Corporacion Bani, Ltd.",Pimental Market,NO SINGLES," 1 story building with 1 entrance at the corner of Centre and Wyman Street and 1 exit on the Wyman street side, 1 room on the first floor containing approximately 1,100 sf with storage in the basement containing approximately 1,100 sf.",,"11:00 PM","11:30 PM",0.00," Corporacion Bani, Ltd.", Luis Guerrero-Pena,,,"340    Centre ST",Jamaica Plain,MA,"02130",762565.892625913,2942759.89872055
LB-385719,,Active,CV7 All Alc. Restrict.,2019-07-16,2020-12-31,"110 Grill SB Boston LLC","110 Grill",SOUTH BAY RESTRICTED,"(1 District Ave 110 Grill space) Single story building with 4 rooms 2 entrances and 5 exits totaling +/- 5,678. Outdoor seasonal (April-October) patio on public property +/- 773 SF same hours as restaurant capacity 44.",,"11:00 PM","11:30 PM",165.00," 110 Grill SB Boston, LLC", SYDNEY STURDEVANT,,,"25   Jan Karski Wy",Dorchester,MA,"02125",774731.831018139,2943899.73829562
LB-397007,,Active,CV7 Malt Wine Airp.,2019-07-11,2020-12-31,"Tastes SMA Logan, LLC",Berkshire Farms,, Grab-And-Go: food market with prepared food and beverage market.,,"2:00 AM","2:30 AM",43.00," Tastes SMA Logan, LLC", David Kososki,,,      Logan Airport Terminal A  ,East Boston,MA,"02128",0.0,0.0
LB-378513,,Active,CV7 All Alc. Restrict.,2019-07-01,2020-12-31,"REINS International Massachusetts, INC.",Gyu-Kaku,"135 Persons Indoor 40 Persons Patio",,,"10:30 PM","11:00 PM",175.00," REINS International Massachusetts, Inc.", Wendy N. LE,,,"23   District Av",Dorchester,MA,"02125",774454.14482478,2944081.76703861
LB-393241,,Active,Retail Malt Wine,2019-06-25,2020-12-31,"BAKER STREET MARKET & DELI, INC.",,NO SINGLES,On one floor approx 2000 sq ft 1 entrance 1 exit. Storage in basement.,,"11:00 PM",,0.00," Baker Street Market & Deli, Inc.", Louis P. Dakayannis,,,"419   Baker ST",West Roxbury,MA,"02132",745585.049730092,2928839.76024358
LB-396266,,Active,BYOB Bring Your Own Bottle,2019-05-24,2020-12-31,"Alliance World, Corp.",La Catrina Fonda Mexicana,,"IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR, AND STORAGE AND PREP AREA IN THE BASEMENT.  ","11:00 AM","10:00 PM","10:30 PM",19.00, Alliance World Corporation,"Eddie Garcia, Jr.",,(617)487-5060,"1620   Commonwealth AVE",Brighton,MA,"02135",752787.453384802,2950374.90208763
LB-383161,,Active,CV7 Malt Wine Airp.,2019-05-14,2020-12-31,"Delaware North Boston Flight, LLC",B Good Burger,,"Quick Service Restaurant in Terminal B, Pier A, Space BA2-A13/BA-A09 in the Boston Airport in one room on one floor with 26 table seats plus standing rail window seating.",,"2:00 AM","2:30 AM",32.00," Delaware North Boston Flight, LLC", Mark V. Clemency,(716)828-5162,,"200     Terminal RD",East Boston,MA,"02128",786260.691515774,2957555.9447256
LB-383184,,Active,CV7 All Alc. Airp.,2019-05-14,2020-12-31,"Delaware North Boston Flight, LLC",Tico Tacos,,"Quick Service Restaurant in Terminal B, Pier A, Space BA2-A13/BA-A10 in the Boston Airport in one room on one floor with 24 table seats plus standing rail window seating.",,"2:00 AM","2:30 AM",30.00," Delaware North Boston Flight, LLC", Mark V. Clemency,(716)828-5162,,"200     Terminal RD",East Boston,MA,"02128",786260.691515774,2957555.9447256
LB-387124,,Active,Retail Malt Wine,2019-04-24,2020-12-31,"Markiro Market Place, Inc.",Lambert's Market Place,No singles hiring uniformed security guard on site Installation an ID scanner cameras No sale nips Single serve wine or beer Owner will not advertise alcohol,"a/k/a 140 Tremont Street Boston, MA 02111. Single story, one room, approximately 3,000 square feet.",,"11:00 PM",,0.00," Markiro Market Place, Inc.", Hany Gad,,,"10   Temple PL",Boston,MA,"02111",774438.016828969,2954902.13156386
LB-364899,,Active,CV7ALN - Neighborhood Restricted,2019-04-02,2020-12-31,"GM RESTAURANT ENTERPRISES, INC.",LA TERRAZA,,"In three floors, first floor to be used as a kitchen, dining room and service counter, second floor dining room, third floor for office space.  CAPACITY BREAKDOWN: 1ST FLOOR - 30, 2ND FLOOR - 50.",,"2:00 AM","2:30 AM",80.00," GM RESTAURANT ENTERPRISES, INC.", Jorge E. Martinez,,(617)913-1201,"19    Bennington ST",East Boston,MA,"02128",781004.505539074,2962055.16721851
LB-382579,,Active,BYOB Bring Your Own Bottle,2019-03-20,2020-12-31, ,Vaisakhi Indian Kitchen,,"Has applied for a B.Y.O.B (Bring Your Own Bottle) License to be exercised on the above - First floor kitchen and dining; with bathroom and basement. Baljit Singh, Manager. Hours of Operation: Monday - Friday 11:30 AM-10:30 PM.","5:00 PM","10:30 PM","11:00 PM",28.00," JJ and JP, Inc.",Baljit Singh,(617)505-5932,,"157    Sutherland RD",Brighton,MA,"02135",751645.000007734,2949520.00000684
LB-379141,,Active,CV7 All Alc. Airp.,2019-03-15,2020-12-31,"SSP America BOS, LLC",Shojo,Board granted petition to serve alcoholic beverages 10 00 AM on Sundays," (2) Two story building/airport. One room on 2nd floor to be licensed 1,087 Sq Ft total.",,"10:00 PM","10:30 PM",27.00," SSP America BOS, LLC", Jacqueline O. Genao,,,"300     Logan Airport Terminal C  ",East Boston,MA,"02128",0.0,0.0
LB-382644,,Active,CV7 All Alc. Airp.,2019-03-08,2020-12-31,"Delaware North Boston Flight, LLC",Boston Bruins Bar,,"Full service bar in terminal A, Space AS-A07/17 in Boston Airport. In one room one floor 2 entrances 2 exits. Approx. total sq. ft. 1,430. Seating consist of 20 stools at bar (which includes 2 handicap), table seating for 20 and 5 stools at a counter top.",,"2:00 AM","2:30 AM",56.00," Delaware North Boston Flight, LLC", Mark V. Clemency,,,"100     Terminal RD",East Boston,MA,"02128",785396.803968415,2958229.8427222
LB-381128,,Active,Inn. All Alc. Restrict.,2019-03-07,2020-12-31,"MVC 40B, LLC",The Revolution Hotel,,"Eight floor hotel, with 7 guest floors with 32 rooms per floor, 2500 SF  year round patio on private property midnight closing hour, lobby, basement function area, and restaurant, total usable total floor area of 73,000 SF.",,"2:00 AM","2:30 AM",0.00," MVC 40B, LLC", JACK BRADY,(617)375-2524,,"40    Berkeley ST",Boston,MA,"02116",772166.323930845,2951381.14560857
LB-382500,,Active,CV7MWLN - Neighborhood Restricted,2019-02-25,2020-12-31,"Sicilicity Culinary Service, LLC",Zia Gianna Italian Bakery & Caffe,,"Approximately 2,200 Sq. Ft total 2 floors 1 entrance 2 exits open space caffe with counters to the left and baking area to the back. Approx. 12 x 14 feet area for customer seating. Celler room for storage.",,"10:00 PM","10:30 PM",40.00," Sicilicity Culinary Service, LLC", Antonio Barbalace,(617)436-2368,,"1730    Dorchester AVE",Boston,MA,"02124",774493.887028773,2931353.19298397
LB-381261,,Active,CV7 Malt Wine Liq.,2019-02-22,2020-12-31,Post Office Square Redevelopment Corporation,,BOARD ABCC APPROVED petitition an approval management agreement between Post Office Square Redevelopment Corporation ZAT LLC,"Cafe on one (1) floor including an outdoor deck and patio. Cafe consists of +/- 970 sq. ft. with seating for thirty (30) patrons. Year-round outdoor patio consists of +/- 515 sq. ft. with seating for twenty (20) patrons. Year-round outdoor deck consists of +/- 1,425 sq. ft. with seating for eighty-t",,"11:00 PM","11:30 PM",132.00, Post Office Square Redevelopment Corporation, Jared Maurice Mancini,(617)307-5064,,"152-158  Congress ST",Boston,MA,"02110",776364.803963778,2955080.93816944
LB-377260,,Active,CV7 All Alc. Airp.,2019-01-10,2020-12-31,"BOS-B Wine Bar, LLC",Vino Volo,,"Airport Passenger Lounge known as Unit No. BB2-A24 in Terminal B of Logan Airport in two rooms on the first floor with a  total square footage of 1417 SF, with one entrance and two exits. With a Commercial Club designation under 204 CMR 2.15:1-4.",,"2:00 AM","2:30 AM",84.00," BOS-B Wine Bar, LLC", CASEY DAWN YOST,,,      Logan Airport Terminal B  ,East Boston,MA,"02128",0.0,0.0
LB-378411,,Active,Inn. All Alc. Restrict.,2018-12-12,2020-12-31,"Seaport Food and Beverage, LLC",,,"The Residence Inn by Marriot Boston Downton/Seaport Hotel (the “Hotel”) is on six floors (+/-103,000 SF) with one hundred twenty (120) guest rooms, and four (4) exits and entrances with two (2) additional exits and entrances from its retail tenants (Sweetgreen and Caffé Nero). The ground floor (an a",,"2:00 AM","2:30 AM",0.00," Seaport Food and Beverage, LLC", Rosines Torres,,,"370     Congress ST",Boston,MA,"02127",,
LB-364807,,Active,CV7 All Alc. Restrict.,2018-12-05,2020-12-31,"Wahlburgers South Bay Company, LLC",Wahlburgers,SOUTH BAY RESTRICTED INDOOR 129 SEATED 35 STANDING OUTDOOR PATIO 49 SEATED,"On first floor of single story building located in the South Bay Development. On one floor (+/- 6,518 SF) consisting of Dining #1 (+/- 1,021 SF) with seating for forty four (44) patrons, Dining #2 (+/- 478 SF) with seating for thirty two (32) patrons, Dining #3 (+/- 824 SF) with seating for fifty (5",,"1:00 AM","1:30 AM",213.00," Wahlburgers South Bay Company, LLC", JOHN BART ROGAN,(781)258-5492,,"9   District Av",Dorchester,MA,"02125",774454.14482478,2944081.76703861
LB-349883,,Active,Farmer-Winery Pouring,2018-11-30,2019-12-31,"Boston Winery, LLC",Boston Winery,<STRONG><U></U></STRONG>,"One story building, 2 separate rooms to be licensed, 4 entrances and 4 exists room 1( 2950 sq ft) room 2 (3822 sq ft) Totaling  6722 square feet.",,"11:00 PM","11:30 PM",0.00," Boston Winery, LLC", Ralph Bruno,,,"26    Ericsson ST",Dorchester,MA,"02122",780590.8653467,2931673.15419821
LB-369935,,Active,CV7 All Alc. Airp.,2018-11-29,2020-12-31,"SODEXO OPERATIONS, LLC",The Lounge,,Approximately 4762 SF of Airport Lounge space located in four rooms on a single level at Logan Airport with one entrance and 3 exits.,,"2:00 AM","2:30 AM",60.00," Sodexo Operations, LLC", Noah L. Smith,(301)987-4454,,"300     Logan Airport Terminal C  ",East Boston,MA,"02128",0.0,0.0
LB-363532,,Active,CV7 Malt Wine Liq. Restrict.,2018-11-21,2020-12-31,"Square Root Rozzie, LLC",The Square Root,,"In one large room on first floor with bar, seating are and bathrooms, two entrances/exits, and four rooms in basement for storage and kitchen (980 S.F. Total)",,"1:00 AM","1:30 AM",68.00," Square Root Rozzie, LLC", Anthony Giordano,,,"2   Corinth St",Roslindale,MA,"02131",756140.823860759,2929744.97636541
LB-361155,,Active,CV7ALN - Neighborhood Restricted,2018-11-09,2020-12-31,"Whiskey Town, LLC",The Quiet Few,,"Approx. 1360 S.F. in one (1) room on the first floor, with one main dining room and bar area, kitchen and storage in rear of premises. Main entrance/exit on Sumner Street, with emergency exits in rear of premises.",,"1:00 AM","1:30 AM",49.00, Whiskey Town LLC, Joshua T. Weinstein,,,"331   Sumner ST",East Boston,MA,"02128",781555.772751076,2959139.06434853
LB-369939,,Active,CV7 All Alc. Airp.,2018-11-09,2020-12-31,"SODEXO OPERATIONS, LLC",The Club,,"Approximately 3506 SF of lounge space on a single floor located in Terminal E of Logan Airport with 86 seats, reception area, dining and buffet area, pantry, storage, restrooms, one entrance and two exits.",,"2:00 AM","2:30 AM",86.00," Sodexo Operations, LLC", Noah L. Smith,(301)987-4454,,"500     Logan Airport Terminal E  ",East Boston,MA,"02128",0.0,0.0
LB-373394,,Active,CV7 Malt Wine Airp.,2018-11-09,2020-12-31,"Delaware North Boston Flight, LLC",Pei Wei/Wolfgang Puck Pizza,,"On one floor in 2 rooms each has a kitchen. Room 1 (Pei Wei) 17 seats with 1,102 sq. ft. Room 2 (Wolfgang Puck Pizza) 33 seats with 1,259 sq. ft. Annual patio concourse seating area of 1,877 sq. ft. same hours as restaurant. Two (2) entrances Two (2) exits. Liquor storage on premises: beer kegs in",,"2:00 AM","2:30 AM",60.00," Delaware North Boston Flight, LLC", Mark V. Clemency,,,"1     Harborside DR",East Boston,MA,"02128",784350.154589238,2957811.76847637
LB-363642,,Active,CV7 All Alc. Airp.,2018-11-09,2020-12-31,"Air Ventures, LLC",Lucca,,"Interior space in Logan Airport Terminal B on one floor with 2 rooms (2959 SF), 1 entrance, 1 exit",,"2:00 AM","2:30 AM",137.00," Air Ventures, LLC", Charles D. Garabedian,(617)650-0151,,      Logan Airport Terminal B  ,East Boston,MA,"02128",0.0,0.0
LB-375375,,Active,CV7 All Alc. Airp.,2018-11-08,2020-12-31,"HSI MCA BOS FB, LLC",Kelly's Roast Beef,Alcohol served with Brunch on Sundays starting 10 00 AM,"Two-story Airport Terminal building at Logan International Airport; area to be licensed consists of two rooms on level two, Pier B of Terminal B, near Gate 7, and includes Space #BB2-A19 (1,601 square feet) and adjoining seating area (1,966 square feet), for a total of 3,567 square feet.",,"2:00 AM","2:30 AM",44.00," HSI MCA BOS FB, LLC", Saikou O. Boiro,(617)480-7380,,      Logan Airport Terminal B  ,East Boston,MA,"02128",0.0,0.0
LB-371724,,Active,CV7ALN - Neighborhood Restricted,2018-10-19,2020-12-31,"Urban Food and Beverage, LLC",District 7 Tavern,,"In one large room on first floor with bar, seating area and bathrooms, one entrance and two exits (824 Sq Ft).",,"2:00 AM","2:30 AM",40.00," Urban Food and Beverage, LLC", Royal C. Smith,,,"380    Warren ST",Roxbury,MA,"02119",769285.999992162,2941179.99999908
LB-364796,CVICT2271,Active,CV7MWN - Neighborhood Restricted,2018-10-04,2020-12-31,B.EE.F. Inc.,Fasika Cafe,,"Corner of Shawmut Ave and Roxbury Street. First floor of 3 story multi unit building. The total area is 750 Sq. ft., kitchen 350 Sq. Ft. Total - 20 seats and 1 unisex bathroom. One main entrance and two exits. Storage in basement.",,"10:00 PM","10:30 PM",20.00," B.EE.F., Inc.",Befekadu Defar,,(617)628-9300,"51   Roxbury ST",Roxbury,MA,"02119",768259.059799209,2945447.17171505
LB-353657,,Active,Retail All Alc.,2018-09-25,2020-12-31,Tendol Corporation,Portside Market,NO NIPS NO SINGLES,"Three story building, first (ground) floor market to be licensed; In one room, 1 main entrance/exit (Total of 3,650 sq ft). Storage and office in rear of premises; alcohol displays located in rear of store.",,"10:00 PM","10:30 PM",12.00, Tendol Corporation,Dawa Lama,(617)686-8055,,"50   Lewis ST",East Boston,MA,"02128",780281.646828123,2959055.47825376
LB-364362,,Active,CV7 All Alc. Restrict.,2018-09-04,2020-12-31,"CHIPOTLE MEXICAN GRILL OR COLORADO, LLC",Chipotle,SOUTH BAY RESTRICTED,"On first floor (+/- 2587 SF) of single building. First floor (+/- 2452 SF) consisting of dining area with seating for forty-nine (49), kitchen, office,storage, and bathrooms. Outdoor seasonal patio (March-November) on private property (+/- 135 SF) with seating for twelve (12).",,"10:00 PM","10:30 PM",60.00," Chipotle Mexican Grill of Colorado, LLC", MATTHEW THOMAS O'BRIEN,,,"27   District AVE",Dorchester,MA,"02125",774537.478158114,2944039.18891361
LB-368642,,Active,Retail Malt Wine,2018-08-22,2020-12-31,"RFS Store 110, Inc.",Richdale Food Shops,NO SINGLES,"Twelve story building (Tent City), first floor to be licensed, 3 rooms (main convenience store, bathroom & office in back), 1 entrance 1 exit (2,106 sq ft); No Basement. Total sq ft = 2,106",,"11:00 PM",,0.00," RFS Store 110, Inc.", BARZNAB KHAN,,,"130    Dartmouth ST",Boston,MA,"02116",770758.999993533,2951680.00000885
LB-360433,,Active,CV7MWLN - Neighborhood Restricted,2018-07-24,2020-12-31,"Evolution Resources, LLC",Soleil Restaurant,,"Seven story building first floor to be licensed. 5 rooms, 2 entrances, 2 exits, basement for storage (600 Sq. FT). Total Sq. Ft. 3,893.",,Midnight,"12:30 AM",149.00," Evolution Resources, LLC", Cheryl Straughter,,,"2306   Washington ST",Roxbury,MA,"02119",768713.822916666,2945614.27083333
LB-364254,CVICT1713,Active,BYOB Bring Your Own Bottle,2018-07-20,2020-12-31,"Ethiopian Cafe, Inc.",,,"Has applied for a B.Y.O.B (Bring Your Own Bottle) License to be exercised on the above - Dining room, kitchen, small hall to bathroom. Basement with Walk-in. Zeleke Firehiwot, Manager. Hours of Operation: Tuesday - Friday: 5:00 PM - 11:00 PM; Saturday and Sunday: 12:00 PM - 11:00 PM.","7:00 AM","11:00 PM","11:30 PM",19.00," Ethiopian Cafe, Inc.",Firehiwot Zeleke,(857)247-9353,,"377A   Centre ST",Jamaica Plain,MA,"02130",761871.154008865,2942744.59311476
LB-349943,,Active,CV7ALN - Neighborhood Restricted,2018-07-20,2020-12-31,"Luna's Restaurant, LLC",Luna's Restaurant,,"One story building with a basement, a first floor dining area (1,200 SF), a lower level lounge (330 SF), and service/storage areas (1,270 SF). The total square footage of the proposed licensed building is 2,800 SF. Two entrances, three exits, a seating capacity for up to 49 occupants and an allowed ",,Midnight,"12:30 AM",49.00," Luna's Restaurant, LLC", Gloria Builes Restrepo,,,"945    Saratoga ST",East Boston,MA,"02128",788772.066346318,2966280.40837444
LB-357279,,Active,Retail All Alc.,2018-06-20,2020-12-31,"Gora, Inc.",Wine Press,,"196 Brookline Ave; Retail unit to be licensed on ground floor of Pierce Boston Building.  floor, 1 room (911 square feet) 1 entrance/exit, 1 bathroom. No basement, no storage room. Total square footage is 911 sq. feet",,"10:00 PM","10:30 PM",0.00," Gora, Inc.", Aaron Mehta,,,"196   Brookline Av",Boston,MA,"02215",763795.194189391,2950523.63812338
LB-353878,CVICT1555,Active,BYOB Bring Your Own Bottle,2018-05-14,2019-12-31,"WEN LONG, INC.","""ASAHI SUSHI BAR & TAKE-OUT""",,"In one room on the first floor, kitchen in rear, storage in basement","11:00 AM",MIDNIGHT,"12:30 AM",13.00," WEN LONG, INC.", WENLONG MA,,"6179644118","418   Market ST",Brighton,MA,"02135",749907.623960536,2952500.21299695
