,Article Headline,Article Content
450,"[As Boston Dreams Of Amazon, Suffolk Downs Braces For The End]","[There's an eerie feeling at Suffolk Downs these days. The mile-long track is still immaculately manicured. The grandstand seats still gleam. And from Wednesday to Sunday, patrons still place bets on races happening elsewhere. But the whole place is permeated by the knowledge that the end is near., ""Beyond 2018, this is going be a major mixed-use development,"" said Chip Tuttle, Suffolk Downs' COO., For years, Tuttle hoped to save the 80-year-old track by adding a new casino. But when the state awarded the Boston-area's lone casino license to Steve Wynn's Everett project in 2014, instead of a competing proposal located at Suffolk Downs, Tuttle reconciled himself to the inevitable., Today, he blames the same industry he once tried to partner with., ""Over the last 20 years, casino gambling has gone from two states, Nevada and New Jersey, to 39 or 40,"" Tuttle said. ""Horse racing still does really, really well on the big days, the big weekends ... Where it really is suffering is as a day-to-day gambling product. On Wednesday or Thursday, during the week, it’s just got greater competition."", Suffolk Downs did add two extra racing days this weekend — for a total of eight this year — after the Massachusetts Gaming Commission shared some surplus cash from the state’s Race Horse Development Fund. Still, in the long run, Tuttle's new best-case scenario is a standalone simulcast betting parlor located somewhere near the current track. , ""We need some changes in the current simulcasting and racing laws to do that,"" Tuttle said. ""A simulcast facility in what would be more like a modern sports bar, but set up for horse racing specifically."", Meanwhile, the land where Suffolk Downs currently sits might be the hottest development spot in Massachusetts. The HYM Investment Group — known for projects like Brighton’s Boston Landing — bought the parcel for a reported $155 million earlier this year., David Begelfer, the head of NAIOP Massachusetts: The Commercial Real Estate Development Association, says it was an excellent investment., ""Suffolk Downs is a phenomenal development opportunity,"" he said. ""It’s going to be a mixed-use development. It’s going to have housing, it’s going to have retail, it’s going to have office, it’ll probably have lab [space]. It’ll have all these things that are going to be built out over the next 10 years, plus. [And] it has mass transit ... It’s an ideal site."", Now, of course, there's fevered speculation that Amazon might select Boston for its second national headquarters — and build a new 50,000 person campus right where Suffolk Downs currently sits., , HYM declined WGBH News' request for an interview. But this week, during a Revere City Council hearing, HYM head Thomas O'Brien urged the city not to count on Amazon., ""No promises on that, by the way,"" O'Brien said. ""The way we think of this, it’s kind of plan A and plan 1A. So we’re swinging for the fences, but we have a great plan, whatever happens."", O'Brien also said whatever Amazon decides, HYM will develop the site quickly. Begelfer thinks they’ll craft two plans simultaneously —one featuring Amazon, and one without. , ""You go forward on the basis that you’re not going to have Amazon there, but you obviously try to attract Amazon to it,"" he said. ""If you get the gold ring, I think you’ll be able to accommodate yourself."", But Begelfer adds a note of caution. While landing Amazon would be a coup, he says, its arrival would create a ripple effect that could seriously stress the Boston area's housing market and workforce., ""You’re going to have a lot of other companies that want to be near the mother ship, if you will,"" Befelger said. ""It’s not just 50,000 jobs, we're talking about a lot more. If we don’t plan in advance for, over the next 10 to 15 years, to change how we produce housing that could be much more affordable, how we could have skilled workers retrained, or trained in the first place, we’re going to have a serious problem."", For now, though, Amazon’s local impact is totally hypothetical. The end of horse racing at Suffolk Downs is not., Adam Reilly is a reporter at WGBH-TV's Greater Boston.]"
451,[Where Does Boston Hand Out The Most Parking Tickets?],"[Barbara Howard: Parking tickets — we've all gotten one, and some of us have gotten, let's say, more than one. The Boston Business Journal has come out with a report showing where Boston parking tickets are handed out most frequently. Joining us now is the Boston Business Journal's David Harris, who has been looking into this. Thanks for being with us, David., David Harris: Thanks for having me., Howard: So you looked at parking ticket data in Boston over a one-year period — that was from July 1 of last year to June 30 of this year. Where are the hot spots in the city?, Harris: Well they're kind of typical places that you'd probably think of — Back Bay, so a big shopping area, in addition to Fenway and near BU. , Howard: Well so what kind of violations were you looking at?, Harris: So we looked at the biggest revenue generators by different violations. So there's 36 different violations, and the biggest one, by far, was resident-only parking spaces, and you can imagine a lot of people come into town and they don't have a resident parking sticker and they just find a good spot. And unfortunately, for them, they wind up with the ticket. And then the second biggest revenue generator was unpaid meter fees. They both brought in about $5.6 million dollars into the city's coffers., Howard: Well let me look at that resident parking that you're talking about. I'm looking at the map — Financial District, Fenway Park - that doesn't surprise me at all seeing the big spots on the map showing that those are big places that generate revenue for resident parking. Now, the unpaid meters — that seems to be mostly, what, around Back Bay? South End? Is that all the shopping that's going on there?, Harris: They varied, but definitely people coming into town probably not paying their meters or just neglecting to look at the signs at the meters. So definitely around that area, and then around 136 Harrison Ave., which is around Tufts Medical near Chinatown. There were a lot of people parking at resident parking-only spaces around there., Howard: So how much money did the City of Boston make in giving out all these parking tickets?, Harris: Well, for the last fiscal year, which is the same time period that we talked about, the city generated about $61 million in revenue, which is actually up from about three years ago when the city made about $57 million dollars in revenue from parking violations., Howard: One of the things that really caught my eye was a big red dot, and its code says that it's for double parking. Can you guess where that is?, Harris: I would guess North End., Howard: You got it. That's right. Anyone who's gone to eat, going down Hanover Street looking for a parking spot, there they are, all those double parked cars. So ... there’s some things that aren't too surprising. Would it be all right to post your map to our website?, Harris: Absolutely., Howard: OK, thanks so much for being with us, David., Harris: Thank you., Howard: That's David Harris of The Boston Business Journal. He's been looking into where the City of Boston hands out the most parking tickets., Read David Harris' full article and see his map on Boston parking tickets here., Barbara Howard is the former anchor of WGBH’s All Things Considered. ]"
452,"[Cost, Access At Center Of Dental Hygiene Debate On Beacon Hill]","[How much education and supervision does it take to fill a cavity? That’s the question at the center of a dental debate on Beacon Hill over proposals to create a new mid-level position between dentists and dental hygienists., The goal is to close the coverage gap for poor and underserved communities. In 2014, only 53 percent of low-income children and 56 percent of low-income adults saw a dentist, according to the Mass. Health Policy Commission. As a result, emergency room visits for preventable oral health conditions are six times higher for low-income children, and seven times higher for low-income adults., Part of the problem is cost. But part of it is access, with one-tenth of the state’s population living in an area that is federally designated as having a dental health professional shortage., That’s why some state lawmakers are now pushing for a new dental classification called a dental “therapist” or “practitioner,” meaning someone with more training than a hygienist, but less than a dentist. But some lawmakers and industry professionals are split on the details., Jim Braude is joined by executive director of the Massachusetts Senior Access Council, Carolyn Villers and Dr. David Lustbader, president of the Massachusetts Dental Society and a clinical instructor at the Boston University School of Dental Medicine., Coverage from the GBH Newsroom.]"
453,[Breaking Down The Long-Awaited Trump Tax Plan],"[The long-awaited Donald Trump tax reform plan is out and the salesmanship has already begun. When the president announced the plan, he said, “there’s never been tax cuts like we’re talking about.”, The new plan has just three different income-based tax brackets, down from the seven we have now. But so far, it’s unknown what the income thresholds would be., The White House plan would double the standard deduction, at the same time eliminating personal exemptions and deductions for income and property taxes paid to local and state governments. Also gone in the new plan are the alternative minimum tax, the estate tax and some business deductions and tax credits. All that in addition to a drop in the corporate tax rate, from 35 to 20 percent, which Trump says will ultimately boost the economy., In the end, the plan will cost 2.2 trillion dollars through the year 2027, according to the Washington-based policy group The Committee for a Responsible Federal Budget. And already, Democrats are fighting back – saying the plan settled the score., Jim Braude is joined by Associated Press national political reporter Lisa Lerer, also a Nieman fellow at Harvard, and David Gergen, a CNN political analyst and past presidential advisor to Presidents Nixon, Ford, Reagan and Clinton., Coverage from the GBH Newsroom.]"
454,[IMHO: Who Is Roy Moore?],"[Jim Braude shares his thoughts on Alabama Senate candidate Roy Moore and shares some advice for Republicans in Congress., Coverage from the GBH Newsroom.]"
455,[BPR Full Show Post: 9/28],"[Molly Boigon is a former associate producer and reporter for Learning Curve, WGBH’s K-12 education desk. She has also worked for Boston Public Radio and WGBH’s higher education desk, On Campus. Her interests include jazz, yoga and public records requests. Before joining WGBH, she worked at SiriusXM, WZBC and WAAF. She has a degree in Applied Psychology and Human Development from Boston College’s Lynch School of Education.]"
456,[Cape Air Struggles To Take Off In Puerto Rico After Maria ],"[Cut off from the mainland, the island of Puerto Rico is suffering from a lack of consistent supply drops and exit options. Residents there continue to endure widespread power outages, scarce food, water and fuel., Earlier today, The Trump Administration waived a nearly century-old law known as the Jones Act to facilitate more supply dropoffs. The Jones Act limits trade between the U.S. mainland and offshore territories and states to be strictly transported by American crews and vessels. Several lawmakers have been critical of the law, saying it hinders supply lines and makes relief efforts more costly., As the government tries to hasten relief aid, Dan Wolf, founder and CEO of Cape Air based in Hyannis, is still trying to contact some of his staff members trapped in Puerto Rico following Hurricanes Irma and Maria., Wolf tells WGBH News that more than 100 employees are stationed across the Caribbean Islands. He also says Cape Air uses San Juan, the capitol of Puerto Rico, as a center of operations to launch charter flights to the U.S. Virgin Islands., Hurricane Irma temporarily shut down the airline's operations, but the company soon began relief flights among the islands. Hurricane Maria quickly followed with another wave of devastation to the island's infrastructure and closed down its major airport, which is now partially operating. As WGBH News has reported, some of the first flights originating from Puerto Rico are arriving at Logan International Airport., In the meantime, Wolf and his staff are working to get back in the air to provide another desperately needed transportation option. , Ciku Theuri is a former Associate Producer for WGBH’s Morning Edition.]"
457,[Lawmakers To Consider Bill Regulating Diet Pills For Minors],"[Next month lawmakers will consider a bill to put some diet pills and muscle-building supplements behind the counter for minors. Some, like 36-year-old Kristy McMillan of Watertown, say this bill could be a lifesaver., “I struggled with an eating disorder for 21 years,"" said McMillan, ""using diet pills off and on during that whole time. I started when I was 15.”  , McMillan says she thought the pills would improve what she saw as a less than perfect figure, and consuming them became a habit,, “I would feel light-headed, I fainted multiple times, just sometimes [was] sick to my stomach. The diet pills, the ones that would have caffeine or green tea, ... anytime I was taking it I could tell the difference in my heart.”, Doctors at the Cambridge Health Alliance (CHA) have studied the effects of diet pills and supplements and say they are linked to heart disease, stroke and liver failure. They also say that the risks are higher for young people, because they tend to experiment with different kinds of pills., Dr. Elisabeth Poorman of the CHA says studies have even found illegal drugs and banned substances in some diet pills,, “Unlike medications that you have to prove ... are safe and effective before being put onto the market,"" she said, ""dietary supplements ... are assumed to be safe, and in some cases they even contained completely banned substances like crystal methamphetamine.”, Poorman continued, “A lot of weight-loss supplements include a drug called sibutramine, which has in the past been used for weight loss but was very quickly pulled from the market because it is associated with heart attacks and strokes.”, McMillan says she started feeling ill during college., “I started, probably in college, having abnormal heart tests and some heart palpitations, but the minute I stopped using the pills and started eating and gained a little bit more weight, everything went back to normal, and so in my mind I was invincible.”  , Because diet pills and supplements are not regulated, the ingredients are often a mystery, State Representative Kay Khan has introduced a bill that would put diet pills and muscle-building supplements behind the counter and off-limits to anyone under 18., There is national opposition to the bill. The Natural Products Association issued a statement that said in part:, “This proposal would place onerous restrictions, most notably on small businesses. Dietary supplements are simply natural ingredients found in foods, and restricting access to them is unfair to Massachusetts consumers, hurts responsible retailers and drains the state budget through lost sales taxes. Nobody wins.” , The National Products Association’s president will be in Boston when lawmakers hear the bill on October 17., McMillan believes what lawmakers are proposing would have helped her. After years of treatment, she is finally free from her pill addiction and eating disorder, but the damage was done., “My husband and I got pregnant  ... and I miscarried,"" she said. ""My heart was not strong enough to carry a pregnancy, and we were advised against getting pregnant again, so we can’t have children because of the eating disorder, the diet pills, all that.”, McMillan and her husband adopted a daughter. She says if her daughter ever wants to know about diet pills, she will tell her to think about her health., Tina Martin is reporter for WGBH News.]"
458,[State Renames Jamaica Way Bridge To Honor Arredondo Brothers And Raise Suicide Awareness],"[Carlos Arredondo found himself in the spotlight for his quick action in the hectic moments following the Boston Marathon Bombings., The iconic photo of Arredondo wheeling Jeff Bauman towards first responders emerged as a symbol of resilience and unity in the face of chaotic trauma. But that day, which will live on in infamy for Bostonians, was not the first time Arredondo dealt firsthand with tragedy. He and his former wife Victoria Foley lost their oldest son, Marine Lance Corporal Alexander, when he was killed in Najaf, Iraq in 2004 during Operation Iraqi Freedom., His son’s death galvanized Arredondo to become a vocal anti-war activist. But the fallout of Alex’s death deeply impacted his younger son Brian. Brian descended into depression and drug use, eventually taking his own life in 2011. , The crisis of depression and suicide among veterans is becoming more public, but Gold Star families across America also deal with the emotional trauma of losing their loved ones. This led Arredondo to establish the Arredondo Family Foundation — an organization dedicated to raising awareness about military-related suicides and providing suicide prevention training. The foundation also gives emergency relief to military families dealing with the suicide of a loved one and grants scholarships to siblings of deceased veterans.  , And now the state is honoring Arredondo's two sons by renaming the Jamaica Way Bridge by Huntington Avenue in their honor., Arredondo's foundation contacted State Representative Jeffrey Sanchez, who drafted the legislation, which was signed by Governor Charlie Baker in January. The ceremony will take place today as part of Suicide Awareness Month., Arredondo came into WGBH’s studio to talk with Morning Edition’s Joe Mathieu about the importance of supporting Gold Star families and what the renaming of the bridge means for raising awareness., , “This bridge means so many things to so many and sends a message to many. It’s unbelievable. It’s just a name on the bridge but the message behind that is very big,” Arredondo said., Arredondo said it’s pivotal to educate the public on how to identify warning signs of depression among veterans as well their immediate family members. And his organization has already begun the process. Yesterday they held a training session with the Brookline Fire Department about deescalation tactics whenever they respond to a distress call.,  Arredondo says the more people trained to identify the warning signs, the more likely a person's life can be saved., “My son paid the sacrifice … so with these issues we need to get more people involved in civic support [for veterans]”,  The ceremony takes place at 11 o'clock at the corner of River Road and Huntington Avenue. Governor Baker and Rep. Sanchez will join the choir from Sacred Heart School for the ceremony.]"
459,[Longfellow Bridge Work To Interrupt Red Line Service for 10 Weekends],"[Weekend travel from Cambridge to Boston is about to get harder for a few months, as a complicated construction project will shut down weekend T service over the Longfellow Bridge., For now, the Red Line is still rumbling over the Longfellow Bridge. But it’s coming to a stop here this weekend, and for nine more upcoming weekends. , “What you're looking at is some of the old infrastructure,"" said John McInerney of the state Department of Transportation as he lead a tour of the massive construction project on Wednesday. ""The arches there, the curved piece is what’s staying, the structural steel above it's all being replaced.”, It’s an early 1900s bridge, McInerney said, and it was time for an overhaul. “It was just due,"" he said. ""The inspection ratings and the engineers that review these bridges on a periodic basis — it was time. It's just a massive job. And it was time to get it reconstructed.”, , If it feels like the Longfellow has been under construction for a long time, that’s because it has., Work started in the spring of 2013. It’s not a simple job., “On a scale of complexity, I would say it's up there in the 8, 9 or 10 range,” McInerney said. That’s because they needed to keep the bridge open for all kinds of uses. “It's got vehicular traffic, train traffic, bike traffic, pedestrian traffic. And the phasing of the job has been very challenging over the course of the duration.”, And the historical nature of the bridge has made things more challenging. They restored its distinctive towers, with their salt and pepper shaker shape. And Chris Keough with the contractor on the job, White Skanska Consigli, said the historical commission told them they couldn’t use the bolts they normally would on a job like this. They had to use the same kind of rivets the bridge was originally built with., “In the old days it was essentially hot rivets that have a connection to make between two pieces of steel, and they'd have a heated rivet and they'd drive it through the opening, and then it would it would it would cool off,"" Keough said. ""And there you go. There’s your connection.” But nobody actually knew how to do that anymore, so they had to specially train workers for the job., , This weekend, they’ll do the work to move Red Line trains from temporary tracks they’ve been on to more permanent tracks., Todd Johnson of the MBTA says when they’re done, commutes should speed up a bit. , “Before the construction project, the speed over the bridge and continuing through the project has been 25 miles per hour,"" he said. ""When the construction project is completed we will be resuming the speed on the Red Line trains over the bridge back to its 40 mph speed, which we haven't seen in a few years.”, In the meantime, though, shuttle buses will be running from Kendall to Park Street on the weekends. After this one, there are nine more to go – not including the weekends of the Head of the Charles regatta and Thanksgiving. In the end, officials estimate the price tag for the federally funded project should come in under the original estimate of $303 million. And the Longfellow should be fully open for all traffic by next May., ,  , Craig produces sound­-rich features and breaking news coverage for WGBH News. ]"
460,[FULL SHOW: Crisis In Puerto Rico; CTE Study; Andris Nelsons; Behind The Curtain],"[Hurricane Maria hit the Commonwealth of Puerto Rico one week ago. And six days later, more than three million Americans are still in dire straits with no power, food shortages, and a lack of drinking water. In recent days, President Donald Trump and his administration have faced a storm of criticism for not responding to the needs of the island fast enough. Trump told reporters Tuesday that the island’s location in the Atlantic Ocean hindered the government’s ability to deliver disaster relief quickly, but added that resources and supplies are on the way. The president announced that he plans to visit the Puerto Rico Tuesday. Puerto Rican officials have criticized the relief efforts and are calling on the federal government to do more. Julio Ricardo Varela, co-host of the ‘In The Thick’ political podcast and a contributor to NPR’s ‘Latino USA’, chair of the Massachusetts House Ways and Means Committee, Rep. Jeffrey Sanchez of Boston, who has family in Puerto Rico; and Gregory Gottlieb, director of the Feinstein International Center at Tufts University and former Acting Assistant Administrator for the Bureau for Democracy, Conflict, and Humanitarian Assistance at USAID, joined Jim Braude to discuss whether the federal government is doing enough for Puerto Rico., Chronic Traumatic Encephalopathy (CTE) has made a lot of headlines lately, like when former Patriots Aaron Hernandez was diagnosed with the neurogenerative disease after he committed suicide in prison, when a study came out last week showing youth tackle football can affect players' brains well into adulthood, and when the president declared rules meant to limit head-to-head contact are ruining football. Each time, one question always comes up: when we will be able to diagnose CTE in living people? Boston University researchers took a big step closer this week. They've identified a substance in spinal fluid that they think could be used as a test. It's called the CCL11 protein.Researchers say they're seeing much higher levels of it in people diagnosed with CTE after they've died, which could be a game-changer. It's important to note that these findings are only preliminary, but if proven out, they could have a profound impact on the health and safety of athletes young and old., Jim Braude catches up with Boston Symphony Orchestra music director Andris Nelsons on the start of the season, and a free concert this weekend in Franklin Park that you won’t want to miss., Jim shares his thoughts on a few Trump actions you may have missed that are small in scope but huge in consequence. , Coverage from the GBH Newsroom.]"
461,[Is The Federal Government Doing Enough For Puerto Rico?],"[
	Hurricane Maria hit the Commonwealth of Puerto Rico one week ago. And six days later, more than three million Americans are still in dire straits with no power, food shortages, and a lack of drinking water.
	 
	In recent days, President Donald Trump and his administration have faced a storm of criticism for not responding to the needs of the island fast enough. Trump told reporters Tuesday that the island’s location in the Atlantic Ocean hindered the government’s ability to deliver disaster relief quickly, but added that resources and supplies are on the way. The president announced that he plans to visit the Puerto Rico Tuesday.
	 
	Puerto Rican officials have criticized the relief efforts and are calling on the federal government to do more.
	 
	Julio Ricardo Varela, co-host of the ‘In The Thick’ political podcast and a contributor to NPR’s ‘Latino USA’, chair of the Massachusetts House Ways and Means Committee, Rep. Jeffrey Sanchez of Boston, who has family in Puerto Rico; and Gregory Gottlieb, director of the Feinstein International Center at Tufts University and former Acting Assistant Administrator for the Bureau for Democracy, Conflict, and Humanitarian Assistance at USAID, joined Jim Braude to discuss whether the federal government is doing enough for Puerto Rico., Coverage from the GBH Newsroom.]"
462,[IMHO: Behind The Curtain],"[
	Jim shares his thoughts on a few Trump actions you may have missed that are small in scope but huge in consequence., Coverage from the GBH Newsroom.]"
463,[BSO Music Director Andris Nelsons],"[
	Jim Braude catches up with Boston Symphony Orchestra music director Andris Nelsons on the start of the season, and a free concert this weekend in Franklin Park that you won’t want to miss., Coverage from the GBH Newsroom.]"
464,[CTE Research Breakthrough],"[
	Chronic Traumatic Encephalopathy (CTE) has made a lot of headlines lately, like when former Patriots Aaron Hernandez was diagnosed with the neurogenerative disease after he committed suicide in prison, when a study came out last week showing youth tackle football can affect players' brains well into adulthood, and when the president declared rules meant to limit head-to-head contact are ruining football. Each time, one question always comes up: when we will be able to diagnose CTE in living people?
	 
	Boston University researchers took a big step closer this week. They've identified a substance in spinal fluid that they think could be used as a test. It's called the CCL11 protein.Researchers say they're seeing much higher levels of it in people diagnosed with CTE after they've died, which could be a game-changer. It's important to note that these findings are only preliminary, but if proven out, they could have a profound impact on the health and safety of athletes young and old., Coverage from the GBH Newsroom.]"
465,[Juliette Kayyem: Trump Has 'Failed Miserably' To Inspire Hope In Puerto Rico],"[President Donald Trump has come under fire for his response to the crisis in Puerto Rico in the aftermath of Hurricane Maria., National security expert Juliette Kayyem said on BPR today that while the government is doing its part to send resources to Puerto Rico, the administration has not done enough to boost morale and communicate clearly to U.S. citizens., “Where they have failed miserably is on that other piece of the responsibility of Donald Trump and the White House, which is empathy, which is hope, which is a sense to people completely devastated that your government is not distracted, that this is their number one priority,” she said. “The debate about the resources is clearly being seen in light of the failure of leadership.”, Kayyem explained that there are a few cardinal rules of crisis communications that the Trump administration has broken., “If you’re a leader, especially a political leader, when people are suffering, you don’t compliment yourself,” she said., Kayyem explained that leaders should focus on giving “numbers” and “hope,” inspiring those affected in addition to deploying resources. , “My explanation is an explanation that should be coming from the White House,” she said. “What I can explain to your listeners is there is a process [for deploying resources] and you’re seeing the process. It’s always going to look bad — it’s a disaster, and we’ve never seen anything like this on an American territory.”, Kayyem also criticized Trump for dividing the country’s attention with the controversy surrounding the NFL., “For four days he can’t even tweet about what’s going on in Puerto Rico,” she said. “Because he’s focused on the NFL, we’re focused on the NFL, and he should know that.”, Juliette Kayyem is a national security expert, founder of Kayyem solutions, host of the SCIF podcast and contributor to CNN and WGBH. To hear her interview in its entirety, click on the audio player above., Molly Boigon is a former associate producer and reporter for Learning Curve, WGBH’s K-12 education desk. She has also worked for Boston Public Radio and WGBH’s higher education desk, On Campus. Her interests include jazz, yoga and public records requests. Before joining WGBH, she worked at SiriusXM, WZBC and WAAF. She has a degree in Applied Psychology and Human Development from Boston College’s Lynch School of Education.]"
466,[Yvonne Spicer Emerges As Front-runner In Framingham's First Mayoral Race],"[The picture of who will lead Framingham through its transition from New England's largest town to one of its cities became a little clearer yesterday. In a preliminary election that drew more than a quarter of eligible voters, Yvonne Spicer and John Stefanini emerged as the two candidates who will compete to be the newly minted city's first mayor. Spicer, whose only political experience is as a town meeting member, surprised some analysts by earning half of the votes in a crowded field of seven candidates. She emerged as the front-runner over Stefanini, former town selectman and state representative who played a pivotal role in steering Framingham toward changing its system of government., While both candidates have similar platforms, many voters said Spicer's status as a newcomer to government was an appealing alternative to a man steeped in the political system. But Stefanini's political history is also an advantage — he has drawn in significant campaign donations., Both candidates said they plan to focus on revitalizing the downtown business district and focus on making Framingham more affordable to live in. , Regardless of who wins the election, people are paying attention. The town had a 27 percent voter turnout for the preliminary. WGBH New's Joe Mathieu spoke with reporter Tina Martin about the election. To get the full story, read the transcript below or click on the audio player above., Joe Mathieu: Lets go to Framingham, where voters were honking support for their candidates last evening in a historic race, the first ever vote for mayor in Framingham. The town voting to become a city earlier this year and joining us now in studio is a woman who was there for all of it last night, WGBH’s Tina Martin, who has basically been up all night. Tina, good morning., Tina Martin: Good morning to you, Joe., Joe Mathieu: This was a pretty big deal. As we mobilized in Framingham, incidentally, home to many listeners who hear us every day driving in, listening to WGBH’s Morning Edition. The city charter or should I say the town charter changed. Framingham goes from the biggest town in Massachusetts to the newest city., Tina Martin: To the newest city, correct., Joe Mathieu: And it’s time to pick a mayor. What happened last night?, Tina Martin: It is time to pick a mayor so we have two candidates out of the seven.  John Stefanini is a five-term state representative. He’s a two-term selectman. He’s an attorney. He grew up in Framingham, and he is going to be up against Yvonne Spicer, who is an African-American woman. She’s a vice president at the Museum of Science, and her political experience consists of being a town meeting member, and she has been a member of the fair housing committee. So, she’s not quite as politically experienced as John Stefanini, but what the two of them have in common is that they’re both very well-educated, and they’re both lifelong Framingham residents. The both told me they have a vision for the town now city. We have to get used to saying that. Let’s go to Yvonne Spicer., Audio of Yvonne Spicer: We have not been as good of shepherd’s as I think we’d like to with some of our open spaces. I also say economic development. Our downtown area has experienced some resurgence, but there’s still much more work to be done and part of that is looking at what kinds of jobs are available for our community, and I’m looking at trying to grow technical jobs that are higher-wage that allows people to work in Framingham, but also live in Framingham., Tina Martin: Work and live in Framingham. So that was a big theme last night, being able to work and live in the town. Let’s go to John Stefanini. I asked him his vision for the city., Audio of John Stefanini: I envision a community where every child has the same opportunity to achieve success. I envision a community where people proudly go to their neighborhood shopping plaza or downtown on a Saturday night for dinner or to shop. I envision a community where we preserve and protect our open spaces, and I envision a community where everyone has a voice at the table and can participate in the process., Tina Martin: So Joe, you heard Stefanini talk about every child having an opportunity. That was an underlying theme last night for voters also — school, education. There is a gentleman who we spoke to named Mike Lucek. Let’s listen to what he said., Joe Mathieu: This one of the voters you spoke with last night., Tina Martin: Yes., Audio of Mike Lucek, Framingham voter:  I’m looking for progress, especially with the school systems. I have a young son, and that’s primarily what I am looking at for candidates and councilors — so the quality of the education and trying to bring the Framingham school system up. I think I saw a Boston Magazine article where Framingham ranked 81st, but they’re in the top 20 in spending per student., Tina Martin: So that was the theme from voters last night. You know, the other thing, Joe, you talked about me being up all night. It wasn’t hard to be up all night because this is so exciting. Everybody was so, you know, kind of thrilled to feel like they had a seat at the table — that they’re driving this new administration. The assistant town clerk said that they had a 27 percent voter turnout.  , Joe Mathieu: Which is better than we saw in Boston, right?, Tina Martin: Much better than we saw in Boston. To put it in perspective, they usually don’t even break double digits for their general local election. So this is a huge deal., Joe Mathieu: You can speak to that. You live in Metro West, and you know what this means locally., Tina Martin: Absolutely, people are very, very excited about this, and I think that they really feel that they have an opportunity to see the kind of city that they’ve always wanted. And so that’s basically what we’re seeing., Joe Mathieu: Did you find that there was name recognition? These names are new to a lot of folks around Massachusetts, but in Framingham these are two known entities., Tina Martin: They’re two known entities. I think what I found very interesting was that Yvonne kind of was popular based on the fact that she is a newcomer. She’s grassroots. She doesn’t really have the political experience so maybe that leans to the fact that people are looking for something a little different. Maybe they want to try new things. Maybe they want to do things that are a little bit more nonconventional., Joe Mathieu: So, we’ve got our finalists, two finalists November 7th, the general election. I suspect you might be back in Framingham., Tina Martin: I suspect I will., Joe Mathieu: We’ll see how that goes. Thank you so much, WGBH Radio’s Tina Martin. I think you’re allowed to take a nap now., Tina Martin: You bet. , This post was updated to include the transcript.]"
467,"[With Hurricane Irma, How Miami 'Dodged A Bullet' ]","[Edgar B. Herwick III of WGBH’s Curiosity Desk was in Miami last week, lending a hand to our colleagues at WLRN, a fellow NPR Station. He tells WGBH's Morning Edition that in the wake of Hurricane Irma, Miami clearly looks like it has been hit by a storm, but it could have been much worse., ""I think they definitely feel like they dodged a bullet,"" he said. ""There were some, you know, issues that they faced, power outages, water boil alerts, things like that, but they definitely have a feeling of, we dodged one here."", Ciku Theuri is a former Associate Producer for WGBH’s Morning Edition.]"
468,[FULL SHOW: North Korea Standoff; Get Out The Vote; Branded],"[President Donald Trump and North Korean Dictator Kim Jong Un’s war of words isn’t cooling down. In a news conference Tuesday, Trump told reporters that a military option is on the table and that if the United States decided to go through with it, “it will be devastating” for North Korea. The president’s comments echoed statements he made at the U.N. General Assembly last week, where he vowed to “totally destroy” the rogue nation if it continued to threaten the U.S. and its allies. Responding to Trump after his address, the North Korean leader called Trump a “dotard.” Trump fired back calling Kim Jong Un a “madman,” who “will be tested like never before.” Katharine Moon, a political science professor at Wellesley College and non-resident senior fellow at The Brookings Institute; Carol Saivetz, senior advisor at MIT’s Security Studies Program; and Jim Walsh, a senior research associate at MIT’s Security Studies program and one of the few Americans who has traveled to North Korea for nuclear discussions, joined Jim Braude to discuss how dangerous this game of nuclear chicken has gotten., Tuesday is preliminary election day in Massachusetts, and if you had no idea, you’re probably in the majority. One of the communities coming out to vote will be Boston, where the race for mayor and four city council spots will be narrowed down to two candidates each. Of the 391,000 registered voters in the city, about 60,000 (15-percent) are expected to cast their ballots – setting up a major challenge for candidates looking to churn out support, especially among younger voters. Ashley Spillane, former president of Rock the Vote, who knows a thing or two about the challenges of getting people to the polls; and Joe Slade White, a long-time strategist for former Vice President Joe Biden and now a visiting fellow at Harvard’s Institute of Politics working with students on voter engagement issues, joined Jim Braude to discuss the best approach to mobilizing a young voter., Want a tattoo of your company’s logo? Jim has a pizza parlor for you to check out., Coverage from the GBH Newsroom.]"
469,[North Korea Standoff],"[President Donald Trump and North Korean Dictator Kim Jong Un’s war of words isn’t cooling down., In a news conference Tuesday, Trump told reporters that a military option is on the table and that if the United States decided to go through with it, “it will be devastating” for North Korea., The president’s comments echoed statements he made at the U.N. General Assembly last week, where he vowed to “totally destroy” the rogue nation if it continued to threaten the U.S. and its allies. Responding to Trump after his address, the North Korean leader called Trump a “dotard.” Trump fired back calling Kim Jong Un a “madman,” who “will be tested like never before.”, Katharine Moon, a political science professor at Wellesley College and non-resident senior fellow at The Brookings Institute; Carol Saivetz, senior advisor at MIT’s Security Studies Program; and Jim Walsh, a senior research associate at MIT’s Security Studies program and one of the few Americans who has traveled to North Korea for nuclear discussions, joined Jim Braude to discuss how dangerous this game of nuclear chicken has gotten., Coverage from the GBH Newsroom.]"
