,text
19,Twenty years ago Friday  hundreds of volunteers met at Boston Common to pledge their commitment to get things done for America  They were among the first AmeriCorps members in the country Emily Haber  CEO of the Massachusetts Service Alliance  which coordinates AmeriCorps volunteers in the state  joined WBUR s Morning Edition to discuss the anniversary This segment aired on September 12  2014 
20,As in the rest of the country  people in Boston are taking in Monday night s announcement that a jury in Ferguson  Mo   did not return an indictment against a police officer who shot Michael Brown  18  last summer Listen above to a report from WBUR s Fred Thys This segment aired on November 25  2014 
21,Gov  Deval Patrick on Friday nominated Massachusetts Appeals Court Judge Geraldine Hines to serve on the state s Supreme Judicial Court  The nomination comes as a result of a vacancy created by the retirement of Chief Justice Roderick Ireland If confirmed  Hines would become the first African American woman on the SJC This segment aired on June 13  2014 
22,Peter Meade  a business and civic leader who ran the Boston Redevelopment Authority under former Mayor Thomas Menino  joined WBUR s All Things Considered to discuss Menino s legacy following his death Thursday at the age of 71  Listen to the full conversation above More Coverage Of Menino s Passing This segment aired on October 30  2014 
23,A former president and the Queen of Soul have received honorary degrees from Harvard University George H W  Bush  Aretha Franklin and six others were honored at Thursday s commencement Harvard President Drew Faust poked fun at the 89 year old Bush s Yale University credentials  saying his  cap was blue  his house was white and now his robe is crimson   but added that Bush  piloted our nation though changeful skies  Bush smiled and gestured to the crowd as he received the doctor of laws degree  but he did not stand The 72 year old Franklin accompanied herself on piano to perform the national anthem  She later received an honorary doctor of arts degree Former New York City Mayor Michael Bloomberg also received an honorary degree Harvard awarded more than 7 300 degrees and certificates at its 363rd commencement This article was originally published on May 29  2014 
24,Two survivors of the Boston Marathon bombing and an openly gay NBA player are among the guests who will sit with first lady Michelle Obama Tuesday when President Barack Obama delivers the annual State of the Union address The first lady s guests are often chosen because they symbolize an issue or policy the president is promoting  The White House announced six guests on Monday  with other names to be released ahead of Obama s address The guests announced so far are   Carlos Arredondo and Jeff Bauman  Boston  A photograph of Arredondo  53  and Bauman  27  has become one of the iconic images from the April 2013 bombing  The photo captured Arredondo rushing a badly injured Bauman away from the scene of the attack  Bauman  who lost both legs in the attack  played a crucial role in identifying the bombers while he was in the hospital recovering  The two men have become close friends  the White House said   Gary Bird  Moore  Okla   Bird is the fire chief in Moore  Okla   which was hit by a massive tornado in May 2013  The tornado killed 25 people and destroyed more than 1 000 homes and businesses  The White House said Bird and his team worked through the path of the storm to rescue survivors   Jason Collins  Los Angeles  In April  35 year old Collins became the first active male athlete on a major American sports team to come out as openly gay  Collins played 12 years in the NBA  going to the playoffs nine times and making the league finals twice  The president has said Collins  announcement marked a point of progress for the gay community   Joey Hudy  Anthem  Ariz   Hudy was a participant in a 2012 science fair at the White House  where he helped the president use his invention  the  extreme marshmallow cannon   Now 16  Hudy is interning at Intel and is a proponent of science  technology  engineering and math education   Kathy Hollowell Makle  Washington  Hollowell Makle was the 2013 teacher of the year in the District of Columbia public school system  A former Teach for America corps member  Hollowell Makle teaches at Abram Simon Elementary  where 90 percent of her students demonstrated early literacy at proficient or advanced levels 
25,Funeral arrangements are set for the former leader of the Roman Catholic diocese in western Massachusetts The Rev  Joseph Maguire s body will lie in state at St  Michael the Archangel s Cathedral in Springfield on Sunday  which will be followed by a prayer vigil A funeral Mass is scheduled to take place at the cathedral on Monday morning  followed by entombment at the cathedral s mausoleum Maguire died Nov  23 at age 95  He served as bishop of the Diocese of Springfield from 1977 until 1992 Maguire was a Boston native and the son of a Boston police sergeant  He attended Boston College  where he played baseball and hockey  and entered the seminary upon graduation 
26,The Pulitzer Prize winning biographer Justin Kaplan  who once taught at Harvard and Holy Cross  is dead  Kaplan won a Pulitzer Prize in 1967 for his biography of Mark Twain  He later became editor of “Bartlett’s Familiar Quotations ”Kaplan died Sunday in Cambridge from complications related to Parkinson’s disease  He was 88 Kaplan was a mentor and a friend to Boston writer and fellow biographer Larry Tye  who joined WBUR’s Morning Edition This segment aired on March 4  2014 
27,Former City Councilor Rob Consalvo  who grew up in former Mayor Thomas Menino s community of Hyde Park and considered him a family friend  also came to know the mayor as a mentor We spoke to Consalvo on Thursday after Menino passed away  and asked him the biggest lesson he learned from Menino  Listen to our full conversation above More Coverage Of Menino s Passing This segment aired on October 30  2014 
28,Residents of Northborough are being asked to line the streets to honor a paratrooper from town killed in Afghanistan The funeral Mass for Spc  Brian Arsenault is being held Tuesday at St  Rose of Lima Church  He will be buried at Howard Street Cemetery with full military honors Residents are asked to show their support by lining the funeral procession route from the church to the cemetery with flags The 28 year old Arsenault died earlier this month from injuries he suffered during a firefight between his unit and enemy forces He was assigned to the 1st Battalion  504th Parachute Infantry Regiment  1st Brigade Combat Team  82nd Airborne Division based at Fort Bragg  North Carolina He was a 2004 graduate of Algonquin Regional High School 
29,A 33 year old Boston firefighter and former Marine killed fighting an apartment blaze has been honored for his service by thousands of mourners At his funeral Thursday  family members and friends recalled Michael Kennedy s humor  love and competitiveness  They spoke of his volunteer work with the Big Brother Big Sister program and burn victims Firefighters from around the country lined the streets  and bagpipers played  as they did on Wednesday for Lt  Edward Walsh  43  who died with Kennedy on March 26 Boston leaders including Mayor Martin Walsh and Gov  Deval Patrick attended the service at Holy Name Church in the West Roxbury neighborhood where Kennedy grew up  The mayor said Kennedy s values and influence on others can bring hope to those who mourn him Walsh was buried in suburban Watertown on Wednesday after being honored by firefighters from as far as Washington state  Walsh was married with three children under the age of 10  He was buried alongside his father  also a firefighter This article was originally published on April 03  2014 
30,Hundreds of mourners gathered in Northborough Tuesday for the funeral of 28 year old Army Spc  Brian Arsenault  who was killed in Afghanistan earlier this month With a large crowd gathered both inside and outside of the St  Rose of Lima Parish  Arsenault s mother Leslie  clutching her son s teddy bear  followed his flag draped casket into the church Those who spoke at the funeral recalled Arsenault as fun loving  free spirited  a talented hockey player who was devoted to his family and friends Daniel Arsenault  Brian s father  said his son made relationships with others a priority   I think Brian knew what was important  He knew what mattered and he knew how to pursue it  and we ll be forever grateful to him for that  Eliot Arsenault  Brian s cousin  called him a friend and confidant who  would always take the difficult road   and who gave his life for a cause he believed in Arsenault is the 49th service member connected to Massachusetts killed in Afghanistan  The Department of Defense says he died of injuries he suffered when his unit was engaged by enemy small arms fire Arsenault  a 2004 graduate of Algonquin Regional High School  enlisted in 2011 and completed his airborne training in 2012  He was a paratrooper with the 82nd Airborne Division  based at Fort Bragg  North Carolina  He had been in Afghanistan since January and was due home in November During the homily  the Rev  James Houston told mourners that soldiers have a unique religious significance Mourners joined in singing the National Anthem and  Amazing Grace  to end the service  And dozens waving American flags lined the procession route to the Howard Street Cemetery in Northborough  where Arsenault was buried with full military honors More Photos This segment aired on September 16  2014 
31,Boston Marathon bombing suspect Dzhokhar Tsarnaev was in court for the brief hearing Thursday — his first public appearance in more than a year  Also in attendance were about a dozen bombing survivors and a handful of Tsarnaev supporters Listen to Bruce Gellerman s full report above This segment aired on December 19  2014 
32,Monday marks the beginning of a new season for the Boston Red Sox  Will it be a repeat of the team s World Series win last year  Or will we see them finish the regular season in last place as they did in 2013 Baseball analyst Glenn Stout joined WBUR s Morning Edition to talk about the team s prospects This segment aired on March 31  2014 
33,The Pentagon says a paratrooper killed in Afghanistan this week was from Massachusetts The Department of Defense announced Friday that Spc  Brian Arsenault  of Northborough  Massachusetts  died Thursday in Ghazni  Afghanistan  of injuries sustained when his unit was engaged by enemy small arms fire The 28 year old Arsenault was a 2004 Algonquin Regional High School graduate He was assigned to the 1st Battalion  504th Parachute Infantry Regiment  1st Brigade Combat Team  82nd Airborne Division  based at Fort Bragg  North Carolina Arsenault is the first member of the military from Massachusetts killed in action this year With reporting by the WBUR Newsroom and The Associated PressThis article was originally published on September 05  2014 
34,Investigators are trying to identify a chemical agent at a Plymouth elementary school that sent 11 people to the hospital  At the same time they re trying to figure out what caused the death of a long time school employee found in the building Monday morning Listen above to a full report from WBUR s Fred Thys This segment aired on July 8  2014 
35,Celebrating Easter Sunday  Christianity s most joyous day  Pope Francis stood under sunny skies before a flock so numerous they overflowed the flower bedecked St  Peter s Square Even before Mass began in late morning  more than 100 000 tourist  Romans and pilgrims  young and old  had turned out for the Mass  Many more streamed in throughout the ceremony The broad boulevard leading from the square to the Tiber river filled up with the faithful and the curious  trying to catch a glimpse of the pontiff at the altar under a canopy erected on the steps of St  Peter s Basilica A rainstorm had lashed Rome on Saturday night  with thunder competing with the sound of hymns when Francis led a vigil service in St  Peter s Basilica  Dawn brought clear skies and warm temperatures for Easter  the culmination of Holy Week  the day which marks the Christian belief that Jesus rose from the dead after his crucifixion This year the Roman Catholic church s celebration of Easter coincided with that of the Orthodox church and some of the hymns at the Vatican Mass were in Russian Francis didn t give a homily  since traditionally pontiffs  main remarks on Easter come during the noon time  Urbi et Orbi   Latin for  to the city and the world   address Reflecting the worldwide reach of the Catholic church  faithful read aloud prayers and passages from the Bible in Hindu  French  Chinese  German  Korean  Spanish  Italian and English 
36,At the Boston Public Garden and the State House Thursday  ceremonies commemorated those who died in the terrorist attacks 13 years ago that started with the hijacking of two planes from Logan Airport  Listen above to a full report from WBUR s David Boeri This segment aired on September 11  2014 
37,Four days of demonstrations in Ferguson  Mo   reached a peak Monday with the arrest of about 50 people protesting the August police shooting of 18 year old Michael Brown  Among those arrested was a member of the First Baptist Church in Jamaica Plain  the Rev  Osagyefo Sekou  He was charged with assaulting a police officer and was released Monday night Sekou joined WBUR s Morning Edition to discuss the protests and his arrest This segment aired on October 14  2014 
38,Author John Green was inspired to write his blockbuster novel turned film   The Fault in Our Stars   after getting to know one of his fans  a young woman named Esther Earl from Quincy  Mass   who succumbed to thyroid cancer in 2010  shortly after her 16th birthday  Her parents  Lori and Wayne Earl  react to seeing the film  a heartwrenching teen love story Listen to the Earls  full interview with Robin Young on Here  amp  Now — where they talk about Esther s first encounter with Green and her importance to the nerdfighter community 
39,Boston firefighter Michael Kennedy has been laid to rest  Kennedy died alongside Fire Lt  Edward Walsh last week in a 9 alarm blaze in the Back Bay Walsh was buried Wednesday  and yesterday  thousands of mourners lined the streets of West Roxbury as Kennedy s casket made its way to Holy Name Church WBUR reporter David Scharfenberg joined WBUR s Morning Edition to talk about Kennedy s funeral services This segment aired on April 4  2014 
40,Firefighters  friends and family honor Michael Kennedy Thursday morning at a funeral in West Roxbury  He was one of two firefighters killed in a nine alarm blaze that ripped through a brownstone in the Back Bay last week The other firefighter  Lt  Edward Walsh  was remembered Wednesday at a funeral in Watertown  where he was described as a  gentle giant  This segment aired on April 3  2014 
41,Federal and state officials say a Marine from New Hampshire has been killed in Afghanistan Gov  Maggie Hassan says Lance Cpl  Brandon Garabrant was dedicated to service to his country and his death was a tragedy  She offered her condolences to his family  as did U S  Sens  Jeanne Shaheen and Kelly Ayotte The governor told the New Hampshire Union Leader that Garabrant was a volunteer firefighter in Temple and graduated from ConVal High School  Media reports say Garabrant was killed Friday Last year  Garabrant wanted to wear his Marine uniform to his high school graduation but school officials said policy bans uniforms and requires graduates to wear blue caps and gowns  Garabrant said that out of respect to the Marines and his high school  he wouldn t wear the military uniform 
42,For a local Attleboro family  the world s most watched sporting event hits especially close to home Geoff Cameron  28  is a starting defenseman on the U S  men s soccer team — and an Attleboro native  He s in Brazil gearing up for the U S  team s first World Cup match on Monday versus Ghana Geoff s dad  Scott Cameron  joins WBUR s Morning Edition to discuss his son s journey to soccer s largest stage This segment aired on June 13  2014 
43,Crowds of protesters are storming down Massachusetts Avenue toward Harvard Square in Cambridge demonstrating a grand jury s decision to not indict a white police officer in the chokehold death of an unarmed black man in New York The protest was organized by students at Tufts University and began at Davis Square in Somerville Cambridge police are expecting heavy traffic delays in and around Porter Square 
44,Vice President Joe Biden is defending the Obama administration s late entry in the Syrian Civil War and urging Americans to keep security threats to this country in perspective WBUR s Fred Thys joins Morning Edition to report on the foreign policy priorities the vice president spelled out last night at Harvard s Kennedy School This segment aired on October 3  2014 
45,Brown s president says the university community is profoundly saddened by the death of a 21 year old student who never returned from a duck hunting trip in Massachusetts In a campus wide message Monday  President Christina Paxson remembered Dana Dourdeville of Marion  Mass   as an active student who served as a teaching assistant for an introductory engineering course and co president of Brown s Engineers Without Borders  He was also active in a student group that offers science and engineering enrichment for Providence high school students She said Dourdeville ran cross country his freshman year but opted not to compete after one season to devote more time to academic interests Paxson said the university will come up with a way to honor Dourdeville s life Authorities say Dourdeville s body was discovered in Falmouth Sunday after washing ashore 
46,A 43 year old Boston firefighter killed with a colleague as they fought a nine alarm apartment fire last week is being laid to rest Lt  Edward Walsh died alongside 33 year old Firefighter Michael Kennedy when they became trapped in the March 26 blaze at a Back Bay area brownstone building  He was married with three children all under the age of 10 Walsh s funeral Mass took place Wednesday morning at St  Patrick s Church in suburban Watertown  where he grew up Thousands  including firefighters from across the country  attended his wake Tuesday and his funeral Wednesday Walsh will be buried next to his father  a Watertown firefighter Kennedy s wake is scheduled for Wednesday afternoon  His funeral is Thursday in Boston s West Roxbury neighborhood Fire department chaplains will conduct the funerals With reporting from the Associated Press and the WBUR newsroom This article was originally published on April 02  2014 
47,Another sign  the pope met with the Global Legislators Organization  which included representatives from a half dozen countries  including Mexico  the United Kingdom and Italy  and where the environment was again on the agenda Representing the U S  in that meeting was Massachusetts U S  Sen  Ed Markey  who joined WBUR s Morning Edition to explain why he thinks the pope can spur real action This segment aired on May 29  2014 
48,Protesters took to the streets of Boston Thursday night to protest a grand jury s decision not to indict a white police officer in the chokehold death of a black man as he was being taken into custody Thousands turned out  and police reported just a handful of arrests in what was a largely peaceful demonstration Listen to a full report above from WBUR s Fred Thys This segment aired on December 5  2014 
49,Boston residents had one last chance to pay their respects to former Mayor Thomas Menino Monday  They lined the route of his procession through the city and gathered to watch the funeral service broadcast on a large screen on City Hall Plaza Listen to a full report above from WBUR s Jack Lepiarz This segment aired on November 3  2014 
50,The FBI is calling attention to the main player in a propaganda film produced by the terrorist group that calls itself the Islamic State Agency officials believe the man in the film could be an American  and they re hoping someone will recognize him Listen above for more on the story from WBUR s David Boeri This segment aired on October 8  2014 
51,Two Boston Marathon spectators who became symbols of courage after last year s bombing have teamed up for a graduation speech and beamed with pride after receiving honorary degrees Jeff Bauman lost his legs in the attack  He told graduates at Fisher College in Boston on Saturday to keep moving forward and seize the opportunities that lie ahead Carlos Arredondo helped save Bauman s life that day and stressed the importance of community and teamwork Arredondo was passing out American flags when two bombs went off near the finish line  He ran to Bauman and helped rush him to an ambulance  An Associated Press photograph captured that moment Bauman later helped authorities identify the suspects The pair never graduated from college and appeared overjoyed to receive their honorary diplomas 
52,Thousands of people have gathered to honor a Boston firefighter who died with a colleague as they battled a fire last week Forty three year old Walsh grew up in the Boston suburb where his father and several family members have served as firefighters Walsh and Firefighter Michael Kennedy were killed March 26 when they became trapped fighting a nine alarm blaze at a brownstone apartment building in Boston s Back Bay Walsh lived in Boston with his wife and three young children His funeral Mass will be held at the Watertown church on Wednesday morning Kennedy s wake is scheduled Wednesday  and his funeral on Thursday in Boston 
53,Hundreds gathered on City Hall Plaza Friday afternoon to honor the two firefighters who died Wednesday battling a nine alarm fire in Boston s Back Bay Lt  Edward Walsh and firefighter Michael Kennedy died when they were fighting a fire in a brownstone apartment building in the Back Bay area on Wednesday Mayor Martin Walsh said Friday the courage of Walsh and Kennedy will never be forgotten  and  words cannot repay the debt of gratitude  the city owes them and their families Fire Commissioner John Hasson said the compassion and kindness of their fellow citizens has lifted the spirits of firefighters Bagpipers played the hymn  Amazing Grace  as the red flag of the Boston Fire Department  and the blue flag of the firefighters  union  were raised A minute of silence was observed by the crowd that included some family members of the men who died Officials on Friday also announced the establishment of a memorial fund to help the Walsh and Kennedy families  as well as arrangements for the two men s funerals A wake and funeral Mass for Walsh will be held at St  Patrick s Church in the suburb of Watertown  where he grew up  The wake will be from 3 p m  to 8 p m  Tuesday  The funeral will be at 10 30 a m  Wednesday Kennedy s wake will be Wednesday from 2 30 p m  to 8 p m  at P E  Murray Funeral Home in the West Roxbury neighborhood  His funeral Mass will be at 11 a m  Thursday at Holy Name church in West Roxbury Related Coverage  This article was originally published on March 28  2014 
54,Drug addiction  especially opioid addiction  was a major story in 2014  Massachusetts officials came up with several ways to deal with the issue this past year WBUR s Deborah Becker joined WBUR s Morning Edition to take a look back Listen above to Becker s full report Related  This segment aired on December 30  2014 
55,The John F  Kennedy Library Foundation in Boston has named a business and Democratic political professional as its first female chief executive Heather P  Campion is former chief administrative officer of Northeast Bancorp and executive at Citizens Financial Group Inc She worked in the speechwriting office of President Jimmy Carter and held senior positions on the Democratic presidential campaigns of former Vice President Walter Mondale in 1984 and Gov  Michael Dukakis in 1988 Campion  who lives in Brookline  also worked at Harvard s John F  Kennedy School of Government  is credited with helping to build its Center for Business and Government  served as director of the public liaison office and as director of Harvard s John F  Kennedy Jr  Forum She s set to start her job at the foundation on March 3 
56,Neil Lynch  a former justice of the Massachusetts Supreme Judicial Court  has died after a long battle with cancer  Chief Justice Ralph Gants announced Friday Lynch  a Hingham resident  died Wednesday  Gants said  He was 84 Lynch was appointed an associate justice by Gov  Edward King in 1981  and served until his mandatory retirement at age 70 in 2000 He served as chairman of the SJC s Commission to Study Racial and Ethnic Bias in the Courts  Following his retirement from the bench  he served on the Court Management and Advisory Board  and was president of the Flaschner Judicial Institute  which seeks to improve the administration of justice  He also taught at law school Herbert Wilkins  chief justice from 1996 to 1999  served with Lynch for 18 years and remembered him as  a congenial friend and team player who held to his principles with integrity  Prior to his appointment to the bench  Lynch served as King s chief legal counsel from 1979 to 1981  From 1965 to 1976  Lynch was Chief Legal Counsel for the Massachusetts Port Authority Lynch  a Bridgewater native  had undergraduate and law degrees from Harvard University He is survived by his wife  Kathleen  three children and two stepchildren A funeral Mass is scheduled for Monday at Resurrection Church in Hingham 
57,Nearly a month into the academic year  teachers and children are settling into classrooms across the state  But for more than 350 students enrolled in the state s newest virtual public school  this year marks the beginning of an entirely new approach to learning Dr  Tyler Page  the lead administrator at the new TEC Connections Academy based in East Walpole  joined WBUR s Morning Edition This segment aired on September 22  2014 
58,As he nears one year in office  see below for video of Mayor Marty Walsh s address to the Greater Boston Chamber of Commerce  The video is provided by Comcast Note  Livestream uses Adobe Flash Player  which may not be available on all devices Or you can listen to the full address here 
59,A groundbreaking ceremony was held Friday in Boston for a permanent public memorial in honor of those who ve lost their lives in service to this country since the 9 11 terror attacks The Massachusetts Fallen Heroes Memorial in Boston s Seaport District is being billed as the first of its kind in the U S  You re Always So Proud Among those gathered were Gold Star families  young children  mothers and fathers clutching yellow carnations in memory of loved ones lost in service to this country during the war on terror Angela Durkin  of Quincy  knows what that s like  She lost her daughter in Afghanistan seven years ago and looks forward to coming to the memorial once it s completed Gov  Deval Patrick called this solemn land Myrnairis Cepeda  of Roxbury  saw her daughter serve two tours in Iraq  and other missions overseas  only to be killed by a drunk driver while back in the U S  for a briefing earlier this year  Cepeda tears up as she talks of dreams not realized The Massachusetts Fallen Heroes Memorial will include a 50 foot obelisk structure  and an indoor interactive room featuring artifacts and memorabilia that veterans brought home from the wars in Iraq and Afghanistan Correction  A caption in an earlier version of this story incorrectly reported how a veteran died  We regret the error This article was originally published on October 03  2014 This segment aired on October 3  2014 
60,Former President George H W  Bush celebrated his 90th birthday by delivering on a vow he made five years ago even though he can no longer use his legs — George Bush   GeorgeHWBush  June 12  2014The nation s 41st president jumped from a helicopter near his summer home in Kennebunkport  Maine  harnessed to Sgt  1st Class Mike Elliott  a retired member of the Golden Knights  the Army s parachute team  Elliott also guided Bush to a gentle landing five years ago Bush floated to the ground using a red  white and blue parachute and landed near St  Ann s Church  where friends and family had gathered  out of the sight of reporters  This video of the jump was posted on former President George W  Bush s Instagram The first time Bush jumped from an airplane was when his plane was shot down in World War II over the Pacific  Later  he decided to jump from a plane of his own accord and marked his 75th  80th and 85th birthdays by skydiving Spokesman Jim McGrath said the former president likes both a surprise and an adrenaline rush The jump was kept secret until Thursday morning  partly to give Bush himself the option of bagging it  Still  hundreds of people gathered along rocks near the church to catch a glimpse With reporting by The Associated Press s David Sharp and the WBUR Newsroom 
61,Former Mayor Thomas Menino s focus was always the city of Boston  But his name was well known in political circles in Washington and around the country Joining Morning Edition to speak about Menino s political reputation is Victoria Reggie Kennedy  She s the president of the Edward M  Kennedy Institute and the widow of the late Massachusetts U S  Sen  Ted Kennedy  Hear the full interview in the audio player above This segment aired on October 31  2014 
62,Congressman Joe Kennedy is heading to Asia as part of a bipartisan congressional delegation The Massachusetts Democrat and seven other members of Congress led by California Republican Rep  Ed Royce will spend a week traveling across Japan  South Korea  Taiwan  the Philippines and Hong Kong The trip begins Saturday and wraps up Feb  24 Kennedy  who sits on the House Committee on Foreign Affair  said the trip underscores the relationship between the United States and the region  and the shared alliances on global security and economic development The delegation will be meeting with top officials including Japanese Prime Minister Shinzo Abe  They also will spend a day in the city of Tacloban in the Philippines observing the damage caused by last year s Typhoon Haiyan Kennedy recently announced he s seeking re election to a second term 
63,Police say someone stole a baby Jesus statue from a Nativity scene and replaced it with a real pig s head in Haverill The parish priest noticed the statue had been taken from the creche at Sacred Hearts Roman Catholic Church on Christmas morning Mayor James Fiorentini said during a Friday morning press conference that he is outraged by the crime at the South Main St  parish and that the desecration has  all the elements of a hate crime  Police say the pig s head left in its place appears to have been recently severed  and investigators are seeking help from butcher shops and pig farms  Police say the perpetrator could face animal cruelty charges Meanwhile  a neighbor replaced the baby Jesus with one from her own creche Greenfield police say another baby Jesus figurine was also stolen from the Nativity scene on Greenfield Town Common  likely before dawn on Christmas Eve With reporting from the WBUR newsroom and the Associated PressThis article was originally published on December 26  2014 
64,Sunday s St  Patrick s Day breakfast in South Boston will be dedicated to former Mayor Thomas Menino  Menino is undergoing chemotherapy after an advanced form of cancer was discovered in his liver and lymph nodes last month WBUR s David Scharfenberg joins Morning Edition to talk about what to expect during this annual political breakfast 
65,With the start of the Winter Olympics just two weeks away  there are increasing concerns about possible terrorist attacks in Sochi  Russian President Vladimir Putin has implemented a massive security effort after threats against the Games from nearby Dagestan Boston Globe reporter David Filipov  who will be covering the Games  was recently in Dagestan to report on the life of suspected Boston Marathon bomber Tamerlan Tsarnaev  He joined WBUR s All Things Considered to discuss the possible threat This segment aired on January 23  2014 
66,Thanks to Hurricane Arthur  this is turning out to be the year of making alterations to a long running tradition in Boston Not only was the annual July 4th celebration on the Esplanade held a day early  it was also abbreviated WBUR s Jack Lepiarz joined Morning Edition to discuss the Esplanade event This segment aired on July 4  2014 
67,Two Massachusetts World War II veterans who helped liberate France were given that country’s highest honor at a ceremony at the State House Monday evening The French consulate in Boston presented the Legion of Honor to Norman Grossman of Hingham and Frank Pagliuca of Brockton Pagliuca was an artilleryman who served alongside French forces pushing the Nazi army back into Germany Grossman  originally from Newton  landed on Omaha Beach in Normandy The ceremony took place on Bastille Day  the anniversary commemorating the French Revolution 
68,Boston Police Commissioner William Evans will run the New York City Marathon this November in honor of the 8 year old boy who was killed in the Boston Marathon bombing Evans is one of 20 people selected for Team MR8  from the Martin W  Richard Charitable Foundation The 20 runners range in age from 21 to 55  More than 100 people applied for TeamMR8 at the New York City Marathon The foundation s mission is “to honor Martin s message of ‘No more hurting people — peace’ by investing in education  athletics and community   according to the statement 
69,U S  Supreme Court Chief Justice John Roberts says the Magna Carta  which turns 800 next year  was a  product of its time  that still resonates in modern American democracy Speaking at the American Bar Association s annual meeting in Boston Monday  he said the document   Latin for  Great Charter    should be celebrated because it  heralded the ascent of liberty  Roberts  who has been chief justice since 2005  said the document was meant to resolve  squabbling  between the English king and feudal barons  but also contained the framework for ideas we now consider  fundamental freedoms   including due process and rule of law The American Bar Association  a voluntary association for lawyers with some 400 000 members  is meeting at the Hynes Convention Center from Aug  4 to 12 This article was originally published on August 11  2014 
70,As part of Boston s Hero Squares initiative  the city has rededicated a Dorchester square in honor of a local soldier killed in the Iraq War WBUR s Alex Ashlock attended the Saturday morning ceremony to honor Army Sgt  Daniel Londono  who was killed by a roadside bombing in 2004  Ashlock joins Morning Edition to discuss Londono s legacy  as well as the dozen squares the city has erected in honor of fallen soldiers connected to the city Related This segment aired on August 31  2014 
71,Scott Brown plans to formally announce his candidacy Thursday night for a U S  Senate seat in New Hampshire after months of posturing and speculation Political director at WMUR TV in New Hampshire James Pindell has been on the road with former Massachusetts U S  Senator for the last few weeks as Brown has been exploring a bid James joined WBUR s Morning Edition to bring us up to speed This segment aired on April 10  2014 
