,text
30,The final day of February will be a very cold one  with highs only reaching the lower 20s  This is just a few degrees warmer than the coldest Feb  28 on record  which was set way back in 1875  making this one of the coldest closes to February on record Sunshine will be abundant all day with hardly a cloud to be found in the sky  Clear skies will continue through the night  and if you have Friday night plans the only weather concern will be the cold as the evening will remain dry Sunshine continues through Saturday  However  there will be a few more clouds forming in the afternoon   Temperatures will rebound somewhat on a southerly wind as highs break the freezing mark This flow of mild air will bring even more clouds on Sunday  along with the chance of a few snow showers or a period of light snow  especially in the afternoon  Presently  this doesn’t look to be enough snow to create major travel issues There is a still a strong likelihood of snow on Monday  The snow amounts  start and stop times are not well known yet  however  I expect both the morning and evening commutes to be impacted by the snow  It appears the greatest accumulation of snow will be south of the Massachusetts Turnpike Cold weather returns for the middle of next week as another round of arctic air flows south from Canada Friday  Sunny and cold  with highs only in the lower 20s  Wind chill values below zero  especially in the morning hours Friday night  Mostly clear and unseasonably cold  Lows 4 11 degrees Saturday  Partly sunny with highs between 29 34 degrees Sunday  More clouds than sunshine with a few afternoon snow showers or some light snow  Highs in the lower and middle 30s Monday  Snow likely  especially during the morning  Highs in the 20s Tuesday  Mostly sunny and continued unseasonably cold temperatures with highs between 22 27 degrees Follow updates from David Epstein on Twitter  growingwisdom 
31,The Rev  Osagyefo Sekou  of the First Baptist Church in Jamaica Plain  joins us from Ferguson  Missouri This segment aired on November 25  2014 
32,The National Weather Service is warning swimmers about possible riptide currents in Massachusetts and Rhode Island as Tropical Storm Bertha passes within a few hundred miles of southern New England The Weather Service says the threat of rip currents will continue into Wednesday evening for Cape Cod  Martha s Vineyard  Nantucket  the south coast of Rhode Island and Block Island Forecasters say Bertha will be moving east of New England through the day and is expected to bring swells of 5 to 8 feet The Massachusetts Emergency Management Agency is advising swimmers to check surf conditions  heed the advice of lifeguards and not swim alone Riptides are powerful channels of water flowing away from shore that can be dangerous to swimmers With reporting by The Associated Press and the WBUR NewsroomThis article was originally published on August 06  2014 
33,Another nice day is ahead with mild air and light winds  Later in the afternoon a light sea breeze will knock temperatures back several degrees right along the coastline  Highs should once again reach near 70 It will be a mild night with dry conditions tonight  Lows will be in the 40s as some patchy fog develops  Friday will break our recent string of nice days as clouds and the chance of showers return  The showers will be widely scattered and with the added cloud cover it won’t be very warm  Most of the day will see temperatures in the 50s  The rain will be light if you do get a shower  so most outdoor activities will still be able to happen Friday night brings a slightly increased chance of showers as more tropical like air rides north  There could even be a few thunderstorms late at night which wake you up On Saturday  the warmer air means temperatures will rise back in the lower and even middle 70s  While the morning sees a lot of clouds and the chance of a shower  there could also be some periods of sunshine in the afternoon Another round of rain showers is possible late Saturday night and very early Sunday  but by sunrise on Mother’s Day it will be clearing  and I expect a great day  Sunday is also Lilac Sunday at the Arnold Arboretum  This is the only day at the arboretum given to one particular group of plants and if you can manage the crowds it s worth going A warm front and then a cold front bring the chance of showers Friday into Saturday night  but high pressure returns to New England for more sunshine Sunday Thursday  Mostly sunny with highs in the upper 60s to lower 70s and a sea breeze after 2 p m Thursday night  Partly cloudy with some late night fog  Lows in the 40s Friday  Mostly cloudy and cooler  Highs in the 50s and a chance of a few showers  Breeze in the afternoon Saturday  Chance of showers in the morning  Some breaks of sunshine with a risk of afternoon showers  Highs in the lower and mid 70s Sunday  Becoming mostly sunny and warm  Highs of 71 to 77 Monday  Partly sunny and warm  Highs in the 70s  Cooler along the coast Follow updates from David Epstein on Twitter  growingwisdom 
34,A six alarm fire caused extensive damage to a Cambridge apartment building  but authorities say all the residents escaped unharmed The fire on Massachusetts Avenue was reported just after midnight Thursday Fire Chief Gerald Reardon says it appears as if the blaze started in the basement of the six floor building but quickly moved floor to floor up a utility shaft  making it difficult to battle The older 57 unit building did not have a sprinkler system Reardon says 125 firefighters responded  and some suffered minor injuries The cause remains under investigation 
35,The cold period of weather is going to continue through the weekend and into next week as a northwest flow of air keeps the region in the deep freeze through Wednesday The big storm that potentially threatened the area will stay far enough off our coast to only bring clouds and a chance of a few flurries or snow shower Sunday afternoon and evening  Some of you may not even see a flake Even colder air will filter into the region behind the storm  Temperatures will average nearly 10 degrees below normal Monday and Tuesday   Late next week  another storm threatens the area with rain or snow  The timing of this system will be important as Friday begins school vacation week for many Friday  Mostly sunny with a cold breeze making it feel even colder   Highs 27 31 Friday night  Mostly clear and very cold  Lows 0 10 and 15 on Nantucket Saturday  Sunshine to start the day with clouds to finish  Highs in the upper 20s Saturday night  Lots of clouds  but dry  Lows in the teens Sunday  Cloudy with a slight chance of afternoon flurries or snow showers  Highs in the upper 20s Sunday night  Any snow showers end  followed by clearing by morning  Lows 12 17 Monday  Mostly sunny and cold  Highs in the mid to upper 20s Follow updates from David Epstein on Twitter  growingwisdom 
36,The nor easter that brought several inches of rain to the region is slowly relaxing its grip  but isn t quite done yet  There are still showers around that will likely continue to be a threat Friday morning  As the storm pulls further away  the chance of rain will diminish  and skies will finally begin to clear overnight There is good news from this storm  Our fall drought is basically over  The ground is saturated  and the plants will be in great shape heading into winter The weekend is looking great with abundant sunshine both days  Temperatures will be near 60 on Saturday but a few degrees cooler on Sunday  hanging around temperatures in the 50s  I expect this to be a great weekend to be outside  rake leaves  go to a football game or pick apples A powerful nor easter is pulling away as high pressure follows and brings drier Canadian air into the region  This high will remain in control much of next week with a warming trend Friday   A chance of showers  mostly in the morning  Cool  Highs in the mid 50s Friday night  Mostly cloudy and chilly  Lows in the mid 40s Saturday  Lots of sunshine  a bit breezy but mild  Highs in the lower 60s Sunday  Mostly sunny  with a high in the mid 50s Monday  Sunny  with a high in the upper 50s Tuesday  Sunny  with a high between 60 65 degrees You can follow David’s weather updates on Twitter at  growingwisdom 
37,The cost of a gallon of gas in Massachusetts has crept up by a penny since last week AAA Southern New England reports Monday that self serve  regular is now selling for an average of $3 52 per gallon That s a penny below the national average and 11 cents lower than at the same time last year  but still 6 cents higher per gallon than a month ago AAA found self serve  regular selling for as low as $3 41 to as high as $3 69 per gallon 
38,Health officials and clinicians from around the state meet in Boston Friday to find ways to curb opioid crisis and the abuse of prescription pain medications Dr  Daniel Alford  of the Boston Unviersity Medical School  says prescribers must be more careful with patients receiving opioids Last spring  Gov  Deval Patrick declared a public health emergency in response to the opioid crisis 
39,Jack Fultz  winner of the 1976 Boston Marathon  now teaches sports psychology at Tufts University  He joined WBUR’s Morning Edition to explain what it feels like to approach the finish line 
40,The price of a gallon of gasoline in Massachusetts has dipped another penny to an average of $3 38 AAA Southern New England reports Monday that self serve  regular is now 6 cents per gallon lower than a month ago and 9 cents lower than a year ago The in state price  however  remains 4 cents higher than the national per gallon average AAA found self serve  regular for as low as $3 21 and as high as $3 69 per gallon 
41,In a summer that hasn t seen much in the way of hot weather  the next two days will bring some of the warmest  Our highs will approach 90 Tuesday and Wednesday — with the best chance for Boston to hit 90 for the fifth time this summer being Wednesday As a cold front pushes through the area late Wednesday afternoon  a thunderstorm could pop up for a brief time — though the risk is small and the window for them to occur will be short  The air will be humid and with the high temperatures it s going to be a wonderful beach day Thursday brings a return to the drier and more comfortable air  Highs will reach near 80  but with much less humidity  especially in the afternoon  A great night of cool sleeping weather follows and then leads us to a pair of cooler days Friday and Saturday  with highs in the 70s There is some risk of shower activity on Sunday  but this should not linger into Monday  That day is looking nice Cristobal continues to remain well offshore and while it may bring some larger swells to our coastline late this week  that would be the only impact to the area Tuesday  Lots of sunshine and very warm  Highs 85 to 90 Tuesday night  Clear and rather warm  Lows in the mid 60s  Cooler in some of the valleys Wednesday  Sunny  hot and somewhat humid  A thunderstorm possible in the afternoon  Highs around 90  cooler at the beaches Thursday  Sunny  drier and cooler  Highs near 80 Friday  Sunny and pleasant  Highs in the mid 70s Saturday  Mostly sunny  with a high in the upper 70s You can follow David’s weather updates on Twitter at  growingwisdom 
42,Police say a 22 year old Southbridge woman has died in an early morning a rollover crash in Sturbridge Authorities say the car driven by Christina Mageau hit a drainage culvert and flipped over at about 1 a m  Friday She was taken to Harrington Hospital in Southbridge where she was pronounced dead Police tell The Telegram  amp  Gazette that her husband  25 year old Alex Mageau  was hospitalized with injuries that are not thought to be life threatening The accident remains under investigation 
43,  Story  A New Era  Walsh Sworn In As Boston Mayor
44,The price of a gallon of gasoline in Massachusetts has inched up by a penny for the second consecutive week AAA Southern New England reports Monday that a gallon of self serve  regular is up to an average of $5 53 per gallon That s 11 cents lower than the national average and 6 cents lower than the in state price at the same time last year  but 2 cents higher than a month ago AAA found self serve  regular selling for as low as $3 39 per gallon and as high as $3 75 
45,A blustery and cold afternoon is on tap for the Bay State with lots of clouds and just the chance of a light shower or two  Temperatures will be under 50 for most areas  Any showers that do occur will end Friday evening  and then skies will clear  The moon will light up the countryside later Friday night as clouds depart  The air will be chilly and by Saturday morning  another frost or freeze is likely to spread over areas away from the water Saturday is the brightest day of the weekend  It s going to be chilly  and if you are headed to an outdoor event or just taking a walk  be sure to dress warmly Sunday brings a few more clouds  but it also carries an increase in temperatures  It won t be warm  but it will be slightly less chilly A weak system crosses the area Sunday night without any precipitation  Monday and Tuesday are nice days with sunshine and a few clouds with seasonable temperatures A change in the pattern will take place the second half of next week  How this change happens is still in question  Regardless  you can expect some of the coldest air this autumn to arrive before next weekend Friday   Blustery and chilly  Highs 45 50 with a possible quick shower Friday night  Breezy and chilly with clearing skies  Lows 30 36 Saturday  Sunny  with a highs in the mid 40s Sunday  Partly sunny  high around 50 Monday  Mostly sunny  with a high in the lower 50s Tuesday  Mostly sunny  with a high in the lower 50s You can follow David’s weather updates on Twitter at  growingwisdom 
46,A bright and sunny morning will lead to a typical late January afternoon  Temperatures will still remain below freezing today  but  with barely any wind  it won’t feel very cold in the sunshine Clouds move back into the area on Friday  with temperatures finally rising to and above the melting point  Highs should reach the mid to upper 30s by 1 or 2 p m  on Friday  There isn’t much snow left on the ground in most places  but some of it will melt Friday The clouds will remain this weekend  and there could be a few quick rain or snow showers Saturday  Highs will once again reach into the 30s On Sunday  expect to see a few breaks of sunshine through a thick deck of clouds  With a southwest breeze  temperatures will reach the highest levels since last Monday  when we hit the 40s for a few hours  The weather will be similar in the New York New Jersey area  and couldn’t be much better this time of year for an outdoor game The work week starts with dry weather and no arctic air  This will be a tranquil period that could lead into stormier weather in the middle of the week The details on a storm sometime around next Wednesday are not clear  Most of our models are indicating some storm development next week  the details of which won’t be known until late in the weekend  These things often change multiple times before they happen  so just keep in mind that something might be happening next Wednesday Thursday  Sunny  with a high in the mid to upper 20s  Very light winds Thursday night  Increasing clouds  with a low in the low 20s Friday  A lot of clouds and a quick afternoon snow or rain shower  Highs in the mid to upper 30s Friday night  Mostly cloudy and not very cold  Lows 25 to 30 Saturday  Milder with a lot of clouds and a passing rain or snow shower  Highs in the upper 30s to low 40s Saturday night  A chance of some light rain or snow before midnight  Cloudy with a low around 30 Sunday  Mostly cloudy  with temperatures in the lower 40s  except for 30s in Worcester Hills Sunday night  Mostly cloudy  with a low around 22 Monday  Partly sunny  with a high near 34 Follow updates from David Epstein on Twitter  growingwisdom 
47,Cold arctic air moved into the area overnight  That means another very cold day with highs far below what you would expect so close to spring Winds are going to be very busy this morning  so if you are waiting outside for a bus or working outside today  be sure to dress for mid winter condition  Highs will remain well below freezing all day  and with the morning winds  it will feel below zero at times Dry weather continues overnight  but will not be as cold  Some interior areas will be in the single numbers  but along the coast it will be in the teens  Highs on Friday will rebound quite a bit with a blend of clouds and sunshine  Most area will be several degrees above freezing  and it will feel quite nice in the sun during the afternoon Saturday brings a taste of spring as highs reach well into the 40s for a couple of hours in the afternoon  It won t be as warm Sunday as a front pushes through and knocks temperatures back to the 30s Next week will see temperatures averaging closer to normal with a chance of storminess towards the end of the week The overall pattern remains cold  and although we will see a day or two that feel like spring  the cold weather is going to continue at least through the third week of the month and perhaps even through month s end Thursday  Sunny  High in the mid 20s  Winds strongest this morning  but becoming light this afternoon Thursday night  Clear  Low 7 in the colder spots to 14 in Boston Friday  Sunny  not as cold  Highs 35 to 40 Saturday  Mostly sunny  with a high in the lower to mid 40s Saturday night  Partly cloudy with late night snow showers Sunday  Mostly sunny  and colder again  Highs 33 to 37 Monday  Partly sunny  and seasonable  Highs 37 to 41 You can follow David s weather updates on Twitter at  growingwisdom 
48,Nice weather will be scarce the next couple of days with clouds and a period of rain  some of it quite steady Wednesday afternoon and night  For today the story is an easterly flow of air off the ocean providing clouds and cool temperatures  Highs will not exceed 50 along the coast and barely crack that number inland  The winds will be strong at times making for a very raw day Tonight cloudy skies continue with lows around 40  Tomorrow a storm system lifts through the Great Lakes and it will push a frontal system eastward to the East Coast  This weather system is the same one which has brought severe weather to the country the past several days Rain will begin in the morning  It appears the commute into work will be mostly dry or with just a few light showers  However  by the time you head home Wednesday evening it will be quite wet with a steady rain  The heaviest rain moves through in the early morning hours of Thursday and then ends  Most of the rain will be over by the commute to work on Thursday Nice weather finally returns just in time for the weekend with sunshine on Friday and mild air  Highs will rebound into the 60s and remain their throughout much of the weekend   Saturday is the best day of the two  with a few clouds and perhaps some shower activity at some point later in the weekend  but this could change by then Tuesday  Cool with mostly cloudy skies  A brisk east wind will keep temperatures in the mid to upper 40s Tuesday night  Mostly cloudy with a low around 40 and an east wind of 6 to 10 mph Wednesday  Rain overspreading the area later in the morning and early afternoon  Highs in the 40s Thursday  Rain ends in the morning  It will become milder with highs in the low to mid 60s Friday  Mostly sunny and pleasant with highs of 61 to 66 Saturday  Partly sunny and seasonable  Highs of 60 to 65 Follow updates from David Epstein on Twitter  growingwisdom 
49,The first full week of August will be somewhat unsettled but no day will have more than a couple of hours of rain and there won’t be any major heat Tropical storm Bertha continues to move northward this morning parallel to the southeast coast but remains far enough offshore to only pose a problem to fisherman and shipping  The storm could still become a hurricane later this week and provide some nice waves to our coastline but that would be toward Wednesday Our weather is controlled this morning by a light flow of moist and warm air  This air mass is unstable enough so clouds will be in the forecast the next few days along with a risk of showers  Most of us stay dry today and Tuesday with the highest risk of rain on Wednesday I left showers in the forecast today and tomorrow because there is a risk of them  If you see a shower it could leave some big puddles as any storms that form will move slowly  In these situations half of a town can see a downpour while the other side of the same municipality is dry The showers become more widespread for a few hours Wednesday before the risk lowers again for the end of the week  Humidity will be noticeable the first half of this week and then fall to a more comfortable range at the end of the work week There is still no big heat in sight Monday  A blend of clouds and sunshine  There is still the risk of a shower or thunderstorm but most of the time and most areas are dry  Highs near 80  70s on Cape Islands  Monday night  Partly cloudy and any evening showers end  Lows in the 60s with a bit of mugginess to the air Tuesday  Partly sunny and warm  Highs in the low to mid 80s  Still the risk of thunderstorm Wednesday  Sunshine  clouds and warm  Highs near 80  A higher chance of a few showers and storms Thursday  Partly sunny and pleasant  Highs in the upper 70s to near 80 Friday  Mostly sunny with a high near 80 Follow updates from David Epstein on Twitter  growingwisdom 
50,Wow  did you love the weather this weekend  It was quite amazing to have two cloudless days with summer like warmth and light winds  Today begins the slow transition back to reality  It s still going to be warm  about average for the time of year  this afternoon  Highs will be in the mid 70s  but you will notice more clouds  and late in the day the wind will start coming off the water  Our wind shifts from a warm southwest flow to a cool northeast one  marking the end of the above normal readings As the flow continues overnight  a few showers could cross the area  but I am not expecting enough rain to do anything to the drought — if rain even occurs at all The next couple of days thereafter will be cool and somewhat cloudy  There could be some spotty drizzle  but also breaks of sunshine periodically  Highs will be just over 20 degrees cooler on Tuesday than we saw yesterday  While some of you might have been tempted to put on the air conditioning this weekend  you ll be on the edge of putting on the heat by Wednesday morning It appears that most of the significant rain will again only skirt the region this week  After Tuesday our next chance of any measurable rainfall comes late in the week or at the start of the weekend  My confidence is low on whether we do get any rain  but I can guarantee you this  next weekend won t be anything like the one that just finished Monday  A blend of clouds and sunshine  Still warm with highs in the mid 70s Monday night  Turning cooler and becoming cloudy  Lows in the mid 50s Tuesday  A few morning showers  Otherwise lots of clouds and noticeably cooler  Highs of 61 to 66 Wednesday  Lots of clouds  Highs in the mid 60s Thursday  A blend of clouds and sunshine  Highs in the lower 60s at the shore  mid 60s well inland  Friday  Mostly sunny and seasonable  Highs in the mid 60s You can follow David’s weather updates on Twitter at  growingwisdom 
51,The price of a gallon of gasoline in Massachusetts has dropped another 2 cents  but still lags behind the national average AAA Southern New England reports Monday that self serve  regular is now selling for an average of $3 43 per gallon  which is 4 cents more than the national average Still  Bay State prices are 4 cents lower than they were a month ago and 15 cents lower than at the same time last year AAA found self serve  regular selling for as low as $3 26 per gallon to as high as $3 79 
52,This wasn’t forecast to be a good week of weather  and it’s still looking that way  There are showers in the forecast much of the rest of the week with tomorrow the only exception  Showers this time of year usually don’t bring a washout to the area and are highly variable as to which city or town sees them The reason you see showers in the forecast is because there is a chance of them  but in reality most of the time is dry this week  The best chance for rain will be later this afternoon and evening and then again Friday This morning we find a lot of clouds around and it’s rather muggy  This air is only going to be here temporarily as a front from the ocean brings a cool but drier air mass to the area tomorrow  Along the immediate coastline on Wednesday temperatures will likely not exceed 70  but inland areas will reach the lower 70s  There will be a blend of clouds and sunshine and overall it will be a nice day Another low pressure area and frontal complex approaches for Thursday and Friday with more showers  The timing is looking like Thursday morning is dry with an increasing chance of showers later in the day continuing into Friday morning   Depending on how quickly the system exits will determine if Friday evening and Saturday morning are nice Sunday appears to be the best day of the upcoming weekend Tuesday  Lots of clouds and mostly dry  A bit muggy with a few scattered showers late morning and afternoon  Highs of 74 to 79 Tuesday night  A period of showers and possible thunderstorms for the first part of the night  then turning cloudy  Lows of 55 to 60 Wednesday  A blend of clouds and sunshine  Cool at the coast  Highs of 65 to 74 Thursday  Mostly cloudy with a chance of  a few showers and highs in the lower 70s Friday  A period of showers  mostly in the first part of the day  Highs of 70 to 75 Saturday  Partly sunny and warmer  Highs in the mid to upper 70s Sunday  Mostly sunny with highs of 75 to 80 Follow updates from David Epstein on Twitter  growingwisdom 
53,A rather summer like night gave us the opportunity to enjoy sleeping with the windows open  listen to the sounds of summer and not use the heat Tuesday evening Wednesday brings another very warm day for the middle of October with highs between 75 and 80 Wednesday afternoon  There will be some breaks of sunshine  but also periods when it is completely overcast  I am not expecting any shower or rain activity  as that remains well to the west of New England Wednesday night continues warm and somewhat muggy with a slight chance of a shower towards dawn While there could be some scattered showers Thursday morning  it’s really the homebound commute and during the Patriots games when the rain chance increases  Some of the rain could be quite heavy and accompanied by thunder with gusty winds  It will remain warm and muggy all day with highs in the 70s Friday morning brings an end to the showers and a return to sunshine  It’s going to continue to be quite warm with highs once again near 70  The humidity will be gone and winds will be a bit brisk  but overall  it’s going to be a great day Saturday is generally dry although there is a slight chance of a pop up shower late in the day  Most of the day will be sunny and warm  with highs near 70  Sunday is much colder with highs only in the mid 50s  If you are headed to the Head of the Charles Regatta this weekend you’ll want to dress for the warmth on Saturday and the chill on Sunday Wednesday  Breeze and warm with clouds and a few periods of sunshine  Highs 75 80 Wednesday night  Cloudy and mild  Lows in the mid 60s Thursday  Cloudy and muggy  Showers becoming more numerous late in the afternoon   Highs in the lower 70s  Heavy rain overnight Friday  Mostly sunny and pleasant  Highs 70 74 Saturday  Mostly sunny  slight risk of a pop up shower late in the day  Highs near 70 Sunday  Mostly sunny  though cooler with highs in the mid 50s Follow updates from David Epstein on Twitter  growingwisdom 
54,Clouds gave way to sunshine for some areas of the region Tuesday and the afternoon turned out a lot nicer than expected  However  heavy rain will spread throughout the area from the northeast Wednesday  becoming heavier and steadier as the day goes on While rain will be limited for the morning  the evening commute looks wet  and the later you leave the wetter it should be Tonight brings the core of the rainstorm  Rain will be steady overnight without any real break in the action  If you are traveling overnight expect roads to be wet The rain will be heavy at times Wednesday night into Thursday morning with a widespread 1 to 3 inches of rainfall  The heaviest rain will likely fall northeast of Boston with Essex County having the greatest potential to reach 3 inches of rain There is an outside chance some areas will see over 3 inches  but these would be the exception The rain will taper to showers on Thursday  but we will have to wait until late Friday for clearing to take place  Friday is still cloudy  although there could be some breaks in the cloud cover by that day The weekend is looking much better with a blend of clouds and sunshine with seasonable temperatures around 60 degrees  The nice weather will continue into next week with a warming trend Wednesday  Rain overspreading the area  Some embedded showers could be heavy  Highs in the mid 50s Wednesday night  Rain  may be heavy at times  Chance of thunderstorms  Lows around 50 Thursday  Steady rain in the morning  showers in the afternoon  Highs near 60 Friday  Lots of clouds  a morning shower  Highs near 60 Saturday  Partly sunny  with a high near 60 Sunday  Mostly sunny  with a high near 60 You can follow David’s weather updates on Twitter at  growingwisdom 
55,Today begins with cold weather  but temperatures will rise a bit this afternoon  reaching the middle and upper 30s  Winds are still going to be brisk  but it won’t be as bitter as Thursday Sunshine will dominate much of today with a few clouds showing up around sunset  The clouds are the forerunner of milder air arriving overnight  There could be a quick sprinkle of rain Saturday morning  However  sunshine is going to break through the clouds and allow temperatures to reach spring like levels in the lower 50s Saturday afternoon Don’t become accustomed to the milder air as another arctic high builds south from Canada for Sunday  Temperatures Sunday will be some 15 degrees colder than the previous day  and with a wind from the northwest  it’s going to feel cold On Monday there will be a storm passing off the Mid Atlantic coastline  If this storm tracks northward  then we are going to be looking at another snowstorm  Right now  the highest probability for snow is expected to occur across the southern part of Massachusetts  but a slight shift north would bring the storm to the New Hampshire border  A shift further south will keep the storm from creating a mess on Monday Cold weather continues through the middle of the week with a moderation in temperature for the start of astronomical spring on Thursday Today  Mostly sunny  Though not as cold as past few days  still blustery  Highs in the 30s Tonight  Cloudy and milder with lows in the lower 30s  A quick shower possible before dawn Saturday  Any morning showers end  then skies become partly sunny with milder highs between 50 55 degrees Sunday  Sunny  blustery and cold again  Highs in the mid 30s Monday  Mostly cloudy  Snow possible  especially south of the Pike  Highs in the upper 20s Tuesday  Dry and continued unseasonably cold weather You can follow David s weather updates on Twitter at  growingwisdom 
56,Massachusetts motorists are getting more relief at the pump  as the cost of a gallon of gas has fallen 4 cents in the past week AAA Southern New England reports Monday that self serve  regular has dropped to an average of $3 39 per gallon  a nickel higher than the national average Massachusetts prices are now 6 cents per gallon lower than a month ago and 14 cents lower than at this time last year AAA found self serve  regular selling for as low as $3 21 per gallon and as high as $3 79 
57,Another sign  the pope met with the Global Legislators Organization  which included representatives from a half dozen countries  including Mexico  the United Kingdom and Italy  and where the environment was again on the agenda Representing the U S  in that meeting was Massachusetts U S  Sen  Ed Markey  who joined WBUR s Morning Edition to explain why he thinks the pope can spur real action This segment aired on May 29  2014 
