Dist Code,Impacted G,Proporti 1,Proportion,REP,Rep Dist,Rep First,Rep Last,Rep Party,Route Ids,Stop Id,Stop Name,Town,URL,Geometry,Geometry (HOUSE2012 POLY.shp),Impacted P,Income,Income Lev,Repdistnum,Shape Area,Shape Len
SUFF13,"25021416400,25021417200,25025100800,25025100601,25025100700,25025100603","0.01,0.03,0.03,0.02,0.56,0.22","0.00,0.02,0.03,0.08,0.95,0.50",Daniel J. Hunt (D),13th Suffolk,Daniel J.,Hunt,(D),201,33076,Gallivan Blvd @ Hallet St,BOSTON,http://malegislature.gov/Legislators/Profile/DJH1,Point,MultiPolygon,859,87301,2,136,8642595.73697,34955.033552
SUFF17,"25025000504,25025000302,25025000503,25025000602,25025000601,25025000502,25025000402,25025000401,25025000202,25025000201","0.02,0.01,0.04,0.13,0.10,0.03,0.29,0.21,0.17,0.00","0.10,0.02,0.63,0.44,0.41,0.05,0.73,1.00,0.56,0.01",Kevin G. Honan (D),17th Suffolk,Kevin G.,Honan,(D),"65,503,501",1994,Winship St @ Union St,BOSTON,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,4645,71470,2,140,4034410.10147,18768.295055
PLYM10,"25023510300,25023510200,25023510100,25023510501","0.24,0.33,0.16,0.27","0.48,0.14,0.10,0.36",Michelle M. Dubois (D),10th Plymouth,Michelle M.,Dubois,(D),230,39870,Montello Commuter Rail Station,BROCKTON,http://malegislature.gov/Legislators/Profile/MMD1,Point,Polygon,281,63884,2,121,72867046.0611,56718.458286
PLYM10,"25023510100,25021421100,25021457100,25023510501","0.56,0.37,0.06,0.00","0.36,0.10,0.01,0.00",Michelle M. Dubois (D),10th Plymouth,Michelle M.,Dubois,(D),230,3988,Howard St @ Lisa Dr,BROCKTON,http://malegislature.gov/Legislators/Profile/MMD1,Point,Polygon,133,75579,2,121,72867046.0611,56718.458286
NOR03,"25023510100,25021421100,25021457100","0.50,0.45,0.05","0.32,0.13,0.01",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3989,S Franklin St @ Howard Ave,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,139,74967,2,99,36239282.8212,58965.7664652
SUFF17,"25021400400,25021400600,25025000504,25025000503,25025000701,25025000602,25025000601,25025000502,25025000402,25025000401,25025000202","0.02,0.02,0.14,0.03,0.08,0.23,0.14,0.00,0.07,0.21,0.05","0.06,0.02,0.84,0.51,0.71,0.79,0.59,0.00,0.17,0.98,0.18",Kevin G. Honan (D),17th Suffolk,Kevin G.,Honan,(D),65,1270,Washington St @ Monastery Rd,BOSTON,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,7159,65878,2,140,4034410.10147,18768.295055
NOR03,"25023510100,25021421100,25021457100","0.49,0.46,0.05","0.32,0.13,0.01",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3987,S Franklin St @ Howard Ave,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,139,74873,2,99,36239282.8212,58965.7664652
NOR03,"25023510100,25021421100,25021457100","0.46,0.54,0.00","0.29,0.15,0.00",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3990,S Franklin St opp Hamilton Way,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,140,74612,2,99,36239282.8212,58965.7664652
NOR03,"25023510100,25021421100,25021457100","0.45,0.54,0.00","0.29,0.15,0.00",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3986,S Franklin St @ Hamilton Way,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,140,74560,2,99,36239282.8212,58965.7664652
NOR03,"25023510100,25021421100","0.41,0.59","0.27,0.17",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3991,S Franklin St @ Woodlawn Ave,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,146,74142,2,99,36239282.8212,58965.7664652
NOR03,"25023510100,25021421100","0.40,0.59","0.26,0.17",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3985,1002 S Franklin St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,143,74085,2,99,36239282.8212,58965.7664652
SUFF03,"25025010702,25025010600,25025981700,25025070700,25025070600,25025070500,25025070300,25025070200,25025070101,25025061200,25025070402,25025071201","0.00,0.01,0.01,0.01,0.02,0.09,0.16,0.13,0.14,0.15,0.13,0.12","0.01,0.04,0.07,0.15,0.31,0.58,0.97,1.00,0.28,0.16,1.00,0.60",Aaron M. Michlewitz (D),3rd Suffolk,Aaron M.,Michlewitz,(D),"11,749,751",15095,Washington St @ Herald St,BOSTON,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,8064,79808,2,126,3753014.59622,12895.468952
NOR03,"25023510100,25023520202,25021421200,25021421100","0.28,0.00,0.00,0.71","0.18,0.00,0.00,0.20",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3984,S Franklin St @ Upland St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,140,72946,2,99,36239282.8212,58965.7664652
SUFF17,"25025000504,25025000302,25025000503,25025000602,25025000601,25025000502,25025000402,25025000401,25025000202,25025000201","0.02,0.01,0.04,0.13,0.10,0.03,0.29,0.21,0.17,0.00","0.10,0.02,0.62,0.44,0.42,0.05,0.73,1.00,0.57,0.01",Kevin G. Honan (D),17th Suffolk,Kevin G.,Honan,(D),"66,503,501",994,Winship St @ Union St,BOSTON,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,4654,71470,2,140,4034410.10147,18768.295055
NOR03,"25023510100,25023520202,25021421200,25021421100","0.28,0.00,0.00,0.71","0.18,0.00,0.00,0.20",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3992,S Franklin St @ Emery St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,140,72946,2,99,36239282.8212,58965.7664652
SUFF03,"25025010600,25025981700,25025070700,25025070600,25025070500,25025070300,25025070200,25025070101,25025061200,25025070402,25025071201","0.00,0.01,0.00,0.00,0.07,0.14,0.13,0.19,0.18,0.13,0.09","0.00,0.09,0.03,0.07,0.45,0.86,1.00,0.39,0.19,1.00,0.46",Aaron M. Michlewitz (D),3rd Suffolk,Aaron M.,Michlewitz,(D),9,11481,Herald St @ Harrison Ave,BOSTON,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,7339,79150,2,126,3753014.59622,12895.468952
NOR03,"25023510100,25023520202,25021421200,25021421100","0.29,0.08,0.07,0.55","0.19,0.01,0.01,0.16",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,39941,Holbrook Ct @ Linwood Housing,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,129,74642,2,99,36239282.8212,58965.7664652
MID11,"25017373700,25017373500,25017373400,25017373100","0.00,0.77,0.15,0.07","0.00,0.46,0.26,0.08",Kay S. Khan (D),11th Middlesex,Kay S.,Khan,(D),52,8521,Centre St @ Cabot St,NEWTON,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,337,166860,3,70,20055517.4181,29596.7876429
NOR03,"25023510100,25023520202,25021421200,25021421100","0.27,0.14,0.11,0.48","0.18,0.02,0.02,0.14",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,39942,Holbrook Ct @ Linwood St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,124,75598,2,99,36239282.8212,58965.7664652
SUFF03,"25025010702,25025010600,25025981700,25025070700,25025070600,25025070500,25025070300,25025070200,25025070101,25025061200,25025070402,25025071201","0.00,0.01,0.02,0.01,0.02,0.08,0.16,0.13,0.17,0.13,0.13,0.10","0.02,0.05,0.15,0.14,0.25,0.54,0.98,1.00,0.33,0.14,1.00,0.51",Aaron M. Michlewitz (D),3rd Suffolk,Aaron M.,Michlewitz,(D),"749,751",49003,Washington St @ Herald St,BOSTON,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,7961,78363,2,126,3753014.59622,12895.468952
NOR03,"25023510100,25023520202,25021421200,25021421100","0.22,0.01,0.03,0.74","0.15,0.00,0.01,0.21",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3993,S Franklin St @ Francis St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,143,72557,2,99,36239282.8212,58965.7664652
NOR03,"25023510100,25023520202,25021421200,25021421100","0.20,0.03,0.07,0.70","0.13,0.00,0.01,0.20",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3994,S Franklin St @ Linwood St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,133,72768,2,99,36239282.8212,58965.7664652
SUFF04,"25025981202,25025061200,25025060600","0.22,0.16,0.49","0.28,0.18,0.78",David Biele (D),4th Suffolk,David,Biele,(D),"7,4",212,Summer St @ D St,BOSTON,http://malegislature.gov/Legislators/Profile/D_B1,Point,MultiPolygon,1761,101622,2,127,12716746.3024,53966.0562898
NOR03,"25023510100,25023520202,25021421200,25021421100","0.19,0.03,0.08,0.70","0.12,0.01,0.01,0.20",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3982,S Franklin St @ South St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,134,72676,2,99,36239282.8212,58965.7664652
SUFF04,"25025981202,25025070101,25025061200,25025060700,25025070402,25025060600","0.01,0.19,0.39,0.01,0.00,0.30","0.01,0.38,0.43,0.20,0.03,0.49",David Biele (D),4th Suffolk,David,Biele,(D),11,11419,A St @ Mt Washington Ave,BOSTON,http://malegislature.gov/Legislators/Profile/D_B1,Point,MultiPolygon,2902,120494,2,127,12716746.3024,53966.0562898
NOR03,"25023510100,25023520202,25021421200,25021421100","0.12,0.03,0.14,0.71","0.08,0.01,0.02,0.20",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3996,S Franklin St @ Diman Ave,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,129,72026,2,99,36239282.8212,58965.7664652
NOR03,"25023510100,25023520202,25021421200,25021421100","0.07,0.02,0.17,0.73","0.05,0.00,0.03,0.21",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3981,778 S Franklin St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,128,71374,2,99,36239282.8212,58965.7664652
MID11,"25017374700,25017368400,25017374800,25017367200","0.65,0.00,0.25,0.10","0.52,0.00,0.16,0.01",Kay S. Khan (D),11th Middlesex,Kay S.,Khan,(D),558,7830,Commonwealth Ave @ Islington St,NEWTON,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,345,125496,2,70,20055517.4181,29596.7876429
NOR06,"25021420302,25021421100,25021457100","0.06,0.02,0.92","0.02,0.01,0.16",William C. Galvin (D),6th Norfolk,William C.,Galvin,(D),"238,240",4232,E Main St @ W Main St,AVON,http://malegislature.gov/Legislators/Profile/WCG1,Point,Polygon,47,70132,2,102,79017592.8271,53881.1978763
NOR03,"25023510100,25023520202,25021421200,25021421100","0.00,0.00,0.28,0.72","0.00,0.00,0.05,0.20",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3980,716 S Franklin St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,119,70328,2,99,36239282.8212,58965.7664652
NOR03,"25023520202,25021421200,25021421100","0.00,0.29,0.71","0.00,0.05,0.20",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3997,Opp 716 S Franklin St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,119,70329,2,99,36239282.8212,58965.7664652
MID11,"25017373700,25017373500,25017373400,25017373100","0.00,0.77,0.15,0.08","0.00,0.46,0.25,0.09",Kay S. Khan (D),11th Middlesex,Kay S.,Khan,(D),52,8512,Centre St @ Sargent St,NEWTON,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,339,166116,3,70,20055517.4181,29596.7876429
MID11,"25017374700,25017368400,25017374800,25017367200","0.66,0.00,0.25,0.09","0.52,0.00,0.16,0.01",Kay S. Khan (D),11th Middlesex,Kay S.,Khan,(D),558,7827,Commonwealth Ave @ Islington St,NEWTON,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,345,125108,2,70,20055517.4181,29596.7876429
NOR06,"25021420302,25021421100,25021457100","0.10,0.05,0.85","0.04,0.01,0.15",William C. Galvin (D),6th Norfolk,William C.,Galvin,(D),"238,240",4233,E Main St @ E High St,AVON,http://malegislature.gov/Legislators/Profile/WCG1,Point,Polygon,54,70316,2,102,79017592.8271,53881.1978763
NOR03,"25021421200,25021421100","0.36,0.64","0.06,0.18",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3998,S Franklin St opp Laurel Pk,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,113,70339,2,99,36239282.8212,58965.7664652
NOR03,"25021421200,25021421100","0.37,0.63","0.06,0.18",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3979,S Franklin St @ Laurel Pk,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,113,70340,2,99,36239282.8212,58965.7664652
SUFF07,"25021400100,25025010204,25025010104,25025010103,25025000803,25017353200,25017353102,25025010408,25025010300,25025981501,25025981800,25025010203","0.30,0.13,0.03,0.13,0.01,0.00,0.01,0.00,0.09,0.04,0.04,0.13","0.69,1.00,0.21,1.00,0.02,0.00,0.03,0.15,0.36,0.08,0.08,0.70",Chynah Tyler (D),7th Suffolk,Chynah,Tyler,(D),"47,747",1775,Park Dr @ Beacon St,BOSTON,http://malegislature.gov/Legislators/Profile/C_T1,Point,Polygon,6852,60257,2,130,4570023.34856,18791.1725581
NOR06,"25021420302,25021421100,25021457100","0.16,0.08,0.76","0.07,0.02,0.13",William C. Galvin (D),6th Norfolk,William C.,Galvin,(D),"238,240",14233,Main St @ Demarco Park,AVON,http://malegislature.gov/Legislators/Profile/WCG1,Point,Polygon,69,70585,2,102,79017592.8271,53881.1978763
SUFF07,"25021400100,25025010405,25025010204,25025010104,25025010103,25025010408,25025010300,25025981501,25025981800,25025010403,25025010203","0.06,0.02,0.13,0.12,0.11,0.02,0.05,0.04,0.16,0.00,0.18","0.13,0.11,1.00,0.83,0.84,1.00,0.21,0.09,0.29,0.01,0.98",Chynah Tyler (D),7th Suffolk,Chynah,Tyler,(D),"65,8,9,22,19,60",1563,Brookline Ave @ Yawkey Way,BOSTON,http://malegislature.gov/Legislators/Profile/C_T1,Point,Polygon,7978,37868,1,130,4570023.34856,18791.1725581
NOR06,"25021420302,25021421100,25021457100","0.19,0.08,0.72","0.08,0.02,0.12",William C. Galvin (D),6th Norfolk,William C.,Galvin,(D),"238,240",4234,40 N Main St,AVON,http://malegislature.gov/Legislators/Profile/WCG1,Point,Polygon,72,70722,2,102,79017592.8271,53881.1978763
SUFF04,"25025981202,25025061200,25025060600","0.35,0.00,0.27","0.44,0.00,0.43",David Biele (D),4th Suffolk,David,Biele,(D),"742,4",31256,Northern Ave opp Harbor St,BOSTON,http://malegislature.gov/Legislators/Profile/D_B1,Point,MultiPolygon,785,60000,2,127,12716746.3024,53966.0562898
NOR06,"25021420302,25021421100,25021457100","0.20,0.08,0.71","0.08,0.02,0.12",William C. Galvin (D),6th Norfolk,William C.,Galvin,(D),"238,240",4230,47 N Main St,AVON,http://malegislature.gov/Legislators/Profile/WCG1,Point,Polygon,72,70765,2,102,79017592.8271,53881.1978763
SUFF03,"25025010702,25025010600,25025981700,25025070700,25025070600,25025070500,25025070300,25025070200,25025070101,25025061200,25025070402,25025071201","0.01,0.01,0.03,0.01,0.02,0.08,0.16,0.13,0.17,0.12,0.13,0.09","0.04,0.06,0.20,0.16,0.25,0.52,0.98,1.00,0.35,0.13,1.00,0.48",Aaron M. Michlewitz (D),3rd Suffolk,Aaron M.,Michlewitz,(D),9,148,Herald St @ Washington St,BOSTON,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,7978,78014,2,126,3753014.59622,12895.468952
NOR03,"25021421200,25021421100","0.45,0.55","0.08,0.16",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3999,S Franklin St @ Quincy St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,111,70352,2,99,36239282.8212,58965.7664652
NOR03,"25021421200,25021421100","0.46,0.54","0.08,0.15",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3978,S Franklin St opp Quincy St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,106,70353,2,99,36239282.8212,58965.7664652
SUFF17,"25025000504,25025000503,25025000701,25025000602,25025000601,25025000502,25025000402,25025000401,25025000202","0.10,0.03,0.04,0.21,0.17,0.00,0.12,0.21,0.11","0.61,0.45,0.38,0.73,0.68,0.00,0.31,1.00,0.37",Kevin G. Honan (D),17th Suffolk,Kevin G.,Honan,(D),65,1269,Washington St @ Snow St,BOSTON,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,6196,66412,2,140,4034410.10147,18768.295055
NOR07,"25021420302,25021421100,25021457100","0.32,0.10,0.58","0.13,0.03,0.10",William J. Driscoll (D),7th Norfolk,William J.,Driscoll,(D),"238,240",4229,N Main St @ Langley Rd,RANDOLPH,http://malegislature.gov/Legislators/Profile/WJD1,Point,Polygon,96,71277,2,103,47436712.8531,60203.4613137
SUFF03,"25025010702,25025010600,25025981700,25025070700,25025070600,25025070500,25025070300,25025070200,25025070101,25025061200,25025070402,25025071201","0.07,0.06,0.04,0.07,0.05,0.11,0.17,0.13,0.04,0.01,0.13,0.11","0.48,0.37,0.26,0.87,0.75,0.76,1.00,0.96,0.09,0.01,1.00,0.54",Aaron M. Michlewitz (D),3rd Suffolk,Aaron M.,Michlewitz,(D),43,168,Tremont St @ Appleton St,BOSTON,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,9752,81141,2,126,3753014.59622,12895.468952
SUFF17,"25025000504,25025000503,25025000701,25025000602,25025000601,25025000502,25025000402,25025000401,25025000202","0.10,0.03,0.04,0.21,0.17,0.00,0.13,0.21,0.11","0.59,0.44,0.36,0.73,0.68,0.00,0.32,1.00,0.38",Kevin G. Honan (D),17th Suffolk,Kevin G.,Honan,(D),65,1299,Washington St opp Snow St,BOSTON,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,6129,66527,2,140,4034410.10147,18768.295055
NOR07,"25021420302,25021421100,25021457100","0.34,0.10,0.55","0.14,0.03,0.10",William J. Driscoll (D),7th Norfolk,William J.,Driscoll,(D),"238,240",4235,S Main St @ Acorn Dr,RANDOLPH,http://malegislature.gov/Legislators/Profile/WJD1,Point,Polygon,100,71377,2,103,47436712.8531,60203.4613137
NOR03,"25021421200,25021421100","0.52,0.47","0.09,0.13",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,3977,549 S Franklin St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,100,70363,2,99,36239282.8212,58965.7664652
MID11,"25017374700,25017374600,25017374500,25017374400,25017374800","0.08,0.28,0.28,0.34,0.03","0.06,0.34,0.31,0.16,0.02",Kay S. Khan (D),11th Middlesex,Kay S.,Khan,(D),"554,553",7623,Washington St @ Shaw St,NEWTON,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,351,146337,3,70,20055517.4181,29596.7876429
SUFF10,"25025130100,25017374000,25017373900","0.68,0.03,0.30","0.31,0.01,0.14",Edward F. Coppinger (D),10th Suffolk,Edward F.,Coppinger,(D),37,61839,St Joseph Cemetery,BOSTON,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,285,121818,2,133,23225083.8591,30760.3994202
NOR03,"25021421200,25021421100","0.52,0.47","0.09,0.13",Ronald Mariano (D),3rd Norfolk,Ronald,Mariano,(D),230,4000,Opp 549 S Franklin St,HOLBROOK,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,100,70363,2,99,36239282.8212,58965.7664652
SUFF07,"25021400100,25025010405,25025010204,25025010104,25025010103,25025010408,25025010300,25025981501,25025981800,25025010403,25025010203","0.05,0.02,0.13,0.12,0.11,0.02,0.05,0.04,0.15,0.00,0.18","0.12,0.11,1.00,0.86,0.84,1.00,0.18,0.09,0.29,0.04,0.99",Chynah Tyler (D),7th Suffolk,Chynah,Tyler,(D),"65,8,57,19,60",1518,Brookline Ave opp Yawkey Way,BOSTON,http://malegislature.gov/Legislators/Profile/C_T1,Point,Polygon,8025,37482,1,130,4570023.34856,18791.1725581
SUFF11,"25025120201,25025120104,25025110607,25025110401,25025110103,25025110301,25025981100,25025981000","0.03,0.02,0.01,0.02,0.42,0.07,0.20,0.25","0.07,0.12,0.01,0.08,0.91,0.16,0.15,0.44",Elizabeth A. Malia (D),11th Suffolk,Elizabeth A.,Malia,(D),"32,33",76479,Hyde Park Ave @ Walk Hill St,BOSTON,http://malegislature.gov/Legislators/Profile/EAM1,Point,Polygon,1637,53849,2,134,9548119.27484,22506.5331267
SUFF04,"25025981202,25025061200,25025060600","0.33,0.00,0.28","0.42,0.00,0.45",David Biele (D),4th Suffolk,David,Biele,(D),"742,4",247,Northern Ave @ Harbor St,BOSTON,http://malegislature.gov/Legislators/Profile/D_B1,Point,MultiPolygon,819,63242,2,127,12716746.3024,53966.0562898
NOR07,"25021420302,25021421100,25021457100","0.39,0.10,0.50","0.16,0.03,0.09",William J. Driscoll (D),7th Norfolk,William J.,Driscoll,(D),"238,240",4236,702 S Main St,RANDOLPH,http://malegislature.gov/Legislators/Profile/WJD1,Point,Polygon,107,71593,2,103,47436712.8531,60203.4613137
SUFF17,"25025000302,25025000503,25025000602,25025000601,25025000502,25025000402,25025000401,25025000202,25025000201","0.03,0.01,0.10,0.11,0.02,0.30,0.19,0.22,0.03","0.09,0.21,0.33,0.44,0.03,0.75,0.91,0.75,0.09",Kevin G. Honan (D),17th Suffolk,Kevin G.,Honan,(D),"86,51",1085,Chestnut Hill Ave @ Academy Hill Rd,BOSTON,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,4065,74514,2,140,4034410.10147,18768.295055
