(b) EIN,(d) Amount of cash grant,(h) Purpose of grant or assistance
53-0196605,"32,090",Disaster  Relief
53-0196605,"25,223",Operating  Support/Annual Fund
04-2665867,"75,750",Operating  Support/Annual Fund
59-1768923,"15,000",Operating  Support/Annual Fund
53-0184647,"100,000",Operating  Support/Annual Fund
42-1450291,"10,261",Operating  Support/Annual Fund
52-0851555,"5,800",Operating  Support/Annual Fund
27-0837989,"10,000",Emergency  Support
94-2681680,"6,000",Operating  Support/Annual Fund
53-0196605,"32,090",Disaster  Relief
53-0196605,"25,223",Operating  Support/Annual Fund
04-2665867,"75,750",Operating  Support/Annual Fund
59-1768923,"15,000",Operating  Support/Annual Fund
53-0184647,"100,000",Operating  Support/Annual Fund
42-1450291,"10,261",Operating  Support/Annual Fund
52-0851555,"5,800",Operating  Support/Annual Fund
27-0837989,"10,000",Emergency  Support
94-2681680,"6,000",Operating  Support/Annual Fund
04-2103714,"14,728",Operating  Support/Annual Fund
47-3202155,"10,000",Operating  Support/Annual Fund
04-2135762,"24,432",Operating  Support/Annual Fund
46-3797140,"25,000",Operating  Support/Annual Fund
13-1818723,"66,000",Operating  Support/Annual Fund
04-6001677,"138,500",Operating  Support/Annual Fund
22-2804764,"25,000",Scholarship
45-5622649,"45,000",Operating  Support/Annual Fund
04-2534041,"52,838",Operating  Support/Annual Fund
27-3380121,"15,000",Arts
04-2147961,"20,000",Capital  Campaign
04-2147961,500,Civic  Engagement
04-2147961,"5,278",Operating  Support/Annual Fund
20-1911778,"12,500",Operating  Support/Annual Fund
04-3289544,"133,250",Operating  Support/Annual Fund
04-2458501,"7,500",Operating  Support/Annual Fund
04-3138434,"24,133",Operating  Support/Annual Fund
26-3873642,"50,000",Operating  Support/Annual Fund
45-3209966,"6,381",Operating  Support/Annual Fund
22-3217131,"35,000",Arts
04-2563054,"50,000",Arts
84-1372268,"7,000",Operating  Support/Annual Fund
36-2957357,"17,000",Scholarship
13-3234632,"105,000",Operating  Support/Annual Fund
04-2476258,"23,000",Operating  Support/Annual Fund
04-2103907,0,Community  Development
04-2707980,"5,750",Arts
04-2707980,"9,000",Civic  Engagement
84-0746671,"125,000",Operating  Support/Annual Fund
04-2457605,"25,000",Youth  Development
04-2900822,"328,500",Operating  Support/Annual Fund
68-0569858,"23,000",Operating  Support/Annual Fund
14-1260763,"50,000",Operating  Support/Annual Fund
45-4316117,"15,000",Operating  Support/Annual Fund
47-2230168,"7,500",Human  Services
81-2119468,"7,500",Civic  Engagement
04-3182053,"100,000",Operating  Support/Annual Fund
04-2103544,"151,000",Operating  Support/Annual Fund
46-4503539,"30,550",Operating  Support/Annual Fund
04-2785336,"56,350",Operating  Support/Annual Fund
04-2785336,"36,000",Youth  Development
13-3165181,"10,000",Operating  Support/Annual Fund
04-2773619,"21,950",Arts
04-2773619,500,Operating  Support/Annual Fund
81-2970737,"26,000",Arts
81-2970737,"12,000",Operating  Support/Annual Fund
04-2103861,"25,000",Capital  Campaign
04-6010342,"1,626,272",Operating  Support/Annual Fund
46-2584139,"33,800",Health  Care
14-1713034,"40,250",Operating  Support/Annual Fund
13-1628149,"62,750",Operating  Support/Annual Fund
04-3338308,"15,000",Operating  Support/Annual Fund
59-1956939,"7,500",Capital  Campaign
04-2518575,"52,803",Operating  Support/Annual Fund
73-1710051,"52,550",Operating  Support/Annual Fund
04-2295394,"5,800",Operating  Support/Annual Fund
26-1914515,"115,000",Education
04-2103870,"26,000",Operating  Support/Annual Fund
04-3289533,"80,000",Education
04-2103576,"5,000",Capital  Campaign
04-2103576,"66,000",Operating  Support/Annual Fund
04-2300472,"237,125",Operating  Support/Annual Fund
04-2300472,"6,000",Scholarship
04-2261031,"9,567",Operating  Support/Annual Fund
52-1614576,"8,000",Operating  Support/Annual Fund
22-2667354,"31,925",Operating  Support/Annual Fund
04-2103881,"31,000",Medical  Research
04-2103881,"263,250",Operating  Support/Annual Fund
04-3020117,250,Operating  Support/Annual Fund
04-3020117,"5,000",Religious
02-0366874,"50,000",Operating  Support/Annual Fund
47-1015198,"20,000",Operating  Support/Annual Fund
91-2170071,"10,000",Operating  Support/Annual Fund
45-0648718,"20,000",Operating  Support/Annual Fund
04-2074462,"403,000",Fund
05-0485883,"100,000",Operating  Support/Annual Fund
04-2150651,"33,000",Operating  Support/Annual Fund
01-6006001,"50,250",Operating  Support/Annual Fund
04-3138753,"1,000",Operating  Support/Annual Fund
04-3138753,"20,000",Youth  Development
03-0455080,"25,000",Conservation
46-4951690,"27,500",Economic  Development
46-4951690,"4,500",Civic  Engagement
04-3499852,"10,000",Health  Care
04-3499852,"25,000",Human  Services
04-3499852,"33,500",Operating  Support/Annual Fund
04-3499852,"2,500",Religious
04-3585445,"100,000",Operating  Support/Annual Fund
22-2370485,"7,500",Operating  Support/Annual Fund
56-2423180,"17,500",Operating  Support/Annual Fund
26-1441650,"10,000",Operating  Support/Annual Fund
11-3693712,"7,500",Youth  Development
46-4822598,"15,000",Emergency  Support
22-2526244,"9,500",Civic  Engagement
22-2526244,"55,000",Housing  and  Shelter
20-1308560,"160,000",Education
20-1308560,"105,000",Operating  Support/Annual Fund
04-2785336,"5,000",Human  Services
04-2974983,"30,000",Human  Services
04-2974983,"7,250",Operating  Support/Annual Fund
04-3454898,"10,000",Education
04-3454898,"39,750",Operating  Support/Annual Fund
04-2312734,"23,000",Arts
04-2312734,"3,269,028",Operating  Support/Annual Fund
04-6111344,"21,959",Operating  Support/Annual Fund
26-2260622,"8,000",Operating  Support/Annual Fund
04-3174933,"77,000",Operating  Support/Annual Fund
65-1188279,"68,000",Operating  Support/Annual Fund
23-7209691,"7,500",Arts
23-7209691,"5,000",Capital  Campaign
23-7209691,"49,579",Human  Services
23-7209691,"25,850",Operating  Support/Annual Fund
23-7209691,"10,000",Youth  Development
82-5139472,"7,500",Operating  Support/Annual Fund
04-2103899,"2,500",Operating  Support/Annual Fund
04-2103899,"5,000",Scholarship
04-2103545,"54,000",Operating  Support/Annual Fund
06-1503911,"65,000",Capital  Campaign
06-1503911,"52,500",Operating  Support/Annual Fund
04-3064755,"36,000",Arts
04-3064755,"72,350",Operating  Support/Annual Fund
59-3789722,"339,108",Operating  Support/Annual Fund
22-2514422,"40,981",Operating  Support/Annual Fund
20-0917822,"35,000",Economic  Development
20-0917822,500,Operating  Support/Annual Fund
22-2514422,"278,900",Education
04-2731195,"23,500",Operating  Support/Annual Fund
04-3268863,"5,000",Capital  Campaign
04-3268863,"261,750",Operating  Support/Annual Fund
04-3160480,"65,000",Community  Health
04-3160480,"15,000",Housing  and  Shelter
04-3160480,"412,100",Operating  Support/Annual Fund
82-3215739,"20,000",Education
82-3215739,"1,050",Operating  Support/Annual Fund
31-1750843,"85,000",Arts
31-1750843,"37,700",Operating  Support/Annual Fund
04-6035973,"13,250",Operating  Support/Annual Fund
04-6035973,"1,000",Scholarship
04-2469627,"70,000",Endowment
04-2469627,"118,843",Operating  Support/Annual Fund
04-3314093,"125,000",Capital  Campaign
04-3314093,"65,000",Community  Health
04-3314093,"25,000",Disaster  Relief
04-3314093,"30,000",Health  Care
04-3314093,"20,000",Immigrant  and  Refugee Support
04-3314093,"50,000",Medical  Research
04-3314093,"307,000",Operating  Support/Annual Fund
22-2673755,"10,500",Operating  Support/Annual Fund
81-3213571,"1,656,538",Operating  Support/Annual Fund
04-2676661,"75,000",Economic  Development
04-2676661,"302,067",Education
04-3395307,"7,500",Operating  Support/Annual Fund
04-3150560,"100,000",Education
04-3150560,"265,000",Operating  Support/Annual Fund
04-2104726,"5,600",Operating  Support/Annual Fund
47-3093274,"225,000",Operating  Support/Annual Fund
04-2103550,"300,000",Endowment
04-2103550,"654,332",Operating  Support/Annual Fund
04-3580876,"10,000",Capital  Campaign
04-3580876,"6,500",Operating  Support/Annual Fund
27-4099031,"10,000",Operating  Support/Annual Fund
04-2790069,"39,250",Operating  Support/Annual Fund
04-2103906,"31,547",Operating  Support/Annual Fund
04-3351427,"585,237",Education
04-3351427,"100,000",Operating  Support/Annual Fund
13-4037622,"20,000",Operating  Support/Annual Fund
01-0215213,"75,000",Operating  Support/Annual Fund
01-0215213,"200,000",Scholarship
95-1641425,"15,000",Operating  Support/Annual Fund
77-0390117,"10,000",Operating  Support/Annual Fund
99-6005407,"10,000",Operating  Support/Annual Fund
04-2103922,"125,000",Human  Services
04-2103922,"527,000",Operating  Support/Annual Fund
04-2103922,500,Scholarship
04-2103922,"17,500",Youth  Development
23-7076465,"5,000",Operating  Support/Annual Fund
23-7076465,"2,500",Capital  Campaign
59-3623298,"1,750",Operating  Support/Annual Fund
59-3623298,"3,500",Scholarship
81-3213571,"178,000",Education
51-0188664,"15,000",Operating  Support/Annual Fund
95-1641426,"15,000",Operating  Support/Annual Fund
04-2103552,"98,661",Operating  Support/Annual Fund
04-2103552,"10,000",Scholarship
04-3273525,"10,000",Immigrant  and  Refugee Support
04-3307783,"121,000",Operating  Support/Annual Fund
02-0223317,"15,000",Operating  Support/Annual Fund
22-3337776,"20,000",Operating  Support/Annual Fund
04-2472126,"171,500",Operating  Support/Annual Fund
04-2472126,"5,000",Youth  Development
47-2459997,"33,000",Operating  Support/Annual Fund
04-2312909,"10,000",Community  Health
04-2312909,"10,000",Education
04-2312909,"2,500",Endowment
04-2312909,"7,500",Health  Care
04-2312909,"70,000",Medical  Research
04-2312909,"249,340",Operating  Support/Annual Fund
62-1782263,"10,000",Operating  Support/Annual Fund
04-2103935,"21,250",Operating  Support/Annual Fund
26-3428781,"607,500",Operating  Support/Annual Fund
13-3931074,"25,000",Operating  Support/Annual Fund
30-0015324,"50,000",Capital  Campaign
30-0015324,"83,750",Operating  Support/Annual Fund
53-0196577,"52,000",Operating  Support/Annual Fund
04-2103944,"8,250",Operating  Support/Annual Fund
04-2103944,"5,000",Scholarship
04-3402735,"25,000",Operating  Support/Annual Fund
04-2443175,"5,500",Operating  Support/Annual Fund
26-3042342,"7,500",Operating  Support/Annual Fund
11-2201344,"6,000",Operating  Support/Annual Fund
90-1014588,"26,000",Operating  Support/Annual Fund
11-3422729,"25,000",Immigrant  and  Refugee Support
11-3422729,"15,000",Operating  Support/Annual Fund
11-3305406,"25,000",Operating  Support/Annual Fund
11-1904261,"28,500",Operating  Support/Annual Fund
04-2130844,"10,000",Operating  Support/Annual Fund
22-3032466,"1,000",Human  Services
22-3032466,"25,250",Operating  Support/Annual Fund
04-3351055,"16,100",Operating  Support/Annual Fund
05-0258809,"557,000",Operating  Support/Annual Fund
04-6268891,"10,250",Operating  Support/Annual Fund
04-2103751,"10,000",Capital  Campaign
04-2103751,"75,000",Endowment
04-2103751,"92,250",Operating  Support/Annual Fund
46-4300024,"222,000",Operating  Support/Annual Fund
30-0212115,"9,000",Operating  Support/Annual Fund
22-2757389,"74,098",Education
22-2757389,"13,500",Operating  Support/Annual Fund
22-2757389,"5,000",Scholarship
94-3386695,"21,000",Operating  Support/Annual Fund
04-2971978,250,Capital  Campaign
04-2971978,"67,500",Operating  Support/Annual Fund
47-4494226,"25,000",Education
47-4494226,750,Operating  Support/Annual Fund
45-5452706,"7,500",Operating  Support/Annual Fund
20-1726303,"5,500",Operating  Support/Annual Fund
95-3510055,"25,000",Disaster  Relief
95-3510055,"1,000",Operating  Support/Annual Fund
51-0163080,"20,000",Operating  Support/Annual Fund
04-2477881,"13,000",Operating  Support/Annual Fund
04-2742228,"20,000",Operating  Support/Annual Fund
04-2742228,"1,500",Scholarship
04-2315647,"19,000",Operating  Support/Annual Fund
47-5391781,"21,000",Operating  Support/Annual Fund
04-2554626,"10,000",Operating  Support/Annual Fund
04-2103964,"75,000",Operating  Support/Annual Fund
04-6002096,"10,000",Operating  Support/Annual Fund
14-1504974,"50,000",Operating  Support/Annual Fund
75-3235491,"160,000",Operating  Support/Annual Fund
75-3235491,"50,000",Youth  Development
51-0454157,"11,000",Operating  Support/Annual Fund
13-2938964,"70,000",Operating  Support/Annual Fund
04-2143545,"6,500",Operating  Support/Annual Fund
04-3475950,"18,617",Operating  Support/Annual Fund
22-2900430,"10,000",Operating  Support/Annual Fund
30-0774430,"1,000",Civic  Engagement
30-0774430,"12,000",Youth  Development
04-2952657,"14,800",Operating  Support/Annual Fund
52-1832497,"10,000",Operating  Support/Annual Fund
46-2694752,"15,000",Operating  Support/Annual Fund
02-0223580,"20,000",Capital  Campaign
02-0223580,"1,000",Operating  Support/Annual Fund
04-2104871,"201,923",Operating  Support/Annual Fund
04-3402682,"15,500",Operating  Support/Annual Fund
27-3252911,"50,000",Operating  Support/Annual Fund
45-5316646,"25,000",Youth  Development
04-2875899,"25,000",Housing  and  Shelter
04-2106173,"22,571",Operating  Support/Annual Fund
04-2145258,"263,500",Operating  Support/Annual Fund
58-1454716,"75,000",Operating  Support/Annual Fund
04-3462996,"21,361",Operating  Support/Annual Fund
95-3655255,"10,000",Fund
76-0105306,"10,000",Operating  Support/Annual Fund
22-2477843,"15,000",Disaster  Relief
04-2625710,"35,250",Operating  Support/Annual Fund
34-1018992,"10,000",Operating  Support/Annual Fund
03-0276780,"12,500",Operating  Support/Annual Fund
86-1121553,"50,000",Disaster  Relief
04-2534041,"10,000",Youth  Development
04-2103979,"25,000",Disaster  Relief
13-5563422,"9,599",Operating  Support/Annual Fund
27-2531953,"14,700",Operating  Support/Annual Fund
23-7432162,"10,000",Operating  Support/Annual Fund
27-4793890,"25,000",Operating  Support/Annual Fund
22-2958508,"20,000",Arts
22-2958508,"33,333",Capital  Campaign
22-2958508,"66,667",Endowment
22-2958508,"68,250",Operating  Support/Annual Fund
47-2193670,"20,000",Operating  Support/Annual Fund
27-1565143,"25,000",Operating  Support/Annual Fund
04-3241676,"100,000",Education
04-3241676,"22,891",Operating  Support/Annual Fund
52-2165893,"10,000",Operating  Support/Annual Fund
04-2738458,"2,500",Arts
04-2738458,"5,000",Fund
13-3669731,"72,500",Operating  Support/Annual Fund
23-7122879,"70,000",Community  Health
04-3256236,"30,000",Economic  Development
04-3256236,"55,500",Operating  Support/Annual Fund
06-0662195,"18,000",Operating  Support/Annual Fund
13-2992985,"39,500",Operating  Support/Annual Fund
35-1793680,"25,000",Fund
22-2978129,500,Capital  Campaign
22-2978129,"8,500",Operating  Support/Annual Fund
26-1323224,"20,000",Arts
26-1323224,"17,100",Operating  Support/Annual Fund
04-2714991,"33,000",Disaster  Relief
04-2754284,"10,000",Immigrant  and  Refugee Support
04-2754284,"5,000",Operating  Support/Annual Fund
22-3053747,"17,500",Operating  Support/Annual Fund
43-1645180,"10,000",Operating  Support/Annual Fund
22-2281598,"50,000",Operating  Support/Annual Fund
83-0670185,"85,000",Operating  Support/Annual Fund
04-3028237,"7,500",Operating  Support/Annual Fund
22-3936753,"184,161",Operating  Support/Annual Fund
04-3503656,"14,093",Operating  Support/Annual Fund
04-2103974,"50,000",Capital  Campaign
04-2103974,"31,334",Operating  Support/Annual Fund
04-6136989,"50,000",Capital  Campaign
04-6136989,"11,278",Operating  Support/Annual Fund
30-0945857,"15,000",Scholarship
22-2906521,"14,000",Civic  Engagement
22-2906521,"20,000",Disaster  Relief
22-2906521,"15,000",ESOL  Support
22-2906521,"66,000",Operating  Support/Annual Fund
04-2178868,"15,000",Operating  Support/Annual Fund
20-2091040,"15,000",Scholarship
23-7097910,"15,000",Operating  Support/Annual Fund
04-2774441,"1,000,000",Capital  Campaign
04-2774441,"50,000",Medical  Research
04-2774441,"288,307",Operating  Support/Annual Fund
04-2103993,"73,997",Operating  Support/Annual Fund
04-2103993,"2,500",Youth  Development
04-2735267,"25,000",Immigrant  and  Refugee Support
23-2062595,"165,000",Operating  Support/Annual Fund
04-2295482,"7,000",Operating  Support/Annual Fund
27-0652034,"30,000",Operating  Support/Annual Fund
61-0661137,"6,054",Operating  Support/Annual Fund
27-1653138,"12,000",Operating  Support/Annual Fund
54-1594578,"7,054",Operating  Support/Annual Fund
04-3188900,"6,500",Operating  Support/Annual Fund
04-2103997,"26,250",Operating  Support/Annual Fund
03-0331147,"25,000",Operating  Support/Annual Fund
04-3259160,"83,500",Operating  Support/Annual Fund
81-4563577,"50,000",Operating  Support/Annual Fund
04-6138418,"75,000",Community  Development
04-6138418,"106,000",Housing  and  Shelter
36-4253176,"50,000",Operating  Support/Annual Fund
52-1976304,"20,000",Operating  Support/Annual Fund
04-6001396,"10,000",Operating  Support/Annual Fund
04-6001404,250,Operating  Support/Annual Fund
04-6001404,"9,000",Scholarship
04-6001414,"2,000",Operating  Support/Annual Fund
02-0532474,"5,000",Operating  Support/Annual Fund
02-0532474,"20,000",Youth  Development
22-2882549,"100,000",Endowment
22-2882549,"2,192,100",Operating  Support/Annual Fund
04-3521413,"17,000",Operating  Support/Annual Fund
52-1043444,"29,000",Environment/Wildlife/Agric ulture
34-0714585,"1,800,000",Operating  Support/Annual Fund
81-0722756,"10,000",Operating  Support/Annual Fund
47-1941171,"20,000",Operating  Support/Annual Fund
81-1292784,"125,000",Operating  Support/Annual Fund
82-1178906,"10,000",Operating  Support/Annual Fund
81-5115943,"10,000",Operating  Support/Annual Fund
47-3703555,"100,000",Operating  Support/Annual Fund
46-5136872,"15,000",Housing  and  Shelter
72-1115589,"6,000",Operating  Support/Annual Fund
31-1801931,"7,172",Operating  Support/Annual Fund
01-0449348,"35,000",Operating  Support/Annual Fund
98-1308709,"10,000",Operating  Support/Annual Fund
04-3559945,"22,000",Capital  Campaign
04-3559945,"30,000",Operating  Support/Annual Fund
11-2013303,"225,000",Operating  Support/Annual Fund
04-2383512,"294,231",Education
04-2383512,"260,000",Operating  Support/Annual Fund
04-2383512,"12,000",Scholarship
22-3159630,"12,000",Operating  Support/Annual Fund
47-4425987,"75,000",Education
47-4425987,"25,000",Operating  Support/Annual Fund
04-2103558,"7,000",Operating  Support/Annual Fund
84-0402510,"3,000",Capital  Campaign
84-0402510,"31,000",Operating  Support/Annual Fund
04-2103559,"489,531",Operating  Support/Annual Fund
04-3429794,"25,000",Operating  Support/Annual Fund
43-1438051,"26,000",Operating  Support/Annual Fund
82-0993366,"50,000",Operating  Support/Annual Fund
30-0842673,"20,000",Operating  Support/Annual Fund
27-3112781,"25,000",Economic  Development
27-0648497,"70,000",Economic  Development
27-0648497,"1,000",Operating  Support/Annual Fund
04-2228167,"40,000",Operating  Support/Annual Fund
04-3129124,"30,620",Operating  Support/Annual Fund
04-2445805,"5,500",Operating  Support/Annual Fund
26-4482112,"75,000",Operating  Support/Annual Fund
45-2351381,"5,500",Operating  Support/Annual Fund
95-2906369,"10,000",Operating  Support/Annual Fund
39-1548450,"60,800",Operating  Support/Annual Fund
15-6016932,"22,000",Operating  Support/Annual Fund
04-3280353,"100,000",Community  Development
22-3089640,"100,000",Operating  Support/Annual Fund
94-3255070,"11,750",Operating  Support/Annual Fund
20-3404034,"14,500",Civic  Engagement
20-3404034,"10,000",Economic  Development
20-3404034,"100,000",Operating  Support/Annual Fund
82-0290944,"5,250",Operating  Support/Annual Fund
04-3461434,"31,174",Operating  Support/Annual Fund
04-2863756,"75,000",Community  Health
04-2863756,"25,500",Operating  Support/Annual Fund
22-3154028,"29,000",Capital  Campaign
22-3154028,"100,000",Community  Health
22-3154028,"109,750",Operating  Support/Annual Fund
22-2725934,"5,000",Endowment
22-2725934,"2,750",Operating  Support/Annual Fund
04-3444644,"10,000",Arts
04-3444644,"1,250",Operating  Support/Annual Fund
20-3975100,"11,000",Operating  Support/Annual Fund
04-3567819,"23,750",Operating  Support/Annual Fund
04-1200600,"4,000",Capital  Campaign
04-1200600,"28,250",Operating  Support/Annual Fund
04-2104035,"11,500",Operating  Support/Annual Fund
26-4526430,"10,000",Operating  Support/Annual Fund
04-2121328,"20,471",Arts
04-2121328,"56,000",Capital  Campaign
04-2121328,"45,261",Operating  Support/Annual Fund
04-2157042,"5,600",Operating  Support/Annual Fund
20-8056726,"20,000",Community  Development
20-8056726,"3,000",Operating  Support/Annual Fund
04-2104029,"45,070",Operating  Support/Annual Fund
13-1663143,"53,220",Operating  Support/Annual Fund
06-0646587,"75,000",Operating  Support/Annual Fund
04-6149986,"3,000",Environment/Wildlife/Agric ulture
04-6149986,"36,250",Operating  Support/Annual Fund
04-3443578,"275,500",Capital  Campaign
04-3443578,"10,000",Education
04-3443578,"4,250",Operating  Support/Annual Fund
26-3688173,"129,500",Operating  Support/Annual Fund
13-1685039,"62,677",Operating  Support/Annual Fund
15-0532082,"15,100",Operating  Support/Annual Fund
20-1075143,"10,000",Operating  Support/Annual Fund
41-1322686,"10,000",Capital  Campaign
04-2707044,"30,000",Disaster  Relief
04-2104328,"25,367",Operating  Support/Annual Fund
43-6005587,"25,000",Capital  Campaign
04-6086829,"7,867",Operating  Support/Annual Fund
04-2987534,"30,000",Youth  Development
04-3584367,"2,500",Human  Services
04-3584367,"147,934",Operating  Support/Annual Fund
13-3273980,"6,000",Operating  Support/Annual Fund
91-2032119,"15,000",Operating  Support/Annual Fund
56-2438544,"15,000",Education
56-2438544,"1,000",Operating  Support/Annual Fund
13-6193105,"13,500",Operating  Support/Annual Fund
04-2103837,"40,000",Capital  Campaign
04-2103837,"22,300",Operating  Support/Annual Fund
02-0222168,"6,088",Operating  Support/Annual Fund
06-0653264,"5,783",Operating  Support/Annual Fund
04-3607322,"10,000",Operating  Support/Annual Fund
13-1930701,"175,000",Medical  Research
13-1930701,"13,980",Operating  Support/Annual Fund
04-2263040,"20,000",Capital  Campaign
04-2263040,"105,000",Medical  Research
04-2263040,"370,963",Operating  Support/Annual Fund
06-0859795,"30,000",Capital  Campaign
23-7113649,"9,000",Operating  Support/Annual Fund
04-2103594,"15,000",Community  Development
04-2628350,"15,000",Human  Services
04-2067315,"250,250",Operating  Support/Annual Fund
23-7333319,"11,099",Operating  Support/Annual Fund
04-2106704,"10,000",Operating  Support/Annual Fund
04-3098455,"8,000",Operating  Support/Annual Fund
04-2103563,"1,500",Operating  Support/Annual Fund
04-2103563,"100,000",Scholarship
46-4610491,"25,000",Operating  Support/Annual Fund
01-0708733,"30,000",Operating  Support/Annual Fund
04-2104152,"6,250",Operating  Support/Annual Fund
04-3487827,"40,000",Operating  Support/Annual Fund
59-2240895,"10,000",Capital  Campaign
95-1831116,"75,438",Disaster  Relief
95-1831116,"6,295",Operating  Support/Annual Fund
27-5026293,"10,000",Operating  Support/Annual Fund
13-3577394,"60,000",Operating  Support/Annual Fund
35-2426718,"10,000",Operating  Support/Annual Fund
13-3433452,500,Health  Care
13-3433452,"20,000",Immigrant  and  Refugee Support
13-3433452,"215,350",Operating  Support/Annual Fund
04-2681632,"8,000",Civic  Engagement
04-2681632,"7,500",Community  Development
04-2681632,"175,000",Housing  and  Shelter
46-1117388,"10,000",Fund
04-6122394,"50,000",Operating  Support/Annual Fund
01-0288757,"111,000",Operating  Support/Annual Fund
42-0680460,"25,000",Operating  Support/Annual Fund
04-2859066,"70,000",Community  Development
32-0568985,"200,000",Operating  Support/Annual Fund
56-0532129,"225,000",Operating  Support/Annual Fund
20-1706407,"15,000",Arts
04-3348183,"50,000",Capital  Campaign
51-0173192,"10,000",Operating  Support/Annual Fund
84-1595852,"22,500",Operating  Support/Annual Fund
20-4547380,"20,000",Operating  Support/Annual Fund
94-2889684,"15,000",Operating  Support/Annual Fund
94-1730465,250,Environment/Wildlife/Agric ulture
94-1730465,"46,750",Operating  Support/Annual Fund
04-2104257,"29,102",Operating  Support/Annual Fund
04-2103867,"6,054",Operating  Support/Annual Fund
23-7028805,"28,387",Operating  Support/Annual Fund
51-0469082,"25,000",Operating  Support/Annual Fund
04-2385120,"10,000",Operating  Support/Annual Fund
25-1704582,"10,000",Operating  Support/Annual Fund
04-2104046,"35,000",Housing  and  Shelter
04-2104046,"55,049",Operating  Support/Annual Fund
47-1646104,"10,000",Operating  Support/Annual Fund
04-2666846,"11,250",Operating  Support/Annual Fund
20-3687838,"30,000",Education
20-3687838,"30,000",Operating  Support/Annual Fund
20-1978102,"35,250",Education
27-3382030,"160,000",Operating  Support/Annual Fund
76-0794873,"100,000",Education
76-0794873,"469,500",Operating  Support/Annual Fund
27-0963869,"400,000",Operating  Support/Annual Fund
13-5675643,"25,000",Operating  Support/Annual Fund
74-1839536,"10,000",Operating  Support/Annual Fund
68-0230597,"12,500",Operating  Support/Annual Fund
04-2104168,"155,000",Operating  Support/Annual Fund
04-3414988,"27,000",Arts
04-3414988,"50,000",Endowment
04-3414988,"191,842",Operating  Support/Annual Fund
54-1159513,"20,000",Operating  Support/Annual Fund
04-1286950,"16,500",Operating  Support/Annual Fund
04-2770980,"42,657",Operating  Support/Annual Fund
04-2761964,"450,554",Capital  Campaign
04-2761964,"413,900",Operating  Support/Annual Fund
04-2282717,"10,000",Economic  Development
